genes	enzymes	shortNames	MWs	pathways	actions	k_scores
YBL015W	P32316	ACH1	58.71137	sce00620  Pyruvate metabolism	OE	1000
YDR300C	P32264	PRO1	47.16164	sce00330  Arginine and proline metabolism sce00332  Carbapenem biosynthesis sce01130  Biosynthesis of antibiotics sce01230  Biosynthesis of amino acids	OE	1000
YEL038W	P32626	UTR4	25.18714	sce00270  Cysteine and methionine metabolism	OE	1000
YER170W	P26364	ADK2	25.19373	sce00230  Purine metabolism sce00730  Thiamine metabolism sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics	OE	1000
YGL125W	P53128	MET13	68.55958	sce00670  One carbon pool by folate sce01200  Carbon metabolism	OE	1000
YLR017W	Q07938	MEU1	37.85618	sce00270  Cysteine and methionine metabolism	OE	1000
YLR209C	Q05788	PNP1	33.7546	sce00230  Purine metabolism sce00240  Pyrimidine metabolism sce00760  Nicotinate and nicotinamide metabolism sce01110  Biosynthesis of secondary metabolites	OE	1000
YMR009W	Q03677	ADI1	20.8791	sce00270  Cysteine and methionine metabolism	OE	1000
YNL141W	P53909	AAH1	39.63458	sce00230  Purine metabolism	OE	1000
YOL086C	P00330	ADH1	36.84874	sce00010  Glycolysis / Gluconeogenesis sce00071  Fatty acid degradation sce00350  Tyrosine metabolism sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics	OE	1000
YOR323C	P54885	PRO2	49.73991	sce00330  Arginine and proline metabolism sce00332  Carbapenem biosynthesis sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01230  Biosynthesis of amino acids	OE	1000
YJR024C	P47095	MDE1	27.42662	sce00270  Cysteine and methionine metabolism	OE	1000
YPR118W	Q06489	MRI1	45.01983	sce00270  Cysteine and methionine metabolism	OE	1000
YJR069C	P47119	HAM1	22.09268	sce00230  Purine metabolism	OE	1000
YDR452W	Q04119	PPN1	78.34335	sce00NNN  None	OE	1000
NAS2	Q9FKT9	NAS2	35.679		OE	1000
YLR044C	P06169	PDC1	61.49468	sce00010  Glycolysis / Gluconeogenesis sce01110  Biosynthesis of secondary metabolites	OE	11.9231478506315
YAL038W	P00549	CDC19	54.54404	sce00010  Glycolysis / Gluconeogenesis sce00230  Purine metabolism sce00620  Pyruvate metabolism sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism sce01230  Biosynthesis of amino acids	OE	2.43708415270587
YGR254W	P00924	ENO1	46.81564	sce00010  Glycolysis / Gluconeogenesis sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism sce01230  Biosynthesis of amino acids sce03018  RNA degradation	OE	2.28165766442444
YOR283W	Q12040	YOR283W	26.17622	sce00NNN  None	OE	2.28165766442444
YLR354C	P15019	TAL1	37.0359	sce00030  Pentose phosphate pathway sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism sce01230  Biosynthesis of amino acids	OE	1.24700482816104
YDR050C	P00942	TPI1	26.79508	sce00010  Glycolysis / Gluconeogenesis sce00051  Fructose and mannose metabolism sce00562  Inositol phosphate metabolism sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism sce01230  Biosynthesis of amino acids	OE	1.21589928420393
YCR012W	P00560	PGK1	44.73787	sce00010  Glycolysis / Gluconeogenesis sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism sce01230  Biosynthesis of amino acids	OE	1.21580136123042
YJL052W	P00360	TDH1	35.74956	sce00010  Glycolysis / Gluconeogenesis sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism sce01230  Biosynthesis of amino acids	OE	1.21580136123042
YKL060C	P14540	FBA1	39.62024	sce00010  Glycolysis / Gluconeogenesis sce00030  Pentose phosphate pathway sce00051  Fructose and mannose metabolism sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism sce01230  Biosynthesis of amino acids	OE	1.21510259612142
YMR205C	P16862	PFK2	104.61673	sce00010  Glycolysis / Gluconeogenesis sce00030  Pentose phosphate pathway sce00051  Fructose and mannose metabolism sce00052  Galactose metabolism sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism sce01230  Biosynthesis of amino acids sce03018  RNA degradation	OE	1.21510259612142
YBR196C	P12709	PGI1	61.29832	sce00010  Glycolysis / Gluconeogenesis sce00030  Pentose phosphate pathway sce00500  Starch and sucrose metabolism sce00520  Amino sugar and nucleotide sugar metabolism sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism	OE	1.17303621417471
YER091C	P05694	MET6	85.85892	sce00270  Cysteine and methionine metabolism sce00450  Selenocompound metabolism sce01110  Biosynthesis of secondary metabolites sce01230  Biosynthesis of amino acids	KD	0.293884450454309
YER043C	P39954	SAH1	49.12498	sce00270  Cysteine and methionine metabolism	KD	0.293827460547136
YJR105W	P47143	ADO1	36.37191	sce00230  Purine metabolism	KD	0.293827460547136
YLL052C		AQY2	NaN		KD	0.289833922983136
YPR192W		AQY1	NaN		KD	0.289833922983136
YBR221C	P32473	PDB1	40.0532	sce00010  Glycolysis / Gluconeogenesis sce00020  Citrate cycle (TCA cycle) sce00620  Pyruvate metabolism sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism	KD	0.288696550253316
YER178W	P16387	PDA1	46.34261	sce00010  Glycolysis / Gluconeogenesis sce00020  Citrate cycle (TCA cycle) sce00620  Pyruvate metabolism sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism	KD	0.288696550253316
YGR193C	P16451	PDX1	45.36125	sce00NNN  None	KD	0.288696550253316
YNL071W	P12695	LAT1	51.81762	sce00010  Glycolysis / Gluconeogenesis sce00020  Citrate cycle (TCA cycle) sce00620  Pyruvate metabolism sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism	KD	0.288696550253316
YNL036W	P53615	NCE103	24.85889	sce00910  Nitrogen metabolism	KD	0.286620240588634
YBR218C	P32327	PYC2	130.16549	sce00020  Citrate cycle (TCA cycle) sce00620  Pyruvate metabolism sce01200  Carbon metabolism sce01230  Biosynthesis of amino acids	KD	0.282987457510794
YGL062W	P11154	PYC1	130.09827	sce00020  Citrate cycle (TCA cycle) sce00620  Pyruvate metabolism sce01200  Carbon metabolism sce01230  Biosynthesis of amino acids	KD	0.282987457510794
YHR002W		LEU5	NaN		KD	0.282161112166218
YJR095W		SFC1	NaN		KD	0.27783
YKL085W	P17505	MDH1	35.64959	sce00020  Citrate cycle (TCA cycle) sce00270  Cysteine and methionine metabolism sce00620  Pyruvate metabolism sce00630  Glyoxylate and dicarboxylate metabolism sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism	KD	0.277692209962407
YMR267W	P28239	PPA2	35.57213	sce00190  Oxidative phosphorylation	KD	0.267077634385373
YOR222W		ODC2	NaN		KD	0.26526130671434
YPL134C		ODC1	NaN		KD	0.26526130671434
YBL039C	P28274	URA7	64.70953	sce00240  Pyrimidine metabolism	KD	0.258201785040243
YJR103W	P38627	URA8	64.50989	sce00240  Pyrimidine metabolism	KD	0.258201785040243
YDL066W	P21954	IDP1	48.18986	sce00020  Citrate cycle (TCA cycle) sce00480  Glutathione metabolism sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism sce01210  2-Oxocarboxylic acid metabolism sce01230  Biosynthesis of amino acids sce04146  Peroxisome	KD	0.25578
YDL085W	Q07500	NDE2	61.65854	sce00NNN  None	KD	0.221158445425225
YMR145C	P40215	NDE1	62.77345	sce00NNN  None	KD	0.221158445425225
YKL029C	P36013	MAE1	74.37529	sce00620  Pyruvate metabolism sce01200  Carbon metabolism	KD	0.217434412172269
YDR503C	Q04396	LPP1	31.58604	sce00561  Glycerolipid metabolism sce00564  Glycerophospholipid metabolism sce01110  Biosynthesis of secondary metabolites	KD	0.207961866233196
Q0045	P00401	COX1	58.79755	sce00190  Oxidative phosphorylation	KD	0.195106555468964
Q0250	P00410	COX2	28.5669	sce00190  Oxidative phosphorylation	KD	0.195106555468964
Q0275	P00420	COX3	30.35941	sce00190  Oxidative phosphorylation	KD	0.195106555468964
YDL067C	P07255	COX9	6.96313	sce00190  Oxidative phosphorylation	KD	0.195106555468964
YGL187C	P04037	COX4	17.1424	sce00190  Oxidative phosphorylation	KD	0.195106555468964
YGL191W	P32799	COX13	15.02097	sce00190  Oxidative phosphorylation	KD	0.195106555468964
YHR051W	P00427	COX6	17.34139	sce00190  Oxidative phosphorylation	KD	0.195106555468964
YIL111W	P00425	COX5B	17.1965	sce00190  Oxidative phosphorylation	KD	0.195106555468964
YLR038C	Q01519	COX12	9.78778	sce00190  Oxidative phosphorylation	KD	0.195106555468964
YLR395C	P04039	COX8	8.90656	sce00190  Oxidative phosphorylation	KD	0.195106555468964
YMR256C	P10174	COX7	6.9323	sce00190  Oxidative phosphorylation	KD	0.195106555468964
Q0105	P00163	COB	43.65549	sce00190  Oxidative phosphorylation	KD	0.194087663987971
YBL045C	P07256	COR1	50.22724	sce00190  Oxidative phosphorylation	KD	0.19408766398797
YDR529C	P00128	QCR7	14.56466	sce00190  Oxidative phosphorylation	KD	0.19408766398797
YEL024W	P08067	RIP1	23.36479	sce00190  Oxidative phosphorylation	KD	0.19408766398797
YFR033C	P00127	QCR6	17.25682	sce00190  Oxidative phosphorylation	KD	0.19408766398797
YGR183C	P22289	QCR9	7.47622	sce00190  Oxidative phosphorylation	KD	0.19408766398797
YHR001W-A	P37299	QCR10	8.59285	sce00190  Oxidative phosphorylation	KD	0.19408766398797
YJL166W	P08525	QCR8	10.97437	sce00190  Oxidative phosphorylation	KD	0.19408766398797
YOR065W	P07143	CYT1	34.05423	sce00190  Oxidative phosphorylation	KD	0.19408766398797
YPR191W	P07257	QCR2	40.47764	sce00190  Oxidative phosphorylation	KD	0.19408766398797
YPR021C		AGC1	NaN		KD	0.188206271058758
Q0080	P00856	ATP8	5.82221	sce00190  Oxidative phosphorylation	KD	0.187269090291228
Q0085	P00854	ATP6	29.09876	sce00190  Oxidative phosphorylation	KD	0.187269090291228
Q0130	P61829	OLI1	7.75937	sce00190  Oxidative phosphorylation	KD	0.187269090291228
YBL099W	P07251	ATP1	58.60746	sce00190  Oxidative phosphorylation	KD	0.187269090291228
YBR039W	P38077	ATP3	34.35021	sce00190  Oxidative phosphorylation	KD	0.187269090291228
YDL004W	Q12165	ATP16	17.02022	sce00190  Oxidative phosphorylation	KD	0.187269090291228
YDR298C	P09457	ATP5	22.81414	sce00190  Oxidative phosphorylation	KD	0.187269090291228
YDR322C-A	P81449	TIM11	10.87534	sce00190  Oxidative phosphorylation	KD	0.187269090291228
YDR377W	Q06405	ATP17	11.312	sce00190  Oxidative phosphorylation	KD	0.187269090291228
YJR121W	P00830	ATP2	54.7932	sce00190  Oxidative phosphorylation	KD	0.187269090291228
YKL016C	P30902	ATP7	19.80938	sce00190  Oxidative phosphorylation	KD	0.187269090291228
YLR295C	Q12349	ATP14	14.12765	sce00190  Oxidative phosphorylation	KD	0.187269090291228
YML081C-A	P81450	ATP18	6.68769	sce00190  Oxidative phosphorylation	KD	0.187269090291228
YPL078C	P05626	ATP4	26.92481	sce00190  Oxidative phosphorylation	KD	0.187269090291228
YPL271W	P21306	ATP15	6.7425	sce00190  Oxidative phosphorylation	KD	0.187269090291228
YPR020W	Q12233	ATP20	12.92094	sce00190  Oxidative phosphorylation	KD	0.187269090291228
YOL077W-A	P81451	ATP19	7.53367	sce00190  Oxidative phosphorylation	KD	0.187269090291228
YOL126C	P22133	MDH2	40.7305	sce00020  Citrate cycle (TCA cycle) sce00270  Cysteine and methionine metabolism sce00620  Pyruvate metabolism sce00630  Glyoxylate and dicarboxylate metabolism sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism	KD	0.179167764252665
YER053C		PIC2	NaN		KD	0.157102964101318
YJR077C		MIR1	NaN		KD	0.157102964101318
YMR062C	Q04728	ARG7	47.84821	sce00220  Arginine biosynthesis sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01210  2-Oxocarboxylic acid metabolism sce01230  Biosynthesis of amino acids	KD	0.145193082637183
