genes	enzymes	shortNames	MWs	actions	k_scores
YBL015W	P32316	ACH1	58.71137	1	1000
YBR068C		BAP2	NaN	1	1000
YBR069C		TAT1	NaN	1	1000
YBR252W	P33317	DUT1	15.30716	1	1000
YCL025C		AGP1	NaN	1	1000
YDR046C		BAP3	NaN	1	1000
YDR508C		GNP1	NaN	1	1000
YER170W	P26364	ADK2	25.19373	1	1000
YKR039W		GAP1	NaN	1	1000
YJR069C	P47119	HAM1	22.09268	1	1000
YCL018W	P04173	LEU2	38.95257	1	16.7698465468821
YGL009C	P07264	LEU1	85.79356	1	16.7698465468821
YKL029C	P36013	MAE1	74.37529	1	15.8337714736939
YPR021C		AGC1	NaN	1	5.82296011929744
YOL126C	P22133	MDH2	40.7305	1	5.34504936413287
YGL080W		MPC1	NaN	1	3.30560767089483
YGR243W		MPC3	NaN	1	3.30560767089483
YHR162W		MPC2	NaN	1	3.30560767089483
YGL062W	P11154	PYC1	130.09827	1	2.70764906194597
YBR218C	P32327	PYC2	130.16549	1	2.70764906194597
YBR221C	P32473	PDB1	40.0532	1	2.47837244191337
YER178W	P16387	PDA1	46.34261	1	2.47837244191337
YGR193C	P16451	PDX1	45.36125	1	2.47837244191337
YNL071W	P12695	LAT1	51.81762	1	2.47837244191337
YAL038W	P00549	CDC19	54.54404	1	2.43868617767426
YOR347C	P52489	PYK2	55.19478	1	2.43868617767426
YGR254W	P00924	ENO1	46.81564	1	2.28314396418751
YHR174W	P00925	ENO2	46.91368	1	2.28314396418751
YKL152C	P00950	GPM1	27.60828	1	2.28314396418751
YMR323W	P42222	ERR3	47.31216	1	2.28314396418751
YOR393W	P0CX10	ERR1	47.32712	1	2.28314396418751
YPL281C	P0CX11	ERR2	47.32712	1	2.28314396418751
YOR283W	Q12040	YOR283W	26.17622	1	2.28314396418751
YNL036W	P53615	NCE103	24.85889	1	1.91144205737131
YCR012W	P00560	PGK1	44.73787	1	1.21478978013049
YGR192C	P00359	TDH3	35.74626	1	1.21478978013049
YJL052W	P00360	TDH1	35.74956	1	1.21478978013049
YJR009C	P00358	TDH2	35.84645	1	1.21478978013049
YDR050C	P00942	TPI1	26.79508	1	1.20142418112645
YGR240C	P16861	PFK1	107.96906	1	1.1947319478214
YKL060C	P14540	FBA1	39.62024	1	1.1947319478214
YMR205C	P16862	PFK2	104.61673	1	1.19473194782124
YDR384C		ATO3	NaN	1	1.18958264745654
YGR121C		MEP1	NaN	1	1.18958264745654
YNL142W		MEP2	NaN	1	1.18958264745654
YPR138C		MEP3	NaN	1	1.18958264745654
YDR516C	Q04409	EMI2	55.92028	1	1.00037205189276
YBL039C	P28274	URA7	64.70953	0	0.286273031163947
YJR103W	P38627	URA8	64.50989	0	0.286273031163947
YER070W	P21524	RNR1	99.56021	0	0.272846907680051
YIL066C	P21672	RNR3	97.51369	0	0.272846907680051
YJL026W	P09938	RNR2	46.14681	0	0.272846907680051
YGR180C	P49723	RNR4	40.05407	0	0.269551279060765
YCR048W	P25628	ARE1	71.61215	0	0.22000355865437
YGR087C	P26263	PDC6	61.57964	0	0.211061779281867
YLR044C	P06169	PDC1	61.49468	0	0.211061779281867
YLR134W	P16467	PDC5	61.91138	0	0.211061779281867
YDR503C	Q04396	LPP1	31.58604	0	0.207961800338896
YNR019W	P53629	ARE2	74.022	0	0.207585615841959
YOR245C	Q08650	DGA1	47.71075	0	0.164378423762939
YAL062W	P39708	GDH3	49.62653	0	0.158521651371339
YOR375C	P07262	GDH1	49.56931	0	0.158521651371339
YDL066W	P21954	IDP1	48.18986	0	0.058195738189182
YBR263W	P37292	SHM1	53.68589	0	0.0341275423540302
YGR208W	P42941	SER2	34.20684	0	0.0204944101392041
YER081W	P40054	SER3	51.1927	0	0.0204944101392041
YIL074C	P40510	SER33	51.18777	0	0.0204944101392041
YOR184W	P33330	SER1	43.41501	0	0.0204944101392041
YAL044C	P39726	GCV3	18.79276	0	0.0170637542163095
YDR019C	P48015	GCV1	44.46849	0	0.0170637542163095
YMR189W	P49095	GCV2	114.45033	0	0.0170637542163095
YLR058C	P37291	SHM2	52.21793	0	0.00871923727489866
YOR388C	Q08911	FDH1	41.7138	0	0.000332080676657933
YDR148C	P19262	KGD2	50.43011	0	0
YIL125W	P20967	KGD1	114.41496	0	0
