genes	enzymes	shortNames	MWs	actions	k_scores	EV_type	OE	minUsage	maxUsage	pUsage	unique	conectivity	groups	priority	foldChange_yield	foldChange_pRate	FCC
PcpsiH	P0DPA7	PcpsiH	57.515	OE	1000	tightly_const	2	0.000682894034423691	0.000682894034425057	0.000682894034423691	1	4	0	1	1.27686048109553	1.27687860212901	0.431336407136723
PcPsiK	P0DPA8	PcPsiK	40.442	OE	1000	tightly_const	2	0.000682894034423691	0.000682896318536023	0.000682894034423691	1	7	0	1	1.17989128473699	1.17990318901508	0.30293867350422
PcPsiM	P0DPA9	PcPsiM	34.434	OE	1000	tightly_const	2	0.000682894034423691	0.000682894034425057	0.000682894034423691	1	5	0	1	1.1491799649565	1.14919006622027	0.257833483621606
YBR218C	P32327	PYC2	130.16549	KD	0.280816103697767	subOpt_isoenz	0	0	5.11377738312569e-07	0	0	8	9	2	0.99999890539575	1.0000013839093	0
YBL039C	P28274	URA7	64.70953	KD	0.258201785040243	subOpt_isoenz	0	0	3.67439926864984e-08	0	0	12	11	2	0.999998790429702	1.0000012689381	0
YMR145C	P40215	NDE1	62.77345	KD	0.212987896802525	subOpt_isoenz	0	0	8.28911844532679e-08	0	0	6	12	2	1.0000008675372	0.999999905397473	0
YAL062W	P39708	GDH3	49.62653	KD	0.126507360320713	subOpt_isoenz	0	0	1.35008020195242e-06	0	0	8	18	2	1.00000105431372	0.999999885030087	0
YER081W	P40054	SER3	51.1927	KO	0.0304765453037535	subOpt_isoenz	0	0	3.10578850007818e-08	0	0	6	19	2	0.999998925763026	1.00000140427749	0
YMR101C	Q03175	SRT1	40.19958	KO	0	subOpt_isoenz	0	0	2.2536828856486e-09	0	1	43	0	2	0.999998807360318	1.00000128586947	0
YMR246W	P47912	FAA4	77.26612	KO	0	subOpt_isoenz	0	0	1.24786571498141e-09	0	1	48	0	2	0.999998942692984	1.00000142120821	0
YOR317W	P30624	FAA1	77.86529	KO	0	subOpt_isoenz	0	0	1.2403587453801e-09	0	1	52	0	2	0.999998807360231	1.00000128586938	0
YOR388C	Q08911	FDH1	41.7138	KO	0	subOpt_isoenz	0	0	2.15335867638805e-09	0	1	4	0	2	0.99999892232658	1.0000014008409	0
YER070W	P21524	RNR1	99.56021	KO	0	subOpt_isoenz	0	0	9.22182041698779e-10	0	0	24	21	3	0.999998827710757	1.00000130622083	0
YGR180C	P49723	RNR4	40.05407	KO	0	subOpt_isoenz	0	0	2.34801561328766e-09	0	0	24	21	3	0.999998827727539	1.00000130623762	0
YIL066C	P21672	RNR3	97.51369	KO	0	subOpt_isoenz	0	0	9.4184506446283e-10	0	0	24	21	3	0.999998827727701	1.0000013062378	0
