genes	enzymes	shortNames	MWs	actions	k_scores
YBR068C		BAP2	NaN	1	1000
YBR252W	P33317	DUT1	15.30716	1	1000
YCL025C		AGP1	NaN	1	1000
YDR046C		BAP3	NaN	1	1000
YKR039W		GAP1	NaN	1	1000
YMR241W		YHM2	NaN	1	1000
YOL020W		TAT2	NaN	1	1000
YJR069C	P47119	HAM1	22.09268	1	1000
YNL316C	P32452	PHA2	38.22484	1	26.4524056242797
YPR060C	P32178	ARO7	29.7468	1	15.1420995452904
YDR127W	P08566	ARO1	174.75305	1	13.5466458340745
YBR249C	P32449	ARO4	39.74874	1	13.5466458340745
YDR035W	P14843	ARO3	41.06952	1	13.5466458340745
YGL148W	P28777	ARO2	40.83793	1	13.5466458340745
YOR095C	Q12189	RKI1	28.25777	1	4.60572151195257
YGR248W	P53315	SOL4	28.44737	1	4.42839178934924
YGR256W	P53319	GND2	53.92235	1	4.42839178934924
YHR163W	P38858	SOL3	27.78417	1	4.42839178934924
YHR183W	P38720	GND1	53.54274	1	4.42839178934924
YNL241C	P11412	ZWF1	57.5209	1	4.42839178934924
YJL121C	P46969	RPE1	25.96689	1	4.13074023136639
YPR021C		AGC1	NaN	1	4.01584941239462
YGR254W	P00924	ENO1	46.81564	1	1.25516069459339
YHR174W	P00925	ENO2	46.91368	1	1.25516069459339
YKL152C	P00950	GPM1	27.60828	1	1.25516069459339
YMR323W	P42222	ERR3	47.31216	1	1.25516069459339
YOR393W	P0CX10	ERR1	47.32712	1	1.25516069459339
YPL281C	P0CX11	ERR2	47.32712	1	1.25516069459339
YOR283W	Q12040	YOR283W	26.17622	1	1.25516069459339
YDR516C	Q04409	EMI2	55.92028	1	1.00025874689302
YBL039C	P28274	URA7	64.70953	0	0.289455471165479
YJR103W	P38627	URA8	64.50989	0	0.289455471165479
YER070W	P21524	RNR1	99.56021	0	0.281559049346912
YIL066C	P21672	RNR3	97.51369	0	0.281559049346912
YJL026W	P09938	RNR2	46.14681	0	0.281559049346912
YGR180C	P49723	RNR4	40.05407	0	0.279620762858898
YNL036W	P53615	NCE103	24.85889	0	0.265663258828962
YOR222W		ODC2	NaN	0	0.258481359890105
YPL134C		ODC1	NaN	0	0.258481359890105
YBR218C	P32327	PYC2	130.16549	0	0.251714096695055
YGL062W	P11154	PYC1	130.09827	0	0.251714096695055
YHR144C	P06773	DCD1	35.64574	0	0.231795246734541
YCR048W	P25628	ARE1	71.61215	0	0.220003558167076
YLR304C	P19414	ACO1	85.36736	0	0.217825647624205
YDR503C	Q04396	LPP1	31.58604	0	0.207961799757644
YNR019W	P53629	ARE2	74.022	0	0.20758561527717
YOL126C	P22133	MDH2	40.7305	0	0.198439189037027
YOR245C	Q08650	DGA1	47.71075	0	0.164378422915756
YKL029C	P36013	MAE1	74.37529	0	0
