genes	enzymes	shortNames	MWs	pathways	actions	k_scores	EV_type	OE	minUsage	maxUsage	pUsage	unique	conectivity	groups	priority	foldChange_yield	foldChange_pRate
YAL060W	P39714	BDH1	41.58155	sce00650  Butanoate metabolism	1	1000	essential	2	1.08996137082084e-06	0.00214763680963185	1.08996137082084e-06	1	5	0	1	1.00038238535	1.03124738621527
YCR012W	P00560	PGK1	44.73787	sce00010  Glycolysis / Gluconeogenesis sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism sce01230  Biosynthesis of amino acids	1	1.2270714253939	essential	2	8.93967329265209e-07	0.00199599520170101	8.93967329265272e-07	1	4	0	1	1.00012536522913	1.0100363380445
YDR050C	P00942	TPI1	26.79508	sce00010  Glycolysis / Gluconeogenesis sce00051  Fructose and mannose metabolism sce00562  Inositol phosphate metabolism sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism sce01230  Biosynthesis of amino acids	1	1.2261609424324	essential	2	2.71291936305638e-08	0.00333110779375248	2.71292581118224e-08	1	2	0	1	1.00000035525049	1.00002816192829
YMR205C	P16862	PFK2	104.61673	sce00010  Glycolysis / Gluconeogenesis sce00030  Pentose phosphate pathway sce00051  Fructose and mannose metabolism sce00052  Galactose metabolism sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism sce01230  Biosynthesis of amino acids sce03018  RNA degradation	2	1.21928629295054	essential	2	3.67220090903521e-07	6.60398519380223e-07	6.6037952959633e-07	1	9	0	1	1.00040741663649	1.03336024498201
YBR196C	P12709	PGI1	61.29832	sce00010  Glycolysis / Gluconeogenesis sce00030  Pentose phosphate pathway sce00500  Starch and sucrose metabolism sce00520  Amino sugar and nucleotide sugar metabolism sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism	1	1.16078672494188	essential	2	3.24679567969005e-07	0.00145642769934773	3.24683224839328e-07	1	2	0	1	1.00012446533572	1.00996358671766
YDR516C	Q04409	EMI2	55.92028	sce00010  Glycolysis / Gluconeogenesis sce00051  Fructose and mannose metabolism sce00052  Galactose metabolism sce00500  Starch and sucrose metabolism sce00520  Amino sugar and nucleotide sugar metabolism sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism	2	1.0004633338087	essential	2	2.22092650119604e-08	1.86179439461901e-07	1.86122878948836e-07	1	4	0	1	1.00005234082243	1.00416618961166
YAL038W	P00549	CDC19	54.54404	sce00010  Glycolysis / Gluconeogenesis sce00230  Purine metabolism sce00620  Pyruvate metabolism sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism sce01230  Biosynthesis of amino acids	2	2.43513518028431	opt_isoenz_tight	2	0	1.83764312896391e-06	1.83762461382314e-06	1	6	0	2	1.00035239044618	1.02872676869614
YBL039C	P28274	URA7	64.70953	sce00240  Pyrimidine metabolism	0	0.288223123335067	subOpt_isoenz	0	0	4.15289004659845e-08	0	0	12	1	2	1	1
YER070W	P21524	RNR1	99.56021	sce00230  Purine metabolism sce00240  Pyrimidine metabolism sce00480  Glutathione metabolism	0	0.278185415004635	subOpt_isoenz	0	0	4.87266676416399e-07	0	0	24	2	2	1	0.999999999999998
YIL066C	P21672	RNR3	97.51369	sce00230  Purine metabolism sce00240  Pyrimidine metabolism sce00480  Glutathione metabolism	0	0.278185415004635	subOpt_isoenz	0	0	4.87266676416659e-07	0	0	24	2	2	1	1
YJL026W	P09938	RNR2	46.14681	sce00230  Purine metabolism sce00240  Pyrimidine metabolism sce00480  Glutathione metabolism	0	0.278185415004635	subOpt_isoenz	0	0	4.87266676414848e-07	0	0	24	2	2	0.999999999999997	1
YMR145C	P40215	NDE1	62.77345	sce00NNN  None	0	0.251837941631569	subOpt_isoenz	0	0	7.94813625004554e-05	0	0	6	4	2	1	1
YDL052C	P33333	SLC1	33.88654	sce00561  Glycerolipid metabolism sce00564  Glycerophospholipid metabolism sce01110  Biosynthesis of secondary metabolites	0	0.247365076388417	subOpt_isoenz	0	0	2.97211162853318e-06	0	1	28	0	2	1	1
YDR231C	Q04935	COX20	23.75778	sce00NNN  None	0	0.229345720355644	subOpt_isoenz	0	0	8.5197569299662e-05	0	0	7	7	2	0.999999999999999	1
YGR062C	P53239	COX18	35.64994	sce00NNN  None	0	0.229345720355644	subOpt_isoenz	0	0	8.5197569299662e-05	0	0	7	7	2	0.999999999999999	1
YHR116W	P38824	COX23	17.31758	sce00NNN  None	0	0.229345720355644	subOpt_isoenz	0	0	8.5197569299662e-05	0	0	7	7	2	0.999999999999999	1
YJL003W	P47081	COX16	14.07686	sce00NNN  None	0	0.229345720355644	subOpt_isoenz	0	0	8.5197569299662e-05	0	0	7	7	2	0.999999999999999	1
YLL018C-A	Q3E731	COX19	11.10542	sce00NNN  None	0	0.229345720355644	subOpt_isoenz	0	0	8.5197569299662e-05	0	0	7	7	2	0.999999999999999	1
YPL132W	P19516	COX11	34.04384	sce00190  Oxidative phosphorylation	0	0.229345720355644	subOpt_isoenz	0	0	8.5197569299662e-05	0	0	7	7	2	0.999999999999999	1
YNR019W	P53629	ARE2	74.022	sce00100  Steroid biosynthesis	0	0.207585615226956	subOpt_isoenz	0	0	0.00120581233903203	0	1	84	0	2	1	1
YOR245C	Q08650	DGA1	47.71075	sce00561  Glycerolipid metabolism	0	0.164378422840434	subOpt_isoenz	0	0	1.01733999424502e-07	0	1	122	0	2	1	0.999999999999998
