genes	enzymes	shortNames	MWs	actions	k_scores	OE	minUsage	maxUsage	pUsage
YAR035W	P80235	YAT1	77.76483	2	1000	2	0	1.38242425916299e-07	1.37863346438076e-07
YBL015W	P32316	ACH1	58.71137	1	1000	2	0	0.00152641269127599	6.72736422096e-12
YBR208C	P32528	DUR1,2	201.82994	2	1000	2	1.87028403627647e-07	1.87112882822759e-07	1.87042164919645e-07
YCL064C	P25379	CHA1	39.30093	2	1000	2	0	5.86692148068651e-06	5.86569451820337e-06
YDL080C	Q07471	THI3	68.36566	1	1000	2	3.87224476123205e-07	2.1900201170056e-05	3.87791195481013e-07
YDL171C	Q12680	GLT1	238.09944	2	1000	2	0	2.18490569565526e-07	2.18256337410196e-07
YDR321W	P38986	ASP1	41.3948	1	1000	2	0	1.4998222554048e-06	1.97202084220776e-09
YEL046C	P37303	GLY1	42.81463	2	1000	2	8.70257280880284e-07	8.70517779222579e-07	8.70263396131025e-07
YEL047C	P32614	FRD1	50.84351	1	1000	2	5.60415480338215e-07	0.00176318155058433	5.60436169711178e-07
YER024W	P40017	YAT2	103.33286	1	1000	2	0	3.67156898079942e-07	0
YER170W	P26364	ADK2	25.19373	1	1000	2	0	0.00355715225001721	4.17441764088e-13
YHR037W	P07275	PUT2	64.43444	1	1000	2	5.75359893147209e-06	0.00139659203798439	5.75381134236809e-06
YLR142W	P09368	PUT1	53.27087	2	1000	2	2.57623968678926e-07	2.57828981263518e-07	2.57633478172863e-07
YLR438W	P07991	CAR2	46.08557	2	1000	2	4.44816078632858e-08	4.45521570862429e-08	4.44848807586346e-08
YML042W	P32796	CAT2	77.24096	2	1000	2	1.39020317891705e-07	1.39434426751863e-07	1.39052078645771e-07
YOR100C		CRC1	NaN	1	1000	2	NaN	NaN	NaN
YPL111W	P00812	CAR1	35.66162	2	1000	2	1.60381591671065e-05	1.60454034719859e-05	1.6039339232734e-05
YDR452W	Q04119	PPN1	78.34335	1	1000	2	0	0.00114391180533607	8.27138155473056e-13
YDR380W	Q06408	ARO10	71.38357	2	92.4717113347962	2	7.94749886435182e-09	7.95623836190793e-09	7.95594994490425e-09
YPR035W	P32288	GLN1	41.7656	2	29.5824878441381	2	5.69321439964493e-06	5.98343011131647e-06	5.983118986439e-06
YOL126C	P22133	MDH2	40.7305	1	22.3094762649771	2	3.37256552979321e-08	0.00220029708209928	3.37263577185511e-08
YNR001C	P00890	CIT1	53.35945	2	20.8194054138749	2	0	2.02451450119007e-06	2.02450291352465e-06
YPR001W	P43635	CIT3	53.81073	1	20.8194054138749	2	0	2.02451450119006e-06	0
YKL085W	P17505	MDH1	35.64959	1	20.8194054138749	2	1.50234691807247e-06	0.0025153546671885	1.50243291295934e-06
YCR053W	P16120	THR4	57.47349	2	19.0102912698628	2	8.16775971432181e-09	8.17050513484136e-09	8.16782413683068e-09
YDR158W	P13663	HOM2	39.54334	2	19.0102912698628	2	1.7557683174539e-07	1.75635834307548e-07	1.75578202702824e-07
YER052C	P10869	HOM3	58.10913	2	19.0102912698628	2	1.46803684408082e-07	1.46853029376851e-07	1.46804842309634e-07
YHR025W	P17423	THR1	38.71215	2	19.0102912698628	2	8.16775966831265e-07	8.17050513484857e-07	8.16782413683068e-07
YJR139C	P31116	HOM6	38.50163	2	19.0102912698628	2	1.47583487600706e-06	1.47633083713207e-06	1.47584640685867e-06
YBR218C	P32327	PYC2	130.16549	1	11.0997867402086	2	0	5.26371456651264e-06	0
YGL062W	P11154	PYC1	130.09827	2	11.0997867402086	2	0	5.26371456651273e-06	5.26316840548724e-06
YDR384C		ATO3	NaN	1	6.85220519022166	2	NaN	NaN	NaN
YGR121C		MEP1	NaN	1	6.85220519022166	2	NaN	NaN	NaN
YNL142W		MEP2	NaN	1	6.85220519022166	2	NaN	NaN	NaN
YPR138C		MEP3	NaN	1	6.85220519022166	2	NaN	NaN	NaN
YBR221C	P32473	PDB1	40.0532	2	5.21281943900237	2	3.58097083011769e-06	3.58120916058765e-06	3.58120539754415e-06
YER178W	P16387	PDA1	46.34261	2	5.21281943900237	2	3.58097083011769e-06	3.58120916058765e-06	3.58120539754415e-06
YGR193C	P16451	PDX1	45.36125	2	5.21281943900237	2	3.58097083011769e-06	3.58120916058765e-06	3.58120539754415e-06
YNL071W	P12695	LAT1	51.81762	2	5.21281943900237	2	3.58097083011769e-06	3.58120916058765e-06	3.58120539754415e-06
YBR296C		PHO89	NaN	1	4.94427356111008	2	NaN	NaN	NaN
YCR037C		PHO87	NaN	1	4.94427356111008	2	NaN	NaN	NaN
YJL198W		PHO90	NaN	1	4.94427356111008	2	NaN	NaN	NaN
YML123C		PHO84	NaN	1	4.94427356111008	2	NaN	NaN	NaN
YNR013C		PHO91	NaN	1	4.94427356111008	2	NaN	NaN	NaN
