genes	enzymes	shortNames	MWs	pathways	actions	k_scores	EV_type	OE	minUsage	maxUsage	pUsage	unique	conectivity	groups	priority	foldChange_yield	foldChange_pRate	FCC
tesA	P0ADA1	tesA	23.622		OE	1000	tightly_const	2	4.61473184707975e-07	4.61760795427499e-07	4.61591077280152e-07	1	17	0	1	1.00214520825438	1.00358068799979	0
FAS1	A0A2Z6EZ44	FAS1	318.115		OE	604.042620819165	essential	2	3.37188656598252e-06	8.29188543856873e-06	8.29184879507217e-06	0	13	1	1	1.07902117800023	1.13903567058053	0.233403756629232
FAS2	A0A2Z6EYW1	FAS2	137.582		OE	604.042620819165	essential	2	3.37188656598252e-06	8.29188543856873e-06	8.29184879507217e-06	0	13	1	1	1.03282402472284	1.05593424145362	0.100869305285447
YPL061W	P54115	ALD6	54.41344	sce00010  Glycolysis / Gluconeogenesis sce00071  Fatty acid degradation sce00280  Valine, leucine and isoleucine degradation sce00310  Lysine degradation sce00330  Arginine and proline metabolism sce00340  Histidine metabolism sce00380  Tryptophan metabolism sce00410  beta-Alanine metabolism sce00561  Glycerolipid metabolism sce00620  Pyruvate metabolism sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics	OE	11.4992089553214	tightly_const	2	1.17111941429342e-05	1.17122930953054e-05	1.17121709894878e-05	1	8	0	1	0.98950780396333	1.03111185570658	0.0560964609260689
YNR016C	Q00955	ACC1	250.35091	sce00061  Fatty acid biosynthesis sce00620  Pyruvate metabolism sce00640  Propanoate metabolism sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01212  Fatty acid metabolism	OE	11.3306925390872	tightly_const	2	6.83085851689163e-06	6.83089505106561e-06	6.83085851689163e-06	1	7	0	1	1.04991755240419	1.0860655835751	0.150387132691064
YJL121C	P46969	RPE1	25.96689	sce00030  Pentose phosphate pathway sce00040  Pentose and glucuronate interconversions sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism sce01230  Biosynthesis of amino acids	OE	8.54702890169512	essential	2	5.16600073443381e-07	0.00272130328910734	5.16707529386481e-07	1	2	0	1	1.00056523706762	1.00094247474959	0
YGL055W	P21147	OLE1	58.40232	sce01040  Biosynthesis of unsaturated fatty acids sce01212  Fatty acid metabolism	OE	6.18397844374176	tightly_const	2	2.56704521383239e-05	2.56709908671458e-05	2.56704521383239e-05	1	9	0	1	1.04322537054583	1.07418480683516	0.124728901504621
YLR153C	P52910	ACS2	75.49079	sce00010  Glycolysis / Gluconeogenesis sce00620  Pyruvate metabolism sce00630  Glyoxylate and dicarboxylate metabolism sce00640  Propanoate metabolism sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism	OE	11.499208955337	opt_isoenz_tight	2	0	4.12935053909864e-06	4.12928165905089e-06	1	13	0	2	1.0087740475822	1.01471036886501	0.0274818327403677
YLR044C	P06169	PDC1	61.49468	sce00010  Glycolysis / Gluconeogenesis sce01110  Biosynthesis of secondary metabolites	OE	11.4992089553214	opt_isoenz_tight	2	0	1.77703341482462e-06	1.77701488846865e-06	1	17	0	2	0.977467082047293	1.03382469664956	0.0326168600069661
YHR163W	P38858	SOL3	27.78417	sce00030  Pentose phosphate pathway sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism	OE	4.70370003839383	opt_isoenz_tight	2	0	9.37228358841768e-06	9.37196397052462e-06	1	5	0	2	1.0107683253722	1.01807811003381	0.0244963822731901
YHR183W	P38720	GND1	53.54274	sce00030  Pentose phosphate pathway sce00480  Glutathione metabolism sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism	OE	4.70370003839383	opt_isoenz_tight	2	0	2.57480192300833e-06	2.57471411593811e-06	1	6	0	2	1.00568922402676	1.00951872981644	0.0130145591762203
YBR218C	P32327	PYC2	130.16549	sce00020  Citrate cycle (TCA cycle) sce00620  Pyruvate metabolism sce01200  Carbon metabolism sce01230  Biosynthesis of amino acids	KD	0.293604031274262	subOpt_isoenz	0	0	5.54843417261205e-07	0	0	8	3	2	0.999999999999989	1	0
YNR019W	P53629	ARE2	74.022	sce00100  Steroid biosynthesis	KD	0.207585615138477	subOpt_isoenz	0	0	0.000954451304973909	0	1	84	0	2	0.999999999999994	1.00000000000001	0
YOR245C	Q08650	DGA1	47.71075	sce00561  Glycerolipid metabolism	KD	0.164378422707716	subOpt_isoenz	0	0	1.01733999405339e-07	0	1	122	0	2	0.999999999999984	1.00000000000001	0
