rxn_IDs	rxnNames	K_score	grRules	rxn_formula
r_1120	carnithine-acetylcarnithine carrier	1000	YOR100C	(R)-carnitine[m] + O-acetylcarnitine[c] => (R)-carnitine[c] + O-acetylcarnitine[m]
r_0057No1	3-hydroxyacyl-CoA dehydrogenase (3-oxotetradecanoyl-CoA) (No1)	1000	YKR009C	(S)-3-hydroxytetradecanoyl-CoA[p] + NAD[p] + 7.1592e-07 prot_Q02207[c] => 3-oxotetradecanoyl-CoA[p] + H+[p] + NADH[p]
r_0102No1	acetyl-CoA C-acyltransferase (myristoyl-CoA) (No1)	1000	YIL160C	3-oxopalmitoyl-CoA[p] + coenzyme A[p] + 1.8769e-05 prot_P27796[c] => acetyl-CoA[p] + myristoyl-CoA[p]
r_0105No1	acetyl-CoA C-acyltransferase (lauroyl-CoA) (No1)	1000	YIL160C	3-oxotetradecanoyl-CoA[p] + coenzyme A[p] + 1.8769e-05 prot_P27796[c] => acetyl-CoA[p] + lauroyl-CoA[p]
r_0106No1	acetyl-CoA C-acyltransferase (octanoyl-CoA) (No1)	1000	YIL160C	3-oxodecanoyl-CoA[p] + coenzyme A[p] + 1.8769e-05 prot_P27796[c] => acetyl-CoA[p] + octanoyl-CoA[p]
r_0107No1	acetyl-CoA C-acyltransferase (decanoyl-CoA) (No1)	1000	YIL160C	3-oxolauroyl-CoA[p] + coenzyme A[p] + 1.8769e-05 prot_P27796[c] => acetyl-CoA[p] + decanoyl-CoA[p]
r_0120No1	acyl-CoA oxidase (decanoyl-CoA) (No1)	1000	YGL205W	decanoyl-CoA[p] + oxygen[p] + 0.00018155 prot_P13711[c] => hydrogen peroxide[p] + trans-dec-2-enoyl-CoA[p]
r_0121No1	acyl-CoA oxidase (dodecanoyl-CoA) (No1)	1000	YGL205W	lauroyl-CoA[p] + oxygen[p] + 3.2337e-05 prot_P13711[c] => hydrogen peroxide[p] + trans-dodec-2-enoyl-CoA[p]
r_0123No1	acyl-CoA oxidase (hexadecanoyl-CoA) (No1)	1000	YGL205W	oxygen[p] + palmitoyl-CoA[p] + 3.5612e-06 prot_P13711[c] => hexadec-2-enoyl-CoA[p] + hydrogen peroxide[p]
r_0125No1	acyl-CoA oxidase (tetradecanoyl-CoA) (No1)	1000	YGL205W	myristoyl-CoA[p] + oxygen[p] + 3.2337e-05 prot_P13711[c] => hydrogen peroxide[p] + trans-tetradec-2-enoyl-CoA[p]
