genes	enzymes	shortNames	MWs	actions	k_scores	OE	minUsage	maxUsage	pUsage	foldChange	unique	conectivity	groups	priority
YDR300C	P32264	PRO1	47.16164	OE	1000	2	1.08879914881533e-07	1.09300438572882e-07	1.0902612724658e-07	1.00002752692199	1	4	0	1
YOR323C	P54885	PRO2	49.73991	OE	1000	2	1.41133986805696e-08	1.41521613400298e-08	1.41330231905917e-08	1.00000462734289	1	6	0	1
YJR069C	P47119	HAM1	22.09268	OE	1000	2	1.63935488416334e-12	4.51469125693907e-09	8.15824385982e-11	1.00000000068445	1	16	0	1
PAL	P45730	PAL	77.919	OE	1000	2	2.72795838292408e-08	2.72795838292409e-08	2.72795838292408e-08	1.00001196660573	1	3	0	1
C4H	C0LUU6	C4H	58.011	OE	1000	2	3.70921411769653e-09	3.70921411769654e-09	3.70921411769653e-09	1.00000211084673	1	7	0	1
4CL	C0LUU7	4CL	60.994	OE	1000	2	5.90351017355202e-06	5.90351017355203e-06	5.90351017355202e-06	1.00186206043911	1	6	0	1
CHS	Q6X0M9	CHS	42.488	OE	1000	2	0.000100025140707216	0.000100025140707217	0.000100025140707216	1.02241701854083	1	6	0	1
CHI	C0LUV0	CHI	24.679	OE	1000	2	4.29146024027065e-09	4.29146024027066e-09	4.29146024027065e-09	1.00000154715429	1	3	0	1
F3H	Q53B69	F3H	42.673	OE	1000	2	0.00216054303927587	0.00216054303927588	0.00216054303927587	1.9070594254313	1	6	0	1
FLS	C0LUV3	FLS	40.041	OE	1000	2	9.09319460974695e-08	9.09319460974697e-08	9.09319460974695e-08	1.00001978464612	1	10	0	1
YOR283W	Q12040	YOR283W	26.17622	OE	2.26446290077234	2	6.1235823797584e-07	6.23214767045955e-07	6.18299208159217e-07	1.00008465436353	1	4	0	1
YMR205C	P16862	PFK2	104.61673	OE	1.22243269057724	2	7.28326666864512e-07	7.31859617208269e-07	7.28782536988423e-07	1.00039580826725	1	9	0	1
YBR196C	P12709	PGI1	61.29832	OE	1.17125734340237	2	3.82812287857059e-07	3.8870616075923e-07	3.82838033400257e-07	1.00012342100686	1	2	0	1
YLR438W	P07991	CAR2	46.08557	deletion	0	0	0	1.77222173723505e-11	0	1.00000101873705	1	4	0	1
YMR246W	P47912	FAA4	77.26612	deletion	0	0	0	1.34760268571507e-09	0	1.00000208385417	1	48	0	1
YOR317W	P30624	FAA1	77.86529	deletion	0	0	0	1.32268408983187e-09	0	1.00000207294722	1	52	0	1
YOR388C	Q08911	FDH1	41.7138	deletion	0	0	0	1.72670838414362e-09	0	1.00000175269095	1	4	0	1
YOL086C	P00330	ADH1	36.84874	OE	1000	2	4.37926662357288e-07	4.46294042698415e-07	4.43982533855855e-07	1.00008577078337	0	21	1	2
YLR044C	P06169	PDC1	61.49468	OE	16.0207151191823	2	3.13639941307613e-06	3.19578842867501e-06	3.13676682565578e-06	1.00101678099306	0	17	2	2
YAL038W	P00549	CDC19	54.54404	OE	2.42358067166733	2	2.05120178905878e-06	2.20220449427831e-06	2.19747444675598e-06	1.00062052383047	0	6	3	2
YGR254W	P00924	ENO1	46.81564	OE	2.26446290077234	2	2.04635246983365e-06	2.24564412888517e-06	2.23931754167618e-06	1.00054285839001	0	5	4	2
YLR354C	P15019	TAL1	37.0359	OE	1.25732473503429	2	3.43833940706912e-06	3.46778809269679e-06	3.43852177930866e-06	1.00066296183695	0	6	5	2
YGR243W		MPC3	NaN	deletion	0.14509421876882	0	0	0	0	1.00000100078251	0	4	6	2
YLL052C		AQY2	NaN	deletion	0.130929340531701	0	0	0	0	1.00000100078251	0	2	8	2
YOR222W		ODC2	NaN	deletion	0.117885827804797	0	0	0	0	1.00000100078251	0	6	9	2
YER053C		PIC2	NaN	deletion	0.0169540988739458	0	0	0	0	1.00000100078251	0	4	12	2
YER070W	P21524	RNR1	99.56021	deletion	0	0	0	9.87420397707598e-10	0	1.0000020246251	0	24	15	2
YGR180C	P49723	RNR4	40.05407	deletion	0	0	0	2.53322620063383e-09	0	1.00000204690198	0	24	15	2
YIL066C	P21672	RNR3	97.51369	deletion	0	0	0	1.01806216446134e-09	0	1.00000203460459	0	24	15	2
YIL125W	P20967	KGD1	114.41496	deletion	0	0	0	4.23137761196419e-10	0	1.00000150982629	0	11	14	2
YJL026W	P09938	RNR2	46.14681	deletion	0	0	0	2.16742264892765e-09	0	1.00000204228763	0	24	15	2
YBL039C	P28274	URA7	64.70953	deletion	0.133931198022575	0	0	1.92905832414151e-08	0	1.00001388026854	0	12	7	3
YAL062W	P39708	GDH3	49.62653	deletion	0.0492286378110635	0	0	7.08097106084422e-07	0	1.00036357060777	0	8	10	3
YMR145C	P40215	NDE1	62.77345	deletion	0.0348137609874257	0	0	8.78458543792392e-08	0	1.0000578968431	0	6	11	3
YER081W	P40054	SER3	51.1927	deletion	0.0147515392626415	0	0	1.54932223553295e-08	0	1.00000918420019	0	6	13	3
