genes	enzymes	shortNames	MWs	pathways	actions	k_scores	enz_pos	unique	conectivity	groups	EV_type	OE	minUsage	maxUsage	pUsage	minUsageBio	maxUsageBio	pUsageBio	EUV_comparison	priority
YDR300C	P32264	PRO1	47.16164	sce00330  Arginine and proline metabolism sce00332  Carbapenem biosynthesis sce01130  Biosynthesis of antibiotics sce01230  Biosynthesis of amino acids	OE	1000	7391	1	4	0	essential_tightly_const	2	2.10050635867143e-07	2.10396845678141e-07	2.10188074822914e-07	0	3.62398606472777e-09	2.89574451495682e-09	up_distinct	1
YOR323C	P54885	PRO2	49.73991	sce00330  Arginine and proline metabolism sce00332  Carbapenem biosynthesis sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01230  Biosynthesis of amino acids	OE	1000	7819	1	6	0	essential_tightly_const	2	2.72287990308124e-08	2.72747458409579e-08	2.72466152002226e-08	0	4.69776188538957e-10	3.75374466813388e-10	up_distinct	1
YER043C	P39954	SAH1	49.12498	sce00270  Cysteine and methionine metabolism	OE	48.866182329542	7609	1	4	0	essential_tightly_const	2	0.000181455075723197	0.000181455788395944	0.000181455240042279	5.71285017430009e-06	5.71582277485459e-06	5.71318162362759e-06	up_distinct	1
YJR105W	P47143	ADO1	36.37191	sce00230  Purine metabolism	OE	48.866182329542	7704	1	5	0	essential_tightly_const	2	5.62142606931385e-06	5.6219811726981e-06	5.62153769820159e-06	1.7684730801369e-07	1.77214274713929e-07	1.7699607829684e-07	up_distinct	1
YLR180W	P10659	SAM1	41.81793	sce00270  Cysteine and methionine metabolism sce01110  Biosynthesis of secondary metabolites sce01230  Biosynthesis of amino acids	OE	48.866182329542	7208	1	7	0	essential_tightly_const	2	0.000245883053969572	0.000245883931609957	0.000245883185500884	7.48793870999462e-06	7.74529691901411e-06	7.74171799411994e-06	up_distinct	1
YGL125W	P53128	MET13	68.55958	sce00670  One carbon pool by folate sce01200  Carbon metabolism	OE	32.8243589938031	7761	1	6	0	essential	2	8.83730426808362e-07	9.00596483753142e-07	9.00592367289101e-07	0	3.77544780704142e-08	3.77493852844391e-08	up_distinct	1
YER091C	P05694	MET6	85.85892	sce00270  Cysteine and methionine metabolism sce00450  Selenocompound metabolism sce01110  Biosynthesis of secondary metabolites sce01230  Biosynthesis of amino acids	OE	32.8243589938025	7124	1	7	0	essential_tightly_const	2	4.11699372946559e-05	4.11701686059314e-05	4.11699738433257e-05	1.72561298643162e-06	1.72592064404577e-06	1.72568773755006e-06	up_distinct	1
YLR044C	P06169	PDC1	61.49468	sce00010  Glycolysis / Gluconeogenesis sce01110  Biosynthesis of secondary metabolites	OE	9.66195449596794	7128	1	17	0	essential_tightly_const	2	1.26510184824546e-06	1.2670640167626e-06	1.26689784757129e-06	0	2.05191803803832e-07	2.05155829435247e-07	up_distinct	1
YPL061W	P54115	ALD6	54.41344	sce00010  Glycolysis / Gluconeogenesis sce00071  Fatty acid degradation sce00280  Valine, leucine and isoleucine degradation sce00310  Lysine degradation sce00330  Arginine and proline metabolism sce00340  Histidine metabolism sce00380  Tryptophan metabolism sce00410  beta-Alanine metabolism sce00561  Glycerolipid metabolism sce00620  Pyruvate metabolism sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics	OE	6.50733278341365	7812	1	8	0	essential_tightly_const	2	8.34044716982439e-06	8.35032458663698e-06	8.35002807981863e-06	1.35162463255363e-06	1.35240368968932e-06	1.35216658533821e-06	up_distinct	1
YHR163W	P38858	SOL3	27.78417	sce00030  Pentose phosphate pathway sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism	OE	3.32286238175878	7577	1	5	0	essential	2	1.24231968378023e-05	1.25722566652548e-05	1.25577401683892e-05	0	2.65718378255444e-06	2.65652893908763e-06	up_distinct	1
YHR183W	P38720	GND1	53.54274	sce00030  Pentose phosphate pathway sce00480  Glutathione metabolism sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism	OE	3.32286238175878	7563	1	6	0	essential	2	3.21330356922386e-06	3.45386270361251e-06	3.44992692860565e-06	0	7.29995187250573e-07	7.29815285289038e-07	up_distinct	1
YNL241C	P11412	ZWF1	57.5209	sce00030  Pentose phosphate pathway sce00480  Glutathione metabolism sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism	OE	3.32286238175878	7214	1	5	0	essential_tightly_const	2	1.98393293399449e-07	1.98674627936849e-07	1.98446996189661e-07	4.19249195091325e-08	4.1990846513841e-08	4.19804981775209e-08	up_distinct	1
YAL038W	P00549	CDC19	54.54404	sce00010  Glycolysis / Gluconeogenesis sce00230  Purine metabolism sce00620  Pyruvate metabolism sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism sce01230  Biosynthesis of amino acids	OE	1.77367680849361	7081	1	6	0	essential	2	1.42022548333159e-06	1.5597358022049e-06	1.5595185649705e-06	0	8.77321475133927e-07	8.77285523746863e-07	up_distinct	1
YMR267W	P28239	PPA2	35.57213	sce00190  Oxidative phosphorylation	OE	1.17837786802072	7355	1	4	0	essential_tightly_const	2	1.15326758294453e-06	1.1536686538538e-06	1.15360330116632e-06	8.79412726274281e-07	8.79509398177751e-07	8.7947275927514e-07	up_distinct	1
YNL036W	P53615	NCE103	24.85889	sce00910  Nitrogen metabolism	KD	0.279670214739428	7784	1	4	0	biomass_opt	0.5	0	3.65169637808918e-09	5.02516968738898e-11	0	0.00284322713808728	1.08197170211691e-10	down_subset	2
