genes	enzymes	shortNames	MWs	actions	k_scores	EV_type	OE	minUsage	maxUsage	pUsage	unique	conectivity	groups	priority
YDR300C	P32264	PRO1	47.16164	2	1000	tightly_const	2	2.1005674458432e-07	2.10433361157905e-07	2.10188074822914e-07	1	4	0	1
YOR323C	P54885	PRO2	49.73991	2	1000	tightly_const	2	2.7229360258993e-08	2.72797581446543e-08	2.72466152002226e-08	1	6	0	1
YJR069C	P47119	HAM1	22.09268	1	1000	essential	2	2.6612455473485e-11	4.25928066607563e-09	1.5728024228112e-10	1	16	0	1
3DSD	Q86ZM4	3DSD	41.685	2	1000	tightly_const	2	3.79064305250858e-09	3.79064305251616e-09	3.79064305250858e-09	1	3	0	1
OMT	P21964	OMT	30.037	2	1000	tightly_const	2	1.02924390848614e-07	1.0292439084882e-07	1.02924390848614e-07	1	6	0	1
ACAR	Q6RKB1	ACAR	128.346	2	1000	tightly_const	2	1.05526994426107e-07	1.05526994426318e-07	1.05526994426107e-07	1	13	0	1
UGT	Q9LVR1	UGT	52.992	2	1000	tightly_const	2	0.00170653992095326	0.00170653992095667	0.00170653992095326	1	5	0	1
YLR044C	P06169	PDC1	61.49468	2	12.155625987218	tightly_const	2	8.73465931657301e-07	8.8136003722271e-07	8.75390966726073e-07	0	17	2	1
YAL038W	P00549	CDC19	54.54404	2	2.44166466166889	essential	2	1.89745268140298e-06	2.03724175282167e-06	2.03676162366293e-06	0	6	3	1
YGR254W	P00924	ENO1	46.81564	2	2.28818339159914	essential	2	1.9077387711336e-06	2.09219886758346e-06	2.09030473880606e-06	0	5	4	1
YOR283W	Q12040	YOR283W	26.17622	2	2.28818339159914	essential	2	5.70564510739688e-07	5.80617286889343e-07	5.77155200529457e-07	1	4	0	1
YLR354C	P15019	TAL1	37.0359	2	1.26034860745637	tightly_const	2	3.28637991525173e-06	3.29097376634947e-06	3.28636552330603e-06	0	6	5	1
YMR205C	P16862	PFK2	104.61673	2	1.2247538018684	tightly_const	2	6.89510123351876e-07	6.92709707284974e-07	6.92404236058083e-07	1	9	0	1
YDR050C	P00942	TPI1	26.79508	2	1.22359675293279	essential	2	2.84433202795988e-08	3.18255960048671e-08	2.84490642711398e-08	1	2	0	1
YCR012W	P00560	PGK1	44.73787	2	1.22180013788217	tightly_const	2	9.13405982172251e-07	9.15521185487807e-07	9.13498862014333e-07	1	4	0	1
YJL052W	P00360	TDH1	35.74956	2	1.22180013788217	tightly_const	2	1.69026138928122e-05	1.69098612854976e-05	1.69060281969039e-05	0	8	6	1
YBR196C	P12709	PGI1	61.29832	2	1.18981058729724	tightly_const	2	3.76618546488611e-07	3.78313165282784e-07	3.76836374579461e-07	1	2	0	1
YDR502C	P19358	SAM2	42.2555	0	0.293827460547136	subOpt_isoenz	0	0	2.14499534265244e-09	0	0	7	7	2
YBR218C	P32327	PYC2	130.16549	0	0.277558868097411	subOpt_isoenz	0	0	5.06631195392407e-07	0	0	8	10	2
YBL039C	P28274	URA7	64.70953	0	0.258201785040243	subOpt_isoenz	0	0	3.67359965611195e-08	0	0	12	12	2
YMR145C	P40215	NDE1	62.77345	0	0.212918031345334	subOpt_isoenz	0	0	8.13187368164098e-08	0	0	6	13	2
YAL062W	P39708	GDH3	49.62653	0	0.126197633644307	subOpt_isoenz	0	0	1.347411382419e-06	0	0	8	19	2
YER081W	P40054	SER3	51.1927	0	0.0297125652930621	subOpt_isoenz	0	0	3.05994147066555e-08	0	0	6	20	2
YLR438W	P07991	CAR2	46.08557	0	0	subOpt_isoenz	0	0	1.61605985296635e-11	0	1	4	0	2
YMR246W	P47912	FAA4	77.26612	0	0	subOpt_isoenz	0	0	1.24892530810366e-09	0	1	48	0	2
YOR317W	P30624	FAA1	77.86529	0	0	subOpt_isoenz	0	0	1.2386796208537e-09	0	1	52	0	2
YOR388C	Q08911	FDH1	41.7138	0	0	subOpt_isoenz	0	0	2.11044462065942e-09	0	1	4	0	2
YDR452W	Q04119	PPN1	78.34335	1	1000	opt_isoenz	2	0	1.13226678302581e-09	1.59461388661699e-12	1	11	0	3
YKL060C	P14540	FBA1	39.62024	2	1.2247538018684	opt_isoenz	2	0	3.83832860247405e-09	3.79382651414321e-09	1	7	0	3
YLL052C		AQY2	NaN	0	0.286257135173946		0	NaN	NaN	NaN	0	2	9	3
YPR192W		AQY1	NaN	0	0.286257135173946		0	NaN	NaN	NaN	0	2	9	3
YOR222W		ODC2	NaN	0	0.260789689245309		0	NaN	NaN	NaN	0	6	11	3
YPL134C		ODC1	NaN	0	0.260789689245309		0	NaN	NaN	NaN	0	6	11	3
YER053C		PIC2	NaN	0	0.151581613761252		0	NaN	NaN	NaN	0	4	18	3
YJR077C		MIR1	NaN	0	0.151581613761252		0	NaN	NaN	NaN	0	4	18	3
YER070W	P21524	RNR1	99.56021	0	0	subOpt_isoenz	0	0	9.22481530400594e-10	0	0	24	22	3
YGR180C	P49723	RNR4	40.05407	0	0	subOpt_isoenz	0	0	2.3487777570332e-09	0	0	24	22	3
YIL066C	P21672	RNR3	97.51369	0	0	subOpt_isoenz	0	0	9.42150937698702e-10	0	0	24	22	3
