genes	enzymes	shortNames	MWs	actions	k_scores	EV_type	OE	minUsage	maxUsage	pUsage	unique	conectivity	groups	priority	foldChange_yield	foldChange_pRate
YDL238C	Q07729	GUD1	55.20292	2	1000	tightly_const	2	2.09598906687471e-07	2.09599954555117e-07	2.09598906687471e-07	1	5	0	1	1.00008921272116	1.00009221337349
YLR209C	Q05788	PNP1	33.7546	1	1000	essential	2	2.30558846326896e-06	0.000633271740143862	2.30558846326896e-06	1	13	0	1	1.00060036110566	1.00062056480138
YMR217W	P38625	GUA1	58.48154	2	156.624415435016	tightly_const	2	0.000317659907686574	0.000317661489235696	0.000317659907686574	1	9	0	1	1.19990790414774	1.20802978199517
YAR015W	P27616	ADE1	34.60299	2	78.2974322029709	tightly_const	2	1.77163710471429e-06	1.77163898320349e-06	1.77163710471429e-06	1	7	0	1	1.00065977677385	1.00068198132245
YDR408C	P04161	ADE8	23.53994	2	78.2974322029709	tightly_const	2	1.82880166132848e-05	1.82880360042999e-05	1.82880166132848e-05	1	5	0	1	1.00464612798198	1.00480313569821
YGR061C	P38972	ADE6	148.90358	2	78.2974322029709	tightly_const	2	2.70667781156817e-05	2.70668068149282e-05	2.70667781156816e-05	1	9	0	1	1.04471525554984	1.04628871699323
YMR300C	P04046	ADE4	56.71874	2	78.2974322029709	tightly_const	2	2.46632200934743e-06	2.46632462441983e-06	2.46632200934744e-06	1	6	0	1	1.00150640629372	1.00155714819109
YOR128C	P21264	ADE2	62.33875	2	78.2974322029709	tightly_const	2	3.42900434943328e-06	3.42900798524989e-06	3.42900434943326e-06	1	8	0	1	1.00230321312558	1.00238085852667
YGL234W	P07244	ADE5,7	86.06721	2	78.2974321980508	tightly_const	2	3.91886070284676e-05	3.91886485806425e-05	3.91886070284675e-05	1	9	0	1	1.03723016705593	1.03853052554569
YPR035W	P32288	GLN1	41.7656	2	24.6034883221719	tightly_const	2	7.9501653073072e-06	7.95027015627215e-06	7.95016530730715e-06	1	7	0	1	0.97374527842457	1.02979416585255
