genes	enzymes	shortNames	MWs	actions	k_scores
YBR069C		TAT1	NaN	1	1000
YDR300C	P32264	PRO1	47.16164	1	1000
YGR191W		HIP1	NaN	1	1000
YKL106W	Q01802	AAT1	51.79484	1	1000
YKR039W		GAP1	NaN	1	1000
YOR323C	P54885	PRO2	49.73991	1	1000
YBR248C	P33734	HIS7	61.06729	1	76.8490999512012
YFR025C	P38635	HIS2	38.58138	1	76.8490999512012
YIL020C	P40545	HIS6	29.55623	1	76.8490999512012
YCL030C	P00815	HIS4	87.72027	1	76.8490999512012
YER055C	P00498	HIS1	32.26611	1	76.8490999512012
YIL116W	P07172	HIS5	42.64564	1	76.8490999512012
YOR202W	P06633	HIS3	23.83295	1	76.8490999512012
YNL220W	P80210	ADE12	48.27868	1	48.7031459763523
YLR028C	P54113	ADE16	65.28175	1	35.7312601042255
YMR120C	P38009	ADE17	65.26269	1	35.7312601042255
YBL068W	P38063	PRS4	35.71972	1	20.0028660500923
YER099C	P38620	PRS2	34.76468	1	20.0028660500923
YHL011C	P38689	PRS3	35.12352	1	20.0028660500923
YKL181W	P32895	PRS1	47.04715	1	20.0028660500923
YOL061W	Q12265	PRS5	53.50438	1	20.0028660500923
YPL262W	P08417	FUM1	53.15125	1	15.1150717199237
YOR095C	Q12189	RKI1	28.25777	1	8.6546711813815
YPR035W	P32288	GLN1	41.7656	1	7.14739623525254
YKL085W	P17505	MDH1	35.64959	1	4.98820106309558
YGR248W	P53315	SOL4	28.44737	1	4.31164347527456
YGR256W	P53319	GND2	53.92235	1	4.31164347527456
YHR163W	P38858	SOL3	27.78417	1	4.31164347527456
YHR183W	P38720	GND1	53.54274	1	4.31164347527456
YNL241C	P11412	ZWF1	57.5209	1	4.31164347527456
YDR384C		ATO3	NaN	1	3.08671291024212
YGR121C		MEP1	NaN	1	3.08671291024212
YNL142W		MEP2	NaN	1	3.08671291024212
YPR138C		MEP3	NaN	1	3.08671291024212
YDR226W	P07170	ADK1	24.2546	1	2.06172047588406
YAL062W	P39708	GDH3	49.62653	1	1.55333710883029
YOR375C	P07262	GDH1	49.56931	1	1.55333710883029
YMR267W	P28239	PPA2	35.57213	1	1.42139730529433
YLL052C		AQY2	NaN	1	1.40187021355317
YPR192W		AQY1	NaN	1	1.40187021355317
YML120C	P32340	NDI1	57.24915	1	1.16719687213705
YDR516C	Q04409	EMI2	55.92028	1	1.00066848501722
YNL036W	P53615	NCE103	24.85889	0	0.293729092865628
YBR218C	P32327	PYC2	130.16549	0	0.29359573528599
YGL062W	P11154	PYC1	130.09827	0	0.2935957341463
YKL029C	P36013	MAE1	74.37529	0	0.291189317044947
YMR062C	Q04728	ARG7	47.84821	0	0.291186778809003
YOL140W	P18544	ARG8	46.68082	0	0.291186778809003
YOR130C		ORT1	NaN	0	0.291186778809003
YER069W	Q01217	ARG5,6	94.86823	0	0.291186778809
YLR438W	P07991	CAR2	46.08557	0	0.288441877805071
YBR029C	P38221	CDS1	51.82218	0	0.278162799139612
YOR175C	Q08548	ALE1	72.22714	0	0.265001528775463
YDL052C	P33333	SLC1	33.88654	0	0.239388049981172
YCR048W	P25628	ARE1	71.61215	0	0.220003557810056
YDR503C	Q04396	LPP1	31.58604	0	0.207961799331785
YNR019W	P53629	ARE2	74.022	0	0.207585614863373
YOR245C	Q08650	DGA1	47.71075	0	0.164378422295059
YCL040W	P17709	GLK1	55.37689	0	0
YFR053C	P04806	HXK1	53.73784	0	0
YGL253W	P04807	HXK2	53.9419	0	0
YOL126C	P22133	MDH2	40.7305	0	0
YLR446W	Q06204	YLR446W	48.96875	0	0
