genes	enzymes	shortNames	MWs	pathways	actions	k_scores	enz_pos	unique	conectivity	groups	EV_type	OE	minUsage	maxUsage	pUsage	minUsageBio	maxUsageBio	pUsageBio	EUV_comparison	priority
YDR300C	P32264	PRO1	47.16164	sce00330  Arginine and proline metabolism sce00332  Carbapenem biosynthesis sce01130  Biosynthesis of antibiotics sce01230  Biosynthesis of amino acids	OE	1000	7391	1	4	0	essential_tightly_const	2	2.10057570729452e-07	2.10426876998703e-07	2.10188074822914e-07	0	3.63486022840405e-09	2.90443352775872e-09	up_distinct	1
YOR323C	P54885	PRO2	49.73991	sce00330  Arginine and proline metabolism sce00332  Carbapenem biosynthesis sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01230  Biosynthesis of amino acids	OE	1000	7819	1	6	0	essential_tightly_const	2	2.72290298539214e-08	2.7278796038753e-08	2.72466152002226e-08	0	4.71185814173009e-10	3.76500820858366e-10	up_distinct	1
Egt1	Q7RX33	Egt1	99.025		OE	1000	0	1	9	0	essential_tightly_const	2	1.75265776645158e-05	1.75265776645193e-05	1.75265776645158e-05	1.75265776645175e-07	1.77813575919581e-07	1.75265776645175e-07	none	3
YLR044C	P06169	PDC1	61.49468	sce00010  Glycolysis / Gluconeogenesis sce01110  Biosynthesis of secondary metabolites	OE	12.219610384868	7128	1	17	0	essential	2	9.24319075098913e-07	9.34059494233264e-07	9.26008906300577e-07	0	2.05807505992807e-07	2.0577142367893e-07	up_distinct	1
YGR155W	P32582	CYS4	56.02121	sce00260  Glycine, serine and threonine metabolism sce00270  Cysteine and methionine metabolism sce01130  Biosynthesis of antibiotics sce01230  Biosynthesis of amino acids	OE	3.62312969488336	7424	1	4	0	essential_tightly_const	2	3.36275127624165e-08	3.3755682650258e-08	3.36949165415907e-08	9.40635677542357e-09	9.73907678297611e-09	9.56209805570844e-09	up_distinct	1
YAL038W	P00549	CDC19	54.54404	sce00010  Glycolysis / Gluconeogenesis sce00230  Purine metabolism sce00620  Pyruvate metabolism sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism sce01230  Biosynthesis of amino acids	OE	2.4422480233586	7081	1	6	0	essential	2	1.89709249149062e-06	2.03703093248622e-06	2.03626525850126e-06	0	8.79926959332496e-07	8.79890876980883e-07	up_distinct	1
YMR205C	P16862	PFK2	104.61673	sce00010  Glycolysis / Gluconeogenesis sce00030  Pentose phosphate pathway sce00051  Fructose and mannose metabolism sce00052  Galactose metabolism sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism sce01230  Biosynthesis of amino acids sce03018  RNA degradation	OE	1.22621709165646	7260	1	9	0	essential_tightly_const	2	6.90660146369935e-07	6.94146862149362e-07	6.93619765012818e-07	3.24877154672549e-07	5.84271486503176e-07	5.84234606261088e-07	up_distinct	1
YNL036W	P53615	NCE103	24.85889	sce00910  Nitrogen metabolism	KD	0.287380225144101	7784	1	4	0	biomass_opt	0.5	0	3.64807079212437e-09	5.02516968738897e-11	0	0.00283925329665672	1.08521828571989e-10	down_subset	2
YKL085W	P17505	MDH1	35.64959	sce00020  Citrate cycle (TCA cycle) sce00270  Cysteine and methionine metabolism sce00620  Pyruvate metabolism sce00630  Glyoxylate and dicarboxylate metabolism sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism	KD	0.275171549583192	7263	1	5	0	biomass_opt	0.5	8.15454425258414e-08	8.47632941414597e-08	8.1800693590831e-08	1.61533787416985e-07	0.00198000738250804	1.61589125899506e-07	down_distinct	1
YMR267W	P28239	PPA2	35.57213	sce00190  Oxidative phosphorylation	KD	0.266954253102892	7355	1	4	0	biomass_opt	0.5	4.37922208323647e-07	4.38350529151581e-07	4.3828201695105e-07	8.7487646883042e-07	8.74973430809136e-07	8.74936681967153e-07	down_distinct	1
