genes	enzymes	shortNames	MWs	actions	k_scores	EV_type	OE	minUsage	maxUsage	pUsage	unique	conectivity	groups	priority	foldChange_yield	foldChange_pRate
YJL121C	P46969	RPE1	25.96689	1	9.59753195503827	essential	2	5.77439911963588e-07	0.00294670247757653	5.77547334595752e-07	1	2	0	1	1.00310926712514	1.00333892481599
YNL241C	P11412	ZWF1	57.5209	2	5.95043517776535	tightly_const	2	1.84430982707234e-07	1.8446492198825e-07	1.84459883950486e-07	1	5	0	1	1.00209334313653	1.00224779417392
YGR155W	P32582	CYS4	56.02121	2	5.89535551211141	tightly_const	2	4.21952463885404e-08	4.23660804850429e-08	4.22752112848122e-08	1	4	0	1	1.0001850184942	1.00019864161791
YNL247W	P53852	YNL247W	87.52914	2	5.89535551211141	tightly_const	2	8.82442968271206e-08	8.82443067627392e-08	8.82442968271206e-08	1	6	0	1	1.00060353296902	1.00064799175762
YDR354W	P07285	TRP4	41.37402	2	4.63229532011763	tightly_const	2	1.07699183196962e-06	1.07713167976928e-06	1.07699183196962e-06	1	4	0	1	1.00386946164228	1.00415550167274
YGL026C	P00931	TRP5	76.62516	2	4.63229532011763	tightly_const	2	4.02613474730339e-09	4.02665754243476e-09	4.02613474730339e-09	1	5	0	1	1.00002674884066	1.00002871805384
YOL097C	Q12109	WRS1	49.34966	2	4.63229532011763	tightly_const	2	2.23091598883116e-06	2.2309163031708e-06	2.23091598883116e-06	1	6	0	1	1.00958221634793	1.01029488790332
YDR007W	P00912	TRP1	24.14425	2	4.63229532011763	tightly_const	2	4.52648382474784e-08	4.52707159039285e-08	4.52648382474784e-08	1	2	0	1	1.0000947612146	1.00010173791541
YER090W	P00899	TRP2	56.76706	2	4.63229532011763	tightly_const	2	5.3849591598481e-06	5.385069801178e-06	5.3849591598481e-06	1	6	0	1	1.02678788069761	1.0288167388078
YKL211C	P00937	TRP3	53.48881	2	4.63229532011763	tightly_const	2	5.66633524216377e-06	5.66645166474948e-06	5.66633524216377e-06	1	10	0	1	1.0265573547549	1.02856826753562
YOR095C	Q12189	RKI1	28.25777	1	3.94320206124138	essential	2	5.32762709778624e-06	0.00271260672765551	5.32826231977511e-06	1	2	0	1	1.02786190785254	1.02997448518509
YBR166C	P20049	TYR1	50.92272	2	3.85680034525438	tightly_const	2	3.60462396563973e-07	3.60474875674244e-07	3.60462396563973e-07	1	5	0	1	1.00173598307311	1.00186401832589
YGR185C	P36421	TYS1	44.01942	2	3.85680034525438	tightly_const	2	2.06090405231165e-06	2.06090439612906e-06	2.06090405231165e-06	1	6	0	1	1.00860024768512	1.00923921754774
YHR019C	P38707	DED81	62.20612	2	3.62539840578872	tightly_const	2	8.84700306168224e-07	8.84700462298583e-07	8.84700306168224e-07	1	6	0	1	1.00537177568124	1.00576950868645
YDR127W	P08566	ARO1	174.75305	2	3.06722110134923	tightly_const	2	1.26509282660103e-06	1.26511359268959e-06	1.26509282660103e-06	1	14	0	1	1.02361230191009	1.0253946999403
YGL148W	P28777	ARO2	40.83793	2	3.06722110134923	tightly_const	2	2.29672656476319e-05	2.29676428896572e-05	2.29672656476319e-05	1	3	0	1	1.10241602495782	1.11079084541477
YPR060C	P32178	ARO7	29.7468	2	2.87880118158604	tightly_const	2	4.66987296915423e-08	4.66996388343985e-08	4.66987296915423e-08	1	2	0	1	1.00015236794831	1.00016358658171
YIL078W	P04801	THS1	84.51944	2	2.8042624974303	tightly_const	2	4.02553243217737e-06	4.02553332607456e-06	4.02553243217737e-06	1	6	0	1	1.03821995925114	1.04114935841458
YDL066W	P21954	IDP1	48.18986	2	2.43600621276649	tightly_const	2	1.66071369854317e-06	1.66199289791492e-06	1.66122537829784e-06	1	5	0	1	1	1
YER023W	P32263	PRO3	30.13145	2	2.31334987712809	tightly_const	2	1.40125294186121e-08	1.40148232121292e-08	1.40125294186121e-08	1	6	0	1	1.0000521363416	1.0000559746526
YHR020W	P38708	YHR020W	77.38534	2	2.31334987712809	tightly_const	2	1.7365543533571e-06	1.73655480909119e-06	1.7365543533571e-06	1	7	0	1	1.01665301683352	1.01790089939821
YLR438W	P07991	CAR2	46.08557	2	2.30790582971022	tightly_const	2	9.96733406525224e-08	9.99104483261093e-08	9.97153839777926e-08	1	4	0	1	0.999999999999907	0.999999999999904
YCL018W	P04173	LEU2	38.95257	2	2.24745308425037	tightly_const	2	1.88640236928351e-06	1.88641560368862e-06	1.88640236928351e-06	1	5	0	1	1.00923768642988	1.00992448188738
YGL009C	P07264	LEU1	85.79356	1	2.24745308425037	essential	2	3.68325905811643e-06	0.00089537832338534	3.68325905811643e-06	1	4	0	1	1.03997904019575	1.04304885596198
YNL104C	P06208	LEU4	68.40819	2	2.24745308425037	tightly_const	2	1.23779727750496e-06	1.23800076469574e-06	1.23799207933307e-06	1	13	0	1	1.01064989441505	1.01144287391246
YPL160W	P26637	CDC60	124.14	2	2.24745308425037	tightly_const	2	4.55251591507519e-07	4.55251713983846e-07	4.55251591507519e-07	1	6	0	1	1.00710172298834	1.00762851535713
YCR053W	P16120	THR4	57.47349	2	2.1923879465311	tightly_const	2	6.00816982399974e-09	6.009551813658e-09	6.00922260771883e-09	1	6	0	1	1.00004988609623	1.00005355873384
YDR158W	P13663	HOM2	39.54334	2	2.1923879465311	tightly_const	2	1.29175753957054e-07	1.29183279269424e-07	1.29176202551522e-07	1	6	0	1	1.00073797565655	1.00079234590393
YER052C	P10869	HOM3	58.10913	2	2.1923879465311	tightly_const	2	1.08006722589624e-07	1.08013010637377e-07	1.08007097429005e-07	1	4	0	1	1.00090678823806	1.00097360782748
YHR025W	P17423	THR1	38.71215	2	2.1923879465311	tightly_const	2	6.00816914870715e-07	6.00955160262891e-07	6.00922260771883e-07	1	5	0	1	1.00336361628	1.00361212844022
YJR139C	P31116	HOM6	38.50163	2	2.1923879465311	tightly_const	2	1.08580433003889e-06	1.08586758265621e-06	1.08580809834343e-06	1	7	0	1	1.00604972951564	1.00649798350618
YFL022C	P15625	FRS2	57.51077	2	2.13379614838157	tightly_const	2	1.22356251903763e-08	1.22356286334533e-08	1.22356251903763e-08	0	6	9	1	1.00009089199679	1.00009758380245
YLR060W	P15624	FRS1	67.36425	2	2.13379614838157	tightly_const	2	1.22356251903763e-08	1.22356286334533e-08	1.22356251903763e-08	0	6	9	1	1.00010646512182	1.00011430360971
YNL316C	P32452	PHA2	38.22484	2	2.13379614838157	tightly_const	2	3.81887179915065e-09	3.8189029100978e-09	3.81887179915065e-09	1	5	0	1	1.00001885490146	1.00002024296184
YJR148W	P47176	BAT2	41.62419	1	2.12570856595859	essential	2	3.84805104305409e-08	0.0018379532986333	3.84938379131968e-08	1	14	0	1	1.00020622010725	1.00022140467558
