genes	enzymes	shortNames	MWs	pathways	actions	k_scores	EV_type	OE	minUsage	maxUsage	pUsage	unique	conectivity	groups	priority	foldChange_yield	foldChange_pRate
YEL038W	P32626	UTR4	25.18714	sce00270  Cysteine and methionine metabolism	2	1000	tightly_const	2	7.35477944245929e-06	7.35480286014772e-06	7.35477944245929e-06	0	6	1	1	1.00290552663757	1.0029804304484
YKL184W	P08432	SPE1	52.28467	sce00330  Arginine and proline metabolism sce00480  Glutathione metabolism sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics	2	1000	tightly_const	2	1.03317147225759e-05	1.03317481464241e-05	1.03317147225759e-05	1	4	0	1	1.00852017735043	1.00874108712789
YLR017W	Q07938	MEU1	37.85618	sce00270  Cysteine and methionine metabolism	2	1000	tightly_const	2	0.000333794917726244	0.000333795980532477	0.000333794917726244	1	8	0	1	1.24629430134307	1.25423428529312
YLR146C	Q12455	SPE4	34.09035	sce00270  Cysteine and methionine metabolism sce00330  Arginine and proline metabolism sce00410  beta-Alanine metabolism sce00480  Glutathione metabolism	2	1000	tightly_const	2	1.35603755733809e-06	1.35604619261131e-06	1.35603755733809e-06	1	5	0	1	1.00072349399004	1.00074210387518
YMR009W	Q03677	ADI1	20.8791	sce00270  Cysteine and methionine metabolism	2	1000	tightly_const	2	7.35477944245929e-06	7.35480286014772e-06	7.35477944245929e-06	0	6	1	1	1.00240736917539	1.00246939897991
YOL052C	P21182	SPE2	46.23173	sce00270  Cysteine and methionine metabolism sce00330  Arginine and proline metabolism	2	1000	tightly_const	2	5.10508955255158e-05	5.10510580720579e-05	5.10508955255158e-05	1	4	0	1	1.03832604386677	1.03934990808849
YPR069C	Q12074	SPE3	33.32362	sce00270  Cysteine and methionine metabolism sce00330  Arginine and proline metabolism sce00410  beta-Alanine metabolism sce00480  Glutathione metabolism	2	1000	tightly_const	2	2.28385420808417e-05	2.2838576950801e-05	2.28385420808417e-05	1	5	0	1	1.01204585123538	1.01235929437052
YJR024C	P47095	MDE1	27.42662	sce00270  Cysteine and methionine metabolism	2	1000	tightly_const	2	5.25977408779772e-06	5.25979083496891e-06	5.25977408779772e-06	1	3	0	1	1.00226118967808	1.00231944421342
YPR118W	Q06489	MRI1	45.01983	sce00270  Cysteine and methionine metabolism	1	1000	essential	2	5.19678801971931e-09	0.00101563780536057	5.19678801971931e-09	1	2	0	1	1.00000365895591	1.00000375300301
YLR180W	P10659	SAM1	41.81793	sce00270  Cysteine and methionine metabolism sce01110  Biosynthesis of secondary metabolites sce01230  Biosynthesis of amino acids	2	38.4064183200931	tightly_const	2	0.000151288768524977	0.00015145478198518	0.000151452886431557	1	7	0	1	1.15330954525858	1.15787218743139
YLR174W	P41939	IDP2	46.56172	sce00020  Citrate cycle (TCA cycle) sce00480  Glutathione metabolism sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism sce01210  2-Oxocarboxylic acid metabolism sce01230  Biosynthesis of amino acids sce04146  Peroxisome	1	7.73274102052611	essential	2	8.10827596704318e-07	0.000982810938491531	8.11206707430825e-07	1	5	0	1	1.0050922425881	1.00522381306402
YOR095C	Q12189	RKI1	28.25777	sce00030  Pentose phosphate pathway sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism sce01230  Biosynthesis of amino acids	1	6.39231089406556	essential	2	8.4434175406578e-06	0.00162653107049588	8.44407399817532e-06	1	2	0	1	1.02783926439777	1.02857526882432
YKL029C	P36013	MAE1	74.37529	sce00620  Pyruvate metabolism sce01200  Carbon metabolism	2	6.35283372048711	tightly_const	2	3.59382751910387e-07	3.59657654389638e-07	3.59413296124119e-07	1	7	0	1	1.00321451415194	1.00329740977993
YER069W	Q01217	ARG5,6	94.86823	sce00220  Arginine biosynthesis sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01210  2-Oxocarboxylic acid metabolism sce01230  Biosynthesis of amino acids	2	6.3114409868106	tightly_const	2	1.25072434298188e-05	1.25135061324177e-05	1.25083065253307e-05	1	9	0	1	1.03949406014977	1.040550346029
YMR062C	Q04728	ARG7	47.84821	sce00220  Arginine biosynthesis sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01210  2-Oxocarboxylic acid metabolism sce01230  Biosynthesis of amino acids	1	6.31144098680571	essential	2	2.74464219683175e-06	0.000958341506700636	2.74487548697033e-06	1	9	0	1	1.00430829441976	1.00441952062276
YOL140W	P18544	ARG8	46.68082	sce00220  Arginine biosynthesis sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01210  2-Oxocarboxylic acid metabolism sce01230  Biosynthesis of amino acids	2	6.31144098680571	tightly_const	2	3.10663285143201e-05	3.1081884234195e-05	3.10689691020242e-05	1	4	0	1	1.0484468025587	1.049753994157
YOL126C	P22133	MDH2	40.7305	sce00020  Citrate cycle (TCA cycle) sce00270  Cysteine and methionine metabolism sce00620  Pyruvate metabolism sce00630  Glyoxylate and dicarboxylate metabolism sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism	1	4.2184441561675	essential	2	1.18423693152486e-08	0.00112260004406337	1.18428469022492e-08	1	5	0	1	1.00002224372709	1.0000228154743
YNL241C	P11412	ZWF1	57.5209	sce00030  Pentose phosphate pathway sce00480  Glutathione metabolism sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism	2	2.71158542888515	tightly_const	2	9.19206051005117e-08	9.19555236602857e-08	9.19504728142868e-08	1	5	0	1	1.001927767089	1.00197741478361
YBR221C	P32473	PDB1	40.0532	sce00010  Glycolysis / Gluconeogenesis sce00020  Citrate cycle (TCA cycle) sce00620  Pyruvate metabolism sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism	2	1.17859210116143	tightly_const	2	1.05973724073535e-06	1.0598409307008e-06	1.05977769139463e-06	0	6	6	1	1.00707828210765	1.0072615374782
YER178W	P16387	PDA1	46.34261	sce00010  Glycolysis / Gluconeogenesis sce00020  Citrate cycle (TCA cycle) sce00620  Pyruvate metabolism sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism	2	1.17859210116143	tightly_const	2	1.05973724073535e-06	1.0598409307008e-06	1.05977769139463e-06	0	6	6	1	1.00819003662079	1.00840231524809
YGR193C	P16451	PDX1	45.36125	sce00NNN  None	2	1.17859210116143	tightly_const	2	1.05973724073535e-06	1.0598409307008e-06	1.05977769139463e-06	0	6	6	1	1.0080165707766	1.00822431664322
YNL071W	P12695	LAT1	51.81762	sce00010  Glycolysis / Gluconeogenesis sce00020  Citrate cycle (TCA cycle) sce00620  Pyruvate metabolism sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism	2	1.17859210116143	tightly_const	2	1.05973724073535e-06	1.0598409307008e-06	1.05977769139463e-06	0	6	6	1	1.00915789428035	1.00939549271748
YDR516C	Q04409	EMI2	55.92028	sce00010  Glycolysis / Gluconeogenesis sce00051  Fructose and mannose metabolism sce00052  Galactose metabolism sce00500  Starch and sucrose metabolism sce00520  Amino sugar and nucleotide sugar metabolism sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism	2	1.00965434989565	tightly_const	2	1.86172074496887e-07	1.8617997516793e-07	1.86178000000186e-07	1	4	0	1	1.00820473267029	1.00841739538662
YDR441C	P36973	APT2	19.9857	sce00230  Purine metabolism	2	1000	opt_isoenz_tight	2	0	3.09952116133763e-05	3.09951129246384e-05	1	5	0	2	0.999999999999994	1
