genes	enzymes	shortNames	MWs	actions	k_scores	OE	minUsage	maxUsage	pUsage	foldChange	unique	conectivity	groups	priority
YCL030C	P00815	HIS4	87.72027	2	91.794706252493	2	4.76246065025833e-06	4.76247014560357e-06	4.76246065025833e-06	1.000001	1	10	0	1
YIL020C	P40545	HIS6	29.55623	2	91.794706252493	2	5.08447568654566e-06	5.08448582392118e-06	5.08447568654566e-06	1.000001	1	5	0	1
YOR202W	P06633	HIS3	23.83295	2	91.794706252493	2	1.62703268827965e-07	1.62703593223735e-07	1.62703268827965e-07	1.000001	1	3	0	1
YBR248C	P33734	HIS7	61.06729	2	91.794706252493	2	1.17900681752491e-06	1.17900916821662e-06	1.17900681752491e-06	1.000001	1	6	0	1
YER055C	P00498	HIS1	32.26611	2	91.794706252493	2	6.02606217925461e-05	6.02607419394302e-05	6.02606217925461e-05	1.000001	1	4	0	1
YIL116W	P07172	HIS5	42.64564	2	91.794706252493	2	5.24848630763343e-08	5.24849677200066e-08	5.24848630763343e-08	1.000001	1	4	0	1
YFR025C	P38635	HIS2	38.58138	2	91.794706252493	2	7.6029679829491e-08	7.60298314166875e-08	7.6029679829491e-08	1.000001	1	4	0	1
YNL220W	P80210	ADE12	48.27868	2	58.1018847294376	2	2.96358482486824e-05	2.96369042793763e-05	2.96358482486824e-05	1.000001	1	7	0	1
YMR120C	P38009	ADE17	65.26269	1	42.573562758262	2	0	0.000903877928783797	3.7974274467774e-05	1.000001	0	10	1	1
YER099C	P38620	PRS2	34.76468	2	23.7454933958226	2	0	0.000248736212449784	0.000248728468240027	1.000001	0	6	2	1
YPL262W	P08417	FUM1	53.15125	1	17.8944365413856	2	1.59234193685782e-07	0.00106337329582319	1.59234981088856e-07	1.000001	1	6	0	1
YOR095C	Q12189	RKI1	28.25777	1	10.1447473231775	2	1.54283902276675e-05	0.00201527521113432	1.54305510591088e-05	1.000001	1	2	0	1
YPR035W	P32288	GLN1	41.7656	2	8.35653019160514	2	3.18489019648865e-06	3.18519327925886e-06	3.18489019648864e-06	1.000001	1	7	0	1
YKL085W	P17505	MDH1	35.64959	1	5.9680197275252	2	4.07035183991775e-08	0.00158603785708349	8.52877585180974e-07	1.000001	1	5	0	1
YHR163W	P38858	SOL3	27.78417	2	4.93090871051951	2	0	1.14076932297963e-05	1.14075274416112e-05	1.000001	0	5	3	1
YHR183W	P38720	GND1	53.54274	2	4.93090871051951	2	0	3.13398012214579e-06	3.13393457595885e-06	1.000001	0	6	4	1
YNL241C	P11412	ZWF1	57.5209	2	4.93090871051951	2	1.80172112957922e-07	1.80273076568937e-07	1.80270456657269e-07	1.000001	1	5	0	1
YOR375C	P07262	GDH1	49.56931	2	1.66487178386485	2	0	9.667694497088e-06	9.66717946088095e-06	1.00000100000001	0	8	5	1
YMR267W	P28239	PPA2	35.57213	2	1.32800230233533	2	1.22297522095261e-06	1.22331924418813e-06	1.22307245818322e-06	1.00000100000001	1	4	0	1
YDR516C	Q04409	EMI2	55.92028	2	1.00066848662875	2	1.86161057559304e-07	1.86183895717586e-07	1.86178186178e-07	1.000001	1	4	0	1
YDL052C	P33333	SLC1	33.88654	0	0.119398053684223	0	0	1.59791513089917e-06	0	1.000001	1	28	0	1
YNR019W	P53629	ARE2	74.022	0	0.107676211835029	0	0	0.000763438081493902	0	1.000001	1	84	0	1
YOR245C	Q08650	DGA1	47.71075	0	0.0852643177525432	0	0	5.73564837901781e-08	0	1.000001	1	122	0	1
YCL040W	P17709	GLK1	55.37689	0	0	0	0	9.32595701694257e-11	0	1.00000100000001	1	6	0	1
YOL126C	P22133	MDH2	40.7305	0	0	0	0	0.00138815733236034	0	1.000001	1	5	0	1
YLR446W	Q06204	YLR446W	48.96875	0	0	0	0	1.53029448869047e-08	0	1.00000100000001	1	20	0	1
YFR053C	P04806	HXK1	53.73784	0	0	0	0	9.32700018620094e-11	0	1.000001	0	12	7	2
YGL253W	P04807	HXK2	53.9419	0	0	0	0	2.01704578005429e-10	0	1.000001	0	12	7	2
YBR218C	P32327	PYC2	130.16549	0	0.151990242576479	0	0	2.88387460026889e-07	0	1.000001	0	8	6	3
