genes	enzymes	shortNames	MWs	actions	k_scores	OE	minUsage	maxUsage	pUsage
YAR035W	P80235	YAT1	77.76483	2	1000	2	0	7.49317584004717e-07	7.49023510895463e-07
YBL015W	P32316	ACH1	58.71137	1	1000	2	0	0.00130299317972504	6.72736422096e-12
YBR208C	P32528	DUR1,2	201.82994	2	1000	2	1.87026659367389e-07	1.87097037518496e-07	1.87042164919645e-07
YDL080C	Q07471	THI3	68.36566	1	1000	2	3.87351457274191e-07	2.18998679708073e-05	3.87791195481013e-07
YDL171C	Q12680	GLT1	238.09944	2	1000	2	3.79989471046576e-08	5.44036515349181e-06	5.44017674351682e-06
YDR321W	P38986	ASP1	41.3948	1	1000	2	0	1.49953474119365e-06	8.2227874907479e-09
YEL046C	P37303	GLY1	42.81463	2	1000	2	4.55449624524352e-06	4.55459784909485e-06	4.55449936293471e-06
YEL047C	P32614	FRD1	50.84351	1	1000	2	5.60412857935285e-07	0.00150518842985319	5.60436169711178e-07
YER024W	P40017	YAT2	103.33286	1	1000	2	0	1.99010627885646e-06	0
YER065C	P28240	ICL1	62.40816	2	1000	2	1.59694307283709e-05	1.59700825686008e-05	1.59694409156242e-05
YER170W	P26364	ADK2	25.19373	1	1000	2	0	0.00303649537016638	4.17441764088e-13
YFL030W	P43567	AGX1	41.90679	2	1000	2	1.60911385900096e-06	1.60919614716718e-06	1.60913149217946e-06
YHR037W	P07275	PUT2	64.43444	1	1000	2	5.7535720081367e-06	0.00119301641325755	5.75381134236809e-06
YKL106W	Q01802	AAT1	51.79484	1	1000	2	0	0.00018374822875926	2.38076017072172e-08
YLR089C	P52893	ALT1	66.42089	1	1000	2	9.97940445705283e-07	0.00115275306127709	9.98920747337249e-07
YLR142W	P09368	PUT1	53.27087	2	1000	2	2.57622761709138e-07	2.57718240801796e-07	2.57633478172863e-07
YLR438W	P07991	CAR2	46.08557	2	1000	2	4.44811930198681e-08	4.45140491895782e-08	4.44848807586346e-08
YML042W	P32796	CAT2	77.24096	2	1000	2	7.554572786194e-07	7.55778604783379e-07	7.55481996016612e-07
YOR100C		CRC1	NaN	1	1000	2	NaN	NaN	NaN
YPL111W	P00812	CAR1	35.66162	2	1000	2	1.60380095923648e-05	1.60440446970131e-05	1.6039339232734e-05
YDR452W	Q04119	PPN1	78.34335	1	1000	2	0	0.000976478481982702	8.27138155473039e-13
YAL054C	Q01574	ACS1	79.13997	1	668.495904438877	2	0	3.13865503933602e-06	7.82703527448e-13
YPL262W	P08417	FUM1	53.15125	1	354.91359262297	2	2.09134549178258e-07	0.00143950699679481	2.09134772336407e-07
