genes	enzymes	shortNames	MWs	pathways	actions	k_scores	EV_type	OE	minUsage	maxUsage	pUsage	unique	conectivity	groups	priority
YLR209C	Q05788	PNP1	33.7546	sce00230  Purine metabolism sce00240  Pyrimidine metabolism sce00760  Nicotinate and nicotinamide metabolism sce01110  Biosynthesis of secondary metabolites	1	1000	essential	2	1.22212074907515e-06	0.00126649631477667	1.22212311554685e-06	1	13	0	1
YOR155C	Q99312	ISN1	51.32946	sce00230  Purine metabolism sce00760  Nicotinate and nicotinamide metabolism	2	1000	tightly_const	2	3.86943039646812e-07	3.86967678254319e-07	3.86959842029604e-07	1	4	0	1
YAR015W	P27616	ADE1	34.60299	sce00230  Purine metabolism sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics	2	84.8061192415713	tightly_const	2	1.89308891088061e-06	1.89309066791799e-06	1.89308891088061e-06	1	7	0	1
YDR408C	P04161	ADE8	23.53994	sce00230  Purine metabolism sce00670  One carbon pool by folate sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics	2	84.8061192415713	tightly_const	2	1.95417229411625e-05	1.9541741078471e-05	1.95417229411625e-05	1	5	0	1
YGL234W	P07244	ADE5,7	86.06721	sce00230  Purine metabolism sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics	2	84.8061192415713	tightly_const	2	4.18751205882054e-05	4.18751594538664e-05	4.18751205882053e-05	1	9	0	1
YGR061C	P38972	ADE6	148.90358	sce00230  Purine metabolism sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics	2	84.8061192415713	tightly_const	2	2.89222986850495e-05	2.89223255120441e-05	2.89222986850494e-05	1	9	0	1
YMR300C	P04046	ADE4	56.71874	sce00230  Purine metabolism sce00250  Alanine, aspartate and glutamate metabolism sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics	2	84.8061192415713	tightly_const	2	2.63539685081806e-06	2.635399295291e-06	2.63539685081804e-06	1	6	0	1
YOR128C	P21264	ADE2	62.33875	sce00230  Purine metabolism sce01110  Biosynthesis of secondary metabolites	2	84.8061192415713	tightly_const	2	3.6640743705356e-06	3.66407776916252e-06	3.66407437053558e-06	1	8	0	1
YPR035W	P32288	GLN1	41.7656	sce00220  Arginine biosynthesis sce00250  Alanine, aspartate and glutamate metabolism sce00630  Glyoxylate and dicarboxylate metabolism sce00910  Nitrogen metabolism sce01230  Biosynthesis of amino acids	2	17.8529276729121	tightly_const	2	5.72579824511844e-06	5.72590309408444e-06	5.72579824511838e-06	1	7	0	1
YKL085W	P17505	MDH1	35.64959	sce00020  Citrate cycle (TCA cycle) sce00270  Cysteine and methionine metabolism sce00620  Pyruvate metabolism sce00630  Glyoxylate and dicarboxylate metabolism sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism	1	6.33891847547045	essential	2	7.86037517353588e-08	0.00119878209411087	7.65218420453115e-07	1	5	0	1
YGR208W	P42941	SER2	34.20684	sce00260  Glycine, serine and threonine metabolism sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism sce01230  Biosynthesis of amino acids	2	2.2812455505333	tightly_const	2	4.7252484013181e-07	4.72534233989819e-07	4.72524840131769e-07	1	4	0	1
YOR184W	P33330	SER1	43.41501	sce00260  Glycine, serine and threonine metabolism sce00750  Vitamin B6 metabolism sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism sce01230  Biosynthesis of amino acids	2	2.2812455505333	tightly_const	2	0.000152573708998927	0.000152576743005353	0.000152573708998914	1	4	0	1
YLR058C	P37291	SHM2	52.21793	sce00260  Glycine, serine and threonine metabolism sce00630  Glyoxylate and dicarboxylate metabolism sce00670  One carbon pool by folate sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism sce01230  Biosynthesis of amino acids	1	1.89099074852545	essential	2	4.0091748502033e-05	0.000857988101722117	4.00918934942464e-05	1	5	0	1
Q0045	P00401	COX1	58.79755	sce00190  Oxidative phosphorylation	1	1.40940949388817	essential	2	4.56369361433434e-06	0.000168042666508854	4.56369813441583e-06	0	7	5	1
Q0105	P00163	COB	43.65549	sce00190  Oxidative phosphorylation	2	1.40940949388817	tightly_const	2	1.43859832223568e-05	1.43860056835231e-05	1.43859974708629e-05	0	6	6	1
Q0250	P00410	COX2	28.5669	sce00190  Oxidative phosphorylation	1	1.40940949388817	essential	2	4.56369361433434e-06	0.000168042666508854	4.56369813441583e-06	0	7	5	1
Q0275	P00420	COX3	30.35941	sce00190  Oxidative phosphorylation	1	1.40940949388817	essential	2	4.56369361433434e-06	0.000168042666508854	4.56369813441583e-06	0	7	5	1
YBL045C	P07256	COR1	50.22724	sce00190  Oxidative phosphorylation	2	1.40940949388817	tightly_const	2	1.43859832223568e-05	1.43860056835231e-05	1.43859974708629e-05	0	6	6	1
YDL067C	P07255	COX9	6.96313	sce00190  Oxidative phosphorylation	1	1.40940949388817	essential	2	4.56369361433435e-06	0.000168042666508854	4.56369813441583e-06	0	7	5	1
YDR529C	P00128	QCR7	14.56466	sce00190  Oxidative phosphorylation	2	1.40940949388817	tightly_const	2	1.43859832223568e-05	1.43860056835231e-05	1.43859974708629e-05	0	6	6	1
YEL024W	P08067	RIP1	23.36479	sce00190  Oxidative phosphorylation	2	1.40940949388817	tightly_const	2	1.43859832223568e-05	1.43860056835231e-05	1.43859974708629e-05	0	6	6	1
YFR033C	P00127	QCR6	17.25682	sce00190  Oxidative phosphorylation	2	1.40940949388817	tightly_const	2	1.43859832223568e-05	1.43860056835231e-05	1.43859974708629e-05	0	6	6	1
YGL187C	P04037	COX4	17.1424	sce00190  Oxidative phosphorylation	2	1.40940949388817	essential	2	1.68517776884472e-06	4.5637007397341e-06	4.56369813441583e-06	0	7	7	1
YGL191W	P32799	COX13	15.02097	sce00190  Oxidative phosphorylation	2	1.40940949388817	essential	2	1.68517776884472e-06	4.5637007397341e-06	4.56369813441583e-06	0	7	7	1
YGR183C	P22289	QCR9	7.47622	sce00190  Oxidative phosphorylation	2	1.40940949388817	tightly_const	2	1.43859832223568e-05	1.43860056835231e-05	1.43859974708629e-05	0	6	6	1
YHR001W-A	P37299	QCR10	8.59285	sce00190  Oxidative phosphorylation	2	1.40940949388817	tightly_const	2	1.43859832223568e-05	1.43860056835231e-05	1.43859974708629e-05	0	6	6	1
YHR051W	P00427	COX6	17.34139	sce00190  Oxidative phosphorylation	2	1.40940949388817	essential	2	1.68517776884472e-06	4.5637007397341e-06	4.56369813441583e-06	0	7	7	1
YIL111W	P00425	COX5B	17.1965	sce00190  Oxidative phosphorylation	2	1.40940949388817	essential	2	1.68517776884472e-06	4.5637007397341e-06	4.56369813441583e-06	0	7	7	1
YJL166W	P08525	QCR8	10.97437	sce00190  Oxidative phosphorylation	2	1.40940949388817	tightly_const	2	1.43859832223568e-05	1.43860056835231e-05	1.43859974708629e-05	0	6	6	1
YLR038C	Q01519	COX12	9.78778	sce00190  Oxidative phosphorylation	2	1.40940949388817	essential	2	1.68517776884472e-06	4.5637007397341e-06	4.56369813441583e-06	0	7	7	1
YLR395C	P04039	COX8	8.90656	sce00190  Oxidative phosphorylation	2	1.40940949388817	essential	2	3.3703411038024e-06	9.12739008062884e-06	9.12738487511027e-06	0	7	7	1
YMR256C	P10174	COX7	6.9323	sce00190  Oxidative phosphorylation	2	1.40940949388817	essential	2	1.68517776884472e-06	4.5637007397341e-06	4.56369813441583e-06	0	7	7	1
YOR065W	P07143	CYT1	34.05423	sce00190  Oxidative phosphorylation	2	1.40940949388817	tightly_const	2	1.43859832223568e-05	1.43860056835231e-05	1.43859974708629e-05	0	6	6	1
YPR191W	P07257	QCR2	40.47764	sce00190  Oxidative phosphorylation	2	1.40940949388817	tightly_const	2	1.43859832223568e-05	1.43860056835231e-05	1.43859974708629e-05	0	6	6	1
YBR263W	P37292	SHM1	53.68589	sce00260  Glycine, serine and threonine metabolism sce00630  Glyoxylate and dicarboxylate metabolism sce00670  One carbon pool by folate sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism sce01230  Biosynthesis of amino acids	1	1.38907707107694	essential	2	1.42578122080053e-05	0.000809789374961247	1.42578810336027e-05	1	5	0	1
Q0080	P00856	ATP8	5.82221	sce00190  Oxidative phosphorylation	2	1.35156105538074	tightly_const	2	1.74741808919451e-05	1.74743650760889e-05	1.74741922845179e-05	0	7	9	1
Q0085	P00854	ATP6	29.09876	sce00190  Oxidative phosphorylation	2	1.35156105538074	tightly_const	2	1.74741808919451e-05	1.74743650760889e-05	1.74741922845179e-05	0	7	9	1
Q0130	P61829	OLI1	7.75937	sce00190  Oxidative phosphorylation	2	1.35156105538074	tightly_const	2	0.000174741808919461	0.000174743650760891	0.000174741922845179	0	7	9	1
YBL099W	P07251	ATP1	58.60746	sce00190  Oxidative phosphorylation	1	1.35156105538074	essential	2	5.37668439935424e-06	5.2423170717682e-05	5.37668790476979e-06	0	7	9	1
YBR039W	P38077	ATP3	34.35021	sce00190  Oxidative phosphorylation	2	1.35156105538074	tightly_const	2	1.74741808919451e-05	1.74743650760889e-05	1.74741922845179e-05	0	7	9	1
YDL004W	Q12165	ATP16	17.02022	sce00190  Oxidative phosphorylation	2	1.35156105538074	tightly_const	2	1.74741808919451e-05	1.74743650760889e-05	1.74741922845179e-05	0	7	9	1
YDR298C	P09457	ATP5	22.81414	sce00190  Oxidative phosphorylation	2	1.35156105538074	tightly_const	2	1.74741808919451e-05	1.74743650760889e-05	1.74741922845179e-05	0	7	9	1
YDR322C-A	P81449	TIM11	10.87534	sce00190  Oxidative phosphorylation	2	1.35156105538074	tightly_const	2	1.74741808919451e-05	1.74743650760889e-05	1.74741922845179e-05	0	7	9	1
YDR377W	Q06405	ATP17	11.312	sce00190  Oxidative phosphorylation	2	1.35156105538074	tightly_const	2	1.74741808919451e-05	1.74743650760889e-05	1.74741922845179e-05	0	7	9	1
