genes	enzymes	shortNames	MWs	actions	k_scores	EV_type	OE	minUsage	maxUsage	pUsage
YBL015W	P32316	ACH1	58.71137	1	1000	opt_isoenz	2	0	0.00150129749096483	1.2969475940736e-11
YBR252W	P33317	DUT1	15.30716	1	1000	subOpt_isoenz	2	0	7.70253136932547e-10	0
YCL064C	P25379	CHA1	39.30093	2	1000	opt_isoenz	2	0	6.20754656912008e-06	5.86626845134385e-06
YCR010C		ADY2	NaN	1	1000		2	NaN	NaN	NaN
YEL046C	P37303	GLY1	42.81463	2	1000	tightly_const	2	1.51254361226841e-06	1.51260195902711e-06	1.51254361226845e-06
YER073W	P40047	ALD5	56.69214	2	1000	opt_isoenz_tight	2	0	4.56833217785892e-06	4.56792023223841e-06
YER170W	P26364	ADK2	25.19373	1	1000	subOpt_isoenz	2	0	0.00349862373561007	8.04772974408912e-13
YMR170C	P47771	ALD2	55.18718	1	1000	subOpt_isoenz	2	0	5.17360427968727e-06	0
YOR374W	P46367	ALD4	56.72295	1	1000	subOpt_isoenz	2	0	4.56833217785892e-06	0
YJR069C	P47119	HAM1	22.09268	1	1000	opt_isoenz	2	0	0.00398970143931665	9.09011985623045e-12
YMR110C	Q04458	HFD1	59.97826	1	1000	subOpt_isoenz	2	0	0.00147390375752854	0
YBR296C		PHO89	NaN	1	25.5986812143431		2	NaN	NaN	NaN
YCR037C		PHO87	NaN	1	25.5986812143431		2	NaN	NaN	NaN
YJL198W		PHO90	NaN	1	25.5986812143431		2	NaN	NaN	NaN
YML123C		PHO84	NaN	1	25.5986812143431		2	NaN	NaN	NaN
YNR013C		PHO91	NaN	1	25.5986812143431		2	NaN	NaN	NaN
YGR087C	P26263	PDC6	61.57964	1	12.9538685411479	subOpt_isoenz	2	0	5.7758951502718e-06	0
YLR044C	P06169	PDC1	61.49468	2	12.9538685411479	opt_isoenz_tight	2	0	2.46969281618693e-06	2.46966532011573e-06
YLR134W	P16467	PDC5	61.91138	1	12.9538685411479	subOpt_isoenz	2	0	5.77589515027181e-06	0
YPL061W	P54115	ALD6	54.41344	2	12.6238781517321	essential	2	1.17790088857316e-05	1.68111356917706e-05	1.17796811083071e-05
YER052C	P10869	HOM3	58.10913	2	12.0524123269939	tightly_const	2	3.14664488204171e-07	3.14675536250696e-07	3.14664488204174e-07
YCR053W	P16120	THR4	57.47349	2	12.0524123269939	tightly_const	2	1.75052800507036e-08	1.75076952491654e-08	1.75070805657537e-08
YDR158W	P13663	HOM2	39.54334	2	12.0524123269939	tightly_const	2	3.76337894745764e-07	3.76351113459762e-07	3.76337894745773e-07
YHR025W	P17423	THR1	38.71215	2	12.0524123269939	tightly_const	2	1.75052790151693e-06	1.75076954947732e-06	1.75070805657537e-06
YJR139C	P31116	HOM6	38.50163	2	12.0524123269939	tightly_const	2	3.1633592392182e-06	3.16347035091441e-06	3.16335923921821e-06
YLR027C	P23542	AAT2	46.05711	1	4.34386157639138	opt_isoenz	2	0	0.00191392823191255	1.45628371043931e-07
YBR218C	P32327	PYC2	130.16549	1	2.59203213934698	subOpt_isoenz	2	0	1.63884124283014e-06	0
YGL062W	P11154	PYC1	130.09827	2	2.59203213934698	opt_isoenz	2	0	1.63884124282981e-06	1.59825538814492e-06
YAL038W	P00549	CDC19	54.54404	2	2.51093222242588	opt_isoenz_tight	2	0	2.08837297479161e-06	2.08834659735388e-06
YOR347C	P52489	PYK2	55.19478	1	2.51093222242588	subOpt_isoenz	2	0	2.08837297479179e-06	0
