genes	enzymes	shortNames	MWs	pathways	actions	k_scores	enz_pos	unique	conectivity	groups	EV_type	OE	minUsage	maxUsage	pUsage	minUsageBio	maxUsageBio	pUsageBio	EUV_comparison	priority
YJR069C	P47119	HAM1	22.09268	sce00230  Purine metabolism	OE	1000	7702	1	16	0	production_opt	2	0	0.00389501174099611	7.7526974446142e-12	0	0.00324264080296486	0	up_subset	2
Pa_5_5120	3DSD	Pa_5_5120	40.48		OE	1000	0	1	3	0	essential_tightly_const	2	9.97679112881601e-07	9.976791128818e-07	9.97679112881601e-07	9.976791128817e-09	9.9787403032963e-09	9.976791128817e-09	none	3
ECL_01944	A0A0H3CJN8	ECL_01944	53.541		OE	1000	0	1	4	0	essential_tightly_const	2	1.34620168298157e-06	1.34620168298184e-06	1.34620168298157e-06	1.34620168298171e-08	1.34646469159198e-08	1.34620168298171e-08	none	3
HQD2	P86029	HQD2	33.8		OE	1000	0	1	4	0	essential_tightly_const	2	7.68136381590957e-07	7.6813638159111e-07	7.68136381590957e-07	7.68136381591033e-09	7.68286351343102e-09	7.68136381591033e-09	none	3
YBR249C	P32449	ARO4	39.74874	sce00400  Phenylalanine, tyrosine and tryptophan biosynthesis sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01230  Biosynthesis of amino acids	OE	20.9368144270598	7409	1	12	0	production_opt_tight	2	0	1.02493934458327e-06	1.0249367137823e-06	0	7.50295101836344e-08	7.50243006007928e-08	up_subset	2
YOR095C	Q12189	RKI1	28.25777	sce00030  Pentose phosphate pathway sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism sce01230  Biosynthesis of amino acids	OE	3.65030117293338	7980	1	2	0	essential	2	5.07928020953512e-06	0.00305030331921795	5.07955307997614e-06	1.75476854034896e-06	0.00253693896545108	1.75598764155416e-06	up_overlaped	2
YBR196C	P12709	PGI1	61.29832	sce00010  Glycolysis / Gluconeogenesis sce00030  Pentose phosphate pathway sce00500  Starch and sucrose metabolism sce00520  Amino sugar and nucleotide sugar metabolism sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism	OE	1.20757919218281	7220	1	2	0	essential	2	3.5927828419972e-07	0.00140417186459493	3.59297186148817e-07	3.13967535118901e-07	0.00116900364359757	3.13975036355101e-07	up_overlaped	2
YBR029C	P38221	CDS1	51.82218	sce00564  Glycerophospholipid metabolism sce01110  Biosynthesis of secondary metabolites sce04070  Phosphatidylinositol signaling system	KD	0.273781933780087	7532	1	34	0	biomass_coupled	0.5	7.3553196976246e-08	0.00166058441089892	7.3554180645688e-08	1.50391112023873e-07	0.00138254423019742	1.50392992719879e-07	overlaped	3
YNL241C	P11412	ZWF1	57.5209	sce00030  Pentose phosphate pathway sce00480  Glutathione metabolism sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism	KD	0.263799058041866	7214	1	5	0	biomass_opt	0.5	2.16416486489378e-08	2.16755992445867e-08	2.16540585585436e-08	4.10159167157887e-08	4.10817276575645e-08	4.10714004152503e-08	down_distinct	1
YOR175C	Q08548	ALE1	72.22714	sce00561  Glycerolipid metabolism sce00564  Glycerophospholipid metabolism sce01110  Biosynthesis of secondary metabolites	KD	0.25849195704446	7948	1	19	0	biomass_coupled	0.5	1.5572561856502e-08	2.21992263321599e-08	2.2172052349836e-08	3.18460073536997e-08	4.53874196677613e-08	4.53342186448672e-08	down_distinct	1
