genes	enzymes	shortNames	MWs	actions	k_scores
YDL078C	P32419	MDH3	37.18575	1	1000
YDR256C	P15202	CTA1	58.55479	1	1000
YER065C	P28240	ICL1	62.40816	1	1000
YGL205W	P13711	POX1	84.04132	1	1000
YGR155W	P32582	CYS4	56.02121	1	1000
YGR248W	P53315	SOL4	28.44737	1	1000
YGR256W	P53319	GND2	53.92235	1	1000
YHR163W	P38858	SOL3	27.78417	1	1000
YHR183W	P38720	GND1	53.54274	1	1000
YIL160C	P27796	POT1	44.72993	1	1000
YKL106W	Q01802	AAT1	51.79484	1	1000
YKR009C	Q02207	FOX2	98.70186	1	1000
YML042W	P32796	CAT2	77.24096	1	1000
YNL117W	P30952	MLS1	62.79047	1	1000
YNL241C	P11412	ZWF1	57.5209	1	1000
YOR100C		CRC1	NaN	1	1000
YDR452W	Q04119	PPN1	78.34335	1	1000
YDR380W	Q06408	ARO10	71.38357	1	91.1243237941644
YKL085W	P17505	MDH1	35.64959	1	14.2624643471352
YJR095W		SFC1	NaN	1	11.4843397583766
YJR051W	P21375	OSM1	55.06455	1	11.4843397583766
YPL061W	P54115	ALD6	54.41344	1	6.56141274488908
YNR001C	P00890	CIT1	53.35945	1	5.93197909417578
YPR001W	P43635	CIT3	53.81073	1	5.93197909417578
YPL262W	P08417	FUM1	53.15125	1	5.42897441254999
YLR153C	P52910	ACS2	75.49079	1	5.16088821783385
YDL141W	P48445	BPL1	76.36203	1	5.03666102874808
YNR016C	Q00955	ACC1	250.35091	1	5.03666102874808
YAL038W	P00549	CDC19	54.54404	1	3.64546907479888
YGR254W	P00924	ENO1	46.81564	1	3.64546907479888
YOR283W	Q12040	YOR283W	26.17622	1	3.64546907479888
YHR174W	P00925	ENO2	46.91368	1	3.64546907479888
YKL152C	P00950	GPM1	27.60828	1	3.64546907479888
YOR347C	P52489	PYK2	55.19478	1	3.64546907479888
YMR323W	P42222	ERR3	47.31216	1	3.64546907479888
YOR393W	P0CX10	ERR1	47.32712	1	3.64546907479888
YPL281C	P0CX11	ERR2	47.32712	1	3.64546907479888
YNL036W	P53615	NCE103	24.85889	1	2.57010763336844
YCR012W	P00560	PGK1	44.73787	1	1.30609445054171
YGR192C	P00359	TDH3	35.74626	1	1.30609445054171
YJL052W	P00360	TDH1	35.74956	1	1.30609445054171
YJR009C	P00358	TDH2	35.84645	1	1.30609445054171
YDR050C	P00942	TPI1	26.79508	1	1.27833094734531
YMR205C	P16862	PFK2	104.61673	1	1.26662942106384
YGR240C	P16861	PFK1	107.96906	1	1.26662941487655
YKL060C	P14540	FBA1	39.62024	1	1.26662941487655
YLR354C	P15019	TAL1	37.0359	1	1.20083235744521
YGR043C	P53228	NQM1	37.25314	1	1.20083235744521
YDR516C	Q04409	EMI2	55.92028	1	1.0008260910438
YER141W	P40086	COX15	54.65792	0	0.149704166666667
YJL130C	P07259	URA2	245.03829	0	0.138237287105954
YIL125W	P20967	KGD1	114.41496	0	0.118225827527384
YDR148C	P19262	KGD2	50.43011	0	0.1181875
YJR109C	P03965	CPA2	123.91392	0	0.115957811105925
YOR303W	P07258	CPA1	45.36103	0	0.115957811105925
YDR503C	Q04396	LPP1	31.58604	0	0.0809035298017043
YFL018C	P09624	LPD1	54.00934	0	0.0675361108384931
YAL044C	P39726	GCV3	18.79276	0	0.05909375
YDR019C	P48015	GCV1	44.46849	0	0.05909375
YMR189W	P49095	GCV2	114.45033	0	0.05909375
YKL069W	P36088	YKL069W	19.73402	0	0.0272630281287559
YJR130C	P47164	STR2	72.34965	0	0.0131263247366666
YPR035W	P32288	GLN1	41.7656	0	0.00877893859582461
YLR058C	P37291	SHM2	52.21793	0	0.00729426385767441
YGR204W	P07245	ADE3	102.20412	0	0.00669403890851696
YAL062W	P39708	GDH3	49.62653	0	0
YBR115C	P07702	LYS2	155.34394	0	0
YBR218C	P32327	PYC2	130.16549	0	0
YBR221C	P32473	PDB1	40.0532	0	0
YBR263W	P37292	SHM1	53.68589	0	0
YCL009C	P25605	ILV6	33.98652	0	0
YCL018W	P04173	LEU2	38.95257	0	0
YCL040W	P17709	GLK1	55.37689	0	0
YCL050C	P16550	APA1	36.49211	0	0
YCR005C	P08679	CIT2	51.41279	0	0
YCR053W	P16120	THR4	57.47349	0	0
YDL066W	P21954	IDP1	48.18986	0	0
YDL131W	Q12122	LYS21	48.59372	0	0
YDR158W	P13663	HOM2	39.54334	0	0
YDR234W	P49367	LYS4	75.14989	0	0
YDR300C	P32264	PRO1	47.16164	0	0
YDR353W	P29509	TRR1	34.23767	0	0
YDR384C		ATO3	NaN	0	0
YER015W	P39518	FAA2	83.43704	0	0
YER023W	P32263	PRO3	30.13145	0	0
YER052C	P10869	HOM3	58.10913	0	0
YER069W	Q01217	ARG5,6	94.86823	0	0
YER070W	P21524	RNR1	99.56021	0	0
YER081W	P40054	SER3	51.1927	0	0
YER091C	P05694	MET6	85.85892	0	0
YER152C	P10356	YER152C	49.48976	0	0
YER178W	P16387	PDA1	46.34261	0	0
YFR053C	P04806	HXK1	53.73784	0	0
YGL009C	P07264	LEU1	85.79356	0	0
YGL062W	P11154	PYC1	130.09827	0	0
YGL080W		MPC1	NaN	0	0
YGL125W	P53128	MET13	68.55958	0	0
YGL154C	P50113	LYS5	30.68281	0	0
YGL184C	P53101	STR3	51.82796	0	0
YGL253W	P04807	HXK2	53.9419	0	0
YGR121C		MEP1	NaN	0	0
YGR180C	P49723	RNR4	40.05407	0	0
