genes	enzymes	shortNames	MWs	pathways	actions	k_scores	EV_type	OE	minUsage	maxUsage	pUsage	unique	conectivity	groups	priority	foldChange_yield	foldChange_pRate
YDR300C	P32264	PRO1	47.16164	sce00330  Arginine and proline metabolism sce00332  Carbapenem biosynthesis sce01130  Biosynthesis of antibiotics sce01230  Biosynthesis of amino acids	2	1000	tightly_const	2	2.1000333959648e-07	2.10314793705092e-07	2.10188074822914e-07	1	4	0	1	1.00372700263385	1.00386738948488
YER065C	P28240	ICL1	62.40816	sce00630  Glyoxylate and dicarboxylate metabolism sce01110  Biosynthesis of secondary metabolites sce01200  Carbon metabolism	2	1000	tightly_const	2	1.98408298033167e-05	1.98444991967071e-05	1.9841794433101e-05	1	3	0	1	0.999999999999994	1
YFL030W	P43567	AGX1	41.90679	sce00250  Alanine, aspartate and glutamate metabolism sce00260  Glycine, serine and threonine metabolism sce00630  Glyoxylate and dicarboxylate metabolism sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism sce04146  Peroxisome	2	1000	tightly_const	2	1.99922479908703e-06	1.9995946870656e-06	1.99932210854146e-06	1	4	0	1	0.999999999999994	1
YKL106W	Q01802	AAT1	51.79484	sce00220  Arginine biosynthesis sce00250  Alanine, aspartate and glutamate metabolism sce00270  Cysteine and methionine metabolism sce00330  Arginine and proline metabolism sce00350  Tyrosine metabolism sce00360  Phenylalanine metabolism sce00400  Phenylalanine, tyrosine and tryptophan biosynthesis sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism sce01210  2-Oxocarboxylic acid metabolism sce01230  Biosynthesis of amino acids	2	1000	tightly_const	2	8.79634125556155e-07	8.80818245577351e-07	8.79731405030832e-07	1	6	0	1	0.999999999999989	1
YOR323C	P54885	PRO2	49.73991	sce00330  Arginine and proline metabolism sce00332  Carbapenem biosynthesis sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01230  Biosynthesis of amino acids	2	1000	tightly_const	2	2.72227323070488e-08	2.7258447061414e-08	2.72466152002226e-08	1	6	0	1	1.00050960419803	1.00052873587106
YPL111W	P00812	CAR1	35.66162	sce00220  Arginine biosynthesis sce00330  Arginine and proline metabolism sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01230  Biosynthesis of amino acids	2	1000	tightly_const	2	0.00191582419306734	0.00191582589754519	0.00191582419306734	1	4	0	1	1.67743686133076	1.7238637137378
YJR051W	P21375	OSM1	55.06455	sce00NNN  None	2	128.852620368354	tightly_const	2	3.99808128911588e-07	4.02230485806274e-07	4.00022076831381e-07	1	5	0	1	1.00003972630801	1.0000412169951
YOL058W	P22768	ARG1	46.92715	sce00220  Arginine biosynthesis sce00250  Alanine, aspartate and glutamate metabolism sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01230  Biosynthesis of amino acids	2	115.170138134251	tightly_const	2	3.0120136080926e-05	3.01227461188456e-05	3.0120136080926e-05	1	7	0	1	1.01084095543815	1.01125231109395
YHR018C	P04076	ARG4	51.9886	sce00220  Arginine biosynthesis sce00250  Alanine, aspartate and glutamate metabolism sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01230  Biosynthesis of amino acids	2	115.170138134251	essential	2	1.77348922136944e-07	1.79739100110225e-07	1.77348922136944e-07	1	3	0	1	1.00007013749103	1.0000727694082
YJL088W	P05150	ARG3	37.84479	sce00220  Arginine biosynthesis sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01230  Biosynthesis of amino acids	2	115.170138134251	tightly_const	2	6.33697268391296e-06	6.33697829619303e-06	6.33697268391296e-06	1	5	0	1	1.00182677999838	1.00189545505733
YJR109C	P03965	CPA2	123.91392	sce00240  Pyrimidine metabolism sce00250  Alanine, aspartate and glutamate metabolism	2	75.1562462306301	tightly_const	2	1.95825638270611e-07	1.9582638825154e-07	1.9582563827063e-07	0	9	1	1	1.00020627553718	1.00021401714293
YOR303W	P07258	CPA1	45.36103	sce00240  Pyrimidine metabolism sce00250  Alanine, aspartate and glutamate metabolism	2	75.1562462306301	tightly_const	2	1.9582563827063e-07	1.9582638825154e-07	1.9582563827063e-07	0	9	1	1	1.00007550423613	1.00007833755677
