genes	enzymes	shortNames	MWs	actions	k_scores	EV_type	OE	minUsage	maxUsage	pUsage
YBR166C	P20049	TYR1	50.92272	2	1000	tightly_const	2	4.60992137067905e-06	4.60993681410954e-06	4.60992137067905e-06
YBR208C	P32528	DUR1,2	201.82994	2	1000	tightly_const	2	1.3790597006939e-07	1.37982005949949e-07	1.37951931713938e-07
YDR035W	P14843	ARO3	41.06952	2	1000	tightly_const	2	9.93676005048614e-07	9.93782068940401e-07	9.9377873973982e-07
YDR127W	P08566	ARO1	174.75305	2	1000	tightly_const	2	6.66580288539435e-06	6.66582521611439e-06	6.66580288539435e-06
YDR148C	P19262	KGD2	50.43011	1	1000	opt_isoenz	2	0	4.94399338512085e-06	1.39172422114374e-07
YEL046C	P37303	GLY1	42.81463	2	1000	tightly_const	2	6.37783197495141e-08	6.38607787982298e-08	6.37879089187022e-08
YEL047C	P32614	FRD1	50.84351	1	1000	essential	2	4.10920957432802e-07	0.00152275564378599	4.10990058328434e-07
YER065C	P28240	ICL1	62.40816	2	1000	opt_isoenz	2	0	9.33441357173996e-07	7.8594604611681e-07
YFL030W	P43567	AGX1	41.90679	2	1000	opt_isoenz	2	0	9.40565102982129e-08	7.91944151734919e-08
YGL148W	P28777	ARO2	40.83793	2	1000	tightly_const	2	0.000139357383125883	0.000139357849978977	0.000139357383125883
YGR244C	P53312	LSC2	46.90018	1	1000	opt_isoenz	2	0	0.000944708239726	9.62389661327447e-09
YHR037W	P07275	PUT2	64.43444	1	1000	essential	2	4.21878849631054e-06	0.00120546185297552	4.21949793217192e-06
YIL125W	P20967	KGD1	114.41496	1	1000	opt_isoenz	2	0	4.94399338512085e-06	1.39172422114374e-07
YLR142W	P09368	PUT1	53.27087	2	1000	tightly_const	2	1.88901076052955e-07	1.89026376257067e-07	1.88932841854569e-07
YLR438W	P07991	CAR2	46.08557	2	1000	tightly_const	2	3.27986552885704e-08	3.28417688865606e-08	3.28095819215644e-08
YOR142W	P53598	LSC1	35.03207	1	1000	opt_isoenz	2	0	0.000944708239726	9.62389661327447e-09
YPL111W	P00812	CAR1	35.66162	2	1000	tightly_const	2	1.18257861114565e-05	1.18323063807321e-05	1.18297274388445e-05
YPR060C	P32178	ARO7	29.7468	2	1000	tightly_const	2	3.35847430599955e-07	3.35848555702974e-07	3.35847430599955e-07
YJR109C	P03965	CPA2	123.91392	2	11.623169509659	tightly_const	2	1.56493988851093e-08	1.56521204684366e-08	1.5651437608875e-08
