genes	enzymes	shortNames	MWs	actions	k_scores	OE	minUsage	maxUsage	pUsage	foldChange	unique	conectivity	groups	priority
YAR035W	P80235	YAT1	77.76483	2	1000	2	0	2.2328224453666e-08	2.18516772583698e-08	1.00000099999999	0	5	1	1
YDR038C	Q12691	ENA5	120.29497	1	1000	2	0	6.67823543463109e-08	2.85938515451132e-10	1.000001	0	8	2	1
YJL088W	P05150	ARG3	37.84479	2	40.4887119571374	2	2.14226607091795e-06	2.14229051001285e-06	2.14226607091795e-06	1.000001	1	5	0	1
YOR303W	P07258	CPA1	45.36103	2	26.4371139911285	2	6.62862204612628e-08	6.62869739220864e-08	6.62862204612629e-08	1.000001	0	9	3	1
YLR174W	P41939	IDP2	46.56172	1	24.7468640006686	2	3.06443120729319e-06	0.00164385552374384	3.06558284984903e-06	1.000001	1	5	0	1
YPR074C	P23254	TKL1	73.80488	1	20.457655597418	2	0	0.00103582410212407	6.90006130401034e-07	1.000001	0	10	4	1
YKL029C	P36013	MAE1	74.37529	2	20.1903821115047	2	1.33668665698035e-06	1.33752174122324e-06	1.3367127367219e-06	1.00000100000001	1	7	0	1
YER069W	Q01217	ARG5,6	94.86823	2	20.0695717990524	2	4.5936139824694e-05	4.59564854783675e-05	4.59370475336433e-05	1.000001	1	9	0	1
YMR062C	Q04728	ARG7	47.84821	1	20.0695717990524	2	1.00804200724934e-05	0.00160675447395557	1.00806192639698e-05	1.000001	1	9	0	1
YOL140W	P18544	ARG8	46.68082	2	20.0695717990524	2	0.000114099259239407	0.000114149795136018	0.000114101513867661	1.000001	1	4	0	1
YOL126C	P22133	MDH2	40.7305	1	13.1349067036358	2	4.18567240793428e-08	0.00187573617755506	4.1857131860146e-08	1.000001	1	5	0	1
YPR035W	P32288	GLN1	41.7656	2	8.90441607700575	2	3.41721122888317e-06	3.41752973353585e-06	3.41721122888312e-06	1.000001	1	7	0	1
YKL085W	P17505	MDH1	35.64959	1	6.51514291233583	2	9.56883119465845e-07	0.00214398153372389	9.56971277116659e-07	1.000001	1	5	0	1
YGL062W	P11154	PYC1	130.09827	2	5.89731404866579	2	0	6.14078183929563e-06	6.13897506374659e-06	1.000001	0	8	5	1
YJL121C	P46969	RPE1	25.96689	1	5.44962002135289	2	4.19095586066997e-07	0.00294254843345247	4.19475379411809e-07	1.000001	1	2	0	1
YBR221C	P32473	PDB1	40.0532	2	3.06101193397454	2	2.55612067314326e-06	2.639042119373e-06	2.55685531090908e-06	1.000001	0	6	6	1
YHR163W	P38858	SOL3	27.78417	2	2.98281317685851	2	0	7.44008614268172e-06	7.43983805519011e-06	1.000001	0	5	7	1
YHR183W	P38720	GND1	53.54274	2	2.98281317685851	2	0	2.04397870879679e-06	2.04391055292536e-06	1.00000100000002	0	6	8	1
YNL241C	P11412	ZWF1	57.5209	2	2.98281317685851	2	1.17467819691734e-07	1.17573920674289e-07	1.17570000206445e-07	1.000001	1	5	0	1
