genes	enzymes	shortNames	MWs	actions	k_scores	EV_type	OE	minUsage	maxUsage	pUsage	unique	conectivity	groups	priority	foldChange_yield	foldChange_pRate
YEL046C	P37303	GLY1	42.81463	2	1000	tightly_const	2	4.35312124719586e-07	4.35354890686579e-07	4.35312124719604e-07	1	4	0	1	0.999999999999975	0.999999999999971
YNL037C	P28834	IDH1	39.32357	2	1000	essential	2	1.74309362251835e-06	1.90494691467473e-06	1.74367361054807e-06	0	5	2	1	0.999999999999983	0.999999999999966
YOR136W	P28241	IDH2	39.73903	2	1000	essential	2	1.74309362251835e-06	1.90494691467473e-06	1.74367361054807e-06	0	5	2	1	0.999999999999974	0.999999999999975
efe	Q9Z3T0	efe	38.064	2	1000	tightly_const	2	0.000385460853644417	0.000385460853645188	0.000385460853644417	1	6	0	1	1.69014455094046	1.7022622351409
YLR174W	P41939	IDP2	46.56172	1	20.364581447209	essential	2	2.39323396703123e-06	0.00157102749895806	2.4348969708502e-06	1	5	0	1	1.00893905045589	1.00903208612118
YOL126C	P22133	MDH2	40.7305	1	8.36674131747657	essential	2	2.39241888241709e-08	0.00179318482224229	2.39247288384981e-08	1	5	0	1	1.00004807615044	1.00004857206159
YCR053W	P16120	THR4	57.47349	2	7.05464095219507	tightly_const	2	6.15179164729087e-09	6.15432406051331e-09	6.15390663708702e-09	1	6	0	1	1.00003475683334	1.00003511534935
YDR158W	P13663	HOM2	39.54334	2	7.05464095219507	tightly_const	2	1.32286377478249e-07	1.32296069275646e-07	1.32286377478247e-07	1	6	0	1	1.00051405257571	1.00051935758486
YER052C	P10869	HOM3	58.10913	2	7.05464095219507	tightly_const	2	1.10607583893972e-07	1.10615687421447e-07	1.10607583893979e-07	1	4	0	1	1.00063160859929	1.0006381275573
YHR025W	P17423	THR1	38.71215	2	7.05464095219507	tightly_const	2	6.15179054165614e-07	6.15435749542642e-07	6.15390663708702e-07	1	5	0	1	1.00234104065536	1.00236524470629
YJR139C	P31116	HOM6	38.50163	2	7.05464095219507	tightly_const	2	1.11195109570673e-06	1.11203253637577e-06	1.11195109570671e-06	1	7	0	1	1.00420695075024	1.00425052827908
YBR221C	P32473	PDB1	40.0532	2	2.92242853830658	tightly_const	2	3.13607533583958e-06	3.13614368245754e-06	3.13614368245754e-06	0	6	4	1	1.00989295038564	1.00999601239192
YER178W	P16387	PDA1	46.34261	2	2.92242853830658	tightly_const	2	3.13607533583958e-06	3.13614368245754e-06	3.13614368245754e-06	0	6	4	1	1.01145181953855	1.01157130748586
YGR193C	P16451	PDX1	45.36125	2	2.92242853830658	tightly_const	2	3.13607533583958e-06	3.13614368245754e-06	3.13614368245754e-06	0	6	4	1	1.0112085007384	1.0113254214773
YNL071W	P12695	LAT1	51.81762	2	2.92242853830658	tightly_const	2	3.13607533583958e-06	3.13614368245754e-06	3.13614368245754e-06	0	6	4	1	1.01281003608725	1.01294387698443
YDR050C	P00942	TPI1	26.79508	1	1.25317127298028	essential	2	2.85687044893617e-08	0.00272576349568734	2.85689217214267e-08	1	2	0	1	1.00062328773531	1.00062972075798
YMR205C	P16862	PFK2	104.61673	2	1.24609743991892	essential	2	3.86645394327389e-07	6.95330660142448e-07	6.95312541672204e-07	1	9	0	1	1.00945771741624	1.06364446217738
YCR012W	P00560	PGK1	44.73787	1	1.24048188808462	essential	2	9.17201131843829e-07	0.00163345556973838	9.17203924729366e-07	1	4	0	1	0.988374008599129	1.03598456386918
YDR516C	Q04409	EMI2	55.92028	2	1.00013539805459	essential	2	2.22033941622354e-08	1.86180908097651e-07	1.86077707342336e-07	1	4	0	1	1.00820473275184	1.00829006300401
YDR300C	P32264	PRO1	47.16164	2	1000	opt_isoenz_tight	2	0	2.10489516780386e-07	2.10188074822914e-07	1	4	0	2	1.0038277550054	1.00386738952348
YOR323C	P54885	PRO2	49.73991	2	1000	opt_isoenz_tight	2	0	2.72856910280323e-08	2.72466152002226e-08	1	6	0	2	1.00052333502203	1.0005287358764
YNR001C	P00890	CIT1	53.35945	2	8.281192611165	opt_isoenz_tight	2	0	1.46994239985246e-06	1.46993455980337e-06	1	7	0	2	1.0042172195939	1.00426090394348
YAL038W	P00549	CDC19	54.54404	2	2.51093354577267	opt_isoenz_tight	2	0	2.08837666256462e-06	2.08834659735388e-06	0	6	5	2	1.04494041589581	1.10103183867641
YBL039C	P28274	URA7	64.70953	0	0.286213535404069	subOpt_isoenz	0	0	4.16331781728413e-08	0	0	12	10	2	1.00000000000001	1
YER070W	P21524	RNR1	99.56021	0	0.272684034071003	subOpt_isoenz	0	0	4.87337079226616e-07	0	0	24	11	2	0.999999999999965	0.999999999999961
YIL066C	P21672	RNR3	97.51369	0	0.272684034071003	subOpt_isoenz	0	0	4.87337079226275e-07	0	0	24	11	2	0.999999999999943	0.999999999999939
YJL026W	P09938	RNR2	46.14681	0	0.272684034071003	subOpt_isoenz	0	0	4.87337079228263e-07	0	0	24	11	2	0.999999999999975	0.999999999999972
YDL052C	P33333	SLC1	33.88654	0	0.232638258405811	subOpt_isoenz	0	0	2.99546977616127e-06	0	1	28	0	2	0.999999999999979	0.999999999999974
YNR019W	P53629	ARE2	74.022	0	0.207585615291017	subOpt_isoenz	0	0	0.000986684223643735	0	1	84	0	2	1.00000000000001	1.00000000000001
YMR145C	P40215	NDE1	62.77345	0	0.187185278277753	subOpt_isoenz	0	0	6.56178099070913e-05	0	0	6	12	2	0.999999999999985	0.999999999999981
YOR245C	Q08650	DGA1	47.71075	0	0.164378422936526	subOpt_isoenz	0	0	1.03610860150263e-07	0	1	122	0	2	0.999999999999961	0.999999999999959
YLR438W	P07991	CAR2	46.08557	0	0	subOpt_isoenz	0	0	2.48976575265837e-08	0	1	4	0	2	0.999999999999979	0.999999999999976
YOR184W	P33330	SER1	43.41501	0	0	subOpt_isoenz	0	0	1.74251860255018e-09	0	1	4	0	2	0.991467745923085	1.03558516883228
YOR388C	Q08911	FDH1	41.7138	0	0	subOpt_isoenz	0	0	5.79161227337709e-11	0	1	4	0	2	0.999999999999971	0.999999999999967
YBL015W	P32316	ACH1	58.71137	1	1000	opt_isoenz	2	0	0.00124398908449844	1.2969475940736e-11	1	7	0	3	1.00000029404209	1.00000029707502
YCL064C	P25379	CHA1	39.30093	1	1000	opt_isoenz	2	0	4.17592952396843e-07	7.61544168747709e-08	1	5	0	3	0.999999999999975	0.999999999999973
