genes	enzymes	shortNames	MWs	actions	k_scores	EV_type	OE	minUsage	maxUsage	pUsage	unique	conectivity	groups	priority
YDR300C	P32264	PRO1	47.16164	2	1000	tightly_const	2	2.1000333959648e-07	2.10314793705092e-07	2.10188074822914e-07	1	4	0	1
YER065C	P28240	ICL1	62.40816	2	1000	tightly_const	2	1.98408298033167e-05	1.98444991967071e-05	1.9841794433101e-05	1	3	0	1
YFL030W	P43567	AGX1	41.90679	2	1000	tightly_const	2	1.99922479908703e-06	1.9995946870656e-06	1.99932210854146e-06	1	4	0	1
YKL106W	Q01802	AAT1	51.79484	2	1000	tightly_const	2	8.79634125556155e-07	8.80818245577351e-07	8.79731405030832e-07	1	6	0	1
YOR323C	P54885	PRO2	49.73991	2	1000	tightly_const	2	2.72227323070488e-08	2.7258447061414e-08	2.72466152002226e-08	1	6	0	1
YPL111W	P00812	CAR1	35.66162	2	1000	tightly_const	2	0.00191582419306734	0.00191582589754519	0.00191582419306734	1	4	0	1
YJR051W	P21375	OSM1	55.06455	2	128.852620368354	tightly_const	2	3.99808128911588e-07	4.02230485806274e-07	4.00022076831381e-07	1	5	0	1
YOL058W	P22768	ARG1	46.92715	2	115.170138134251	tightly_const	2	3.0120136080926e-05	3.01227461188456e-05	3.0120136080926e-05	1	7	0	1
YHR018C	P04076	ARG4	51.9886	2	115.170138134251	essential	2	1.77348922136944e-07	1.79739100110225e-07	1.77348922136944e-07	1	3	0	1
YJL088W	P05150	ARG3	37.84479	2	115.170138134251	tightly_const	2	6.33697268391296e-06	6.33697829619303e-06	6.33697268391296e-06	1	5	0	1
YJR109C	P03965	CPA2	123.91392	2	75.1562462306301	tightly_const	2	1.95825638270611e-07	1.9582638825154e-07	1.9582563827063e-07	0	9	1	1
YOR303W	P07258	CPA1	45.36103	2	75.1562462306301	tightly_const	2	1.9582563827063e-07	1.9582638825154e-07	1.9582563827063e-07	0	9	1	1
YLR174W	P41939	IDP2	46.56172	2	30.7054980309659	essential	2	6.50581975110685e-08	6.95599607230558e-08	6.75921221184996e-08	1	5	0	1
YKL085W	P17505	MDH1	35.64959	2	29.0173372556594	tightly_const	2	4.10622761189619e-06	4.10996398401646e-06	4.10657245491558e-06	1	5	0	1
YPR035W	P32288	GLN1	41.7656	2	25.2225779179102	tightly_const	2	1.00219286473203e-05	1.00220628164496e-05	1.00219286473203e-05	1	7	0	1
YNR001C	P00890	CIT1	53.35945	2	11.1350450734007	essential	2	1.68434972795165e-06	1.95984318393709e-06	1.9598240144536e-06	1	7	0	1
YHR137W	P38840	ARO9	58.52706	2	7.25824463861704	tightly_const	2	2.23881397209634e-07	2.26028742405832e-07	2.23877482966324e-07	1	13	0	1
YML120C	P32340	NDI1	57.24915	2	5.91451429082196	tightly_const	2	3.22700264185256e-06	3.2302476098382e-06	3.22901848675119e-06	1	5	0	1
YBR221C	P32473	PDB1	40.0532	2	5.58345969454756	tightly_const	2	4.18604269019965e-06	4.18654641920036e-06	4.18650964727042e-06	0	6	3	1
YER178W	P16387	PDA1	46.34261	2	5.58345969454756	tightly_const	2	4.18604269019965e-06	4.18654641920036e-06	4.18650964727042e-06	0	6	3	1
YGR193C	P16451	PDX1	45.36125	2	5.58345969454756	tightly_const	2	4.18604269019965e-06	4.18654641920036e-06	4.18650964727042e-06	0	6	3	1
YNL071W	P12695	LAT1	51.81762	2	5.58345969454756	tightly_const	2	4.18604269019965e-06	4.18654641920036e-06	4.18650964727042e-06	0	6	3	1
YMR267W	P28239	PPA2	35.57213	2	2.7458818098031	tightly_const	2	2.41564275413041e-06	2.41575685624187e-06	2.41572605309958e-06	1	4	0	1
YAL038W	P00549	CDC19	54.54404	2	2.47156367404337	essential	2	1.3662677382709e-06	1.55730109485212e-06	1.5572925128124e-06	0	6	5	1
YGR254W	P00924	ENO1	46.81564	2	2.31363656957646	essential	2	1.35427450009357e-06	1.60723084198443e-06	1.60460588385313e-06	0	5	6	1
YOR283W	Q12040	YOR283W	26.17622	2	2.31363656957646	essential	2	4.34026211924387e-07	4.47775735737494e-07	4.43048620362873e-07	1	4	0	1
YOR375C	P07262	GDH1	49.56931	2	2.1283763168462	essential	2	1.39787207858102e-05	1.61519243648895e-05	1.61511653104641e-05	0	8	7	1
Q0105	P00163	COB	43.65549	2	1.84695793277849	tightly_const	2	2.09963807929296e-05	2.09964530591605e-05	2.09964439141636e-05	0	6	8	1
Q0045	P00401	COX1	58.79755	2	1.84695793277844	tightly_const	2	6.66072297986479e-06	6.66120426448086e-06	6.66074299780114e-06	0	7	9	1
Q0250	P00410	COX2	28.5669	2	1.84695793277844	tightly_const	2	6.66072297986479e-06	6.66120426448086e-06	6.66074299780114e-06	0	7	9	1
Q0275	P00420	COX3	30.35941	2	1.84695793277844	tightly_const	2	6.66072297986479e-06	6.66120426448086e-06	6.66074299780114e-06	0	7	9	1
YBL045C	P07256	COR1	50.22724	2	1.84695793277844	tightly_const	2	2.09963807929296e-05	2.09964530591605e-05	2.09964439141636e-05	0	6	8	1
