genes	enzymes	shortNames	MWs	actions	k_scores
YAR035W	P80235	YAT1	77.76483	1	1000
YBL015W	P32316	ACH1	58.71137	1	1000
YBR252W	P33317	DUT1	15.30716	1	1000
YDR300C	P32264	PRO1	47.16164	1	1000
YEL047C	P32614	FRD1	50.84351	1	1000
YER024W	P40017	YAT2	103.33286	1	1000
YER073W	P40047	ALD5	56.69214	1	1000
YER170W	P26364	ADK2	25.19373	1	1000
YIL099W	P08019	SGA1	61.46231	1	1000
YLR011W	Q07923	LOT6	21.2804	1	1000
YLR138W		NHA1	NaN	1	1000
YML042W	P32796	CAT2	77.24096	1	1000
YMR170C	P47771	ALD2	55.18718	1	1000
YMR241W		YHM2	NaN	1	1000
YNL037C	P28834	IDH1	39.32357	1	1000
YOR100C		CRC1	NaN	1	1000
YOR136W	P28241	IDH2	39.73903	1	1000
YOR323C	P54885	PRO2	49.73991	1	1000
YOR374W	P46367	ALD4	56.72295	1	1000
YJR069C	P47119	HAM1	22.09268	1	1000
YMR110C	Q04458	HFD1	59.97826	1	1000
YBR241C		YBR241C	NaN	1	1000
YGL104C		VPS73	NaN	1	1000
YDR456W		NHX1	NaN	1	1000
YDR038C	Q12691	ENA5	120.29497	1	1000
YDR039C	Q01896	ENA2	120.31602	1	1000
YDR040C	P13587	ENA1	120.35609	1	1000
YBR296C		PHO89	NaN	1	67.694499461886
YCR037C		PHO87	NaN	1	67.694499461886
YJL198W		PHO90	NaN	1	67.694499461886
YML123C		PHO84	NaN	1	67.694499461886
YNR013C		PHO91	NaN	1	67.694499461886
YJL137C	P47011	GLG2	44.54552	1	15.7038328865157
YLR258W	P27472	GSY2	80.07802	1	15.7038328865157
YFR015C	P23337	GSY1	80.50931	1	15.7038328865157
YKR058W	P36143	GLG1	69.72308	1	15.7038328865157
YOL126C	P22133	MDH2	40.7305	1	10.5003273891053
YBR218C	P32327	PYC2	130.16549	1	4.81037832918288
YGL062W	P11154	PYC1	130.09827	1	4.81037832918288
YKL035W	P32861	UGP1	55.98734	1	4.01111383853002
YKL127W	P33401	PGM1	63.11105	1	4.01111383853002
YMR105C	P37012	PGM2	63.08769	1	4.01111383853002
YHL012W	P38709	YHL012W	55.99958	1	4.01111383853002
YNL036W	P53615	NCE103	24.85889	1	3.32053655626385
YAL038W	P00549	CDC19	54.54404	1	1.81404538967885
YOR347C	P52489	PYK2	55.19478	1	1.81404538967885
YHR174W	P00925	ENO2	46.91368	1	1.7038048267996
YKL152C	P00950	GPM1	27.60828	1	1.7038048267996
YMR323W	P42222	ERR3	47.31216	1	1.7038048267996
YOR393W	P0CX10	ERR1	47.32712	1	1.7038048267996
YPL281C	P0CX11	ERR2	47.32712	1	1.7038048267996
YGR254W	P00924	ENO1	46.81564	1	1.7038048267996
YOR283W	Q12040	YOR283W	26.17622	1	1.7038048267996
YDR516C	Q04409	EMI2	55.92028	1	1.45079669387007
YLR354C	P15019	TAL1	37.0359	1	1.29902442332914
YGR043C	P53228	NQM1	37.25314	1	1.29902442332914
YDR050C	P00942	TPI1	26.79508	1	1.25317138938718
YGR240C	P16861	PFK1	107.96906	1	1.24609755481521
YKL060C	P14540	FBA1	39.62024	1	1.24609755481521
YMR205C	P16862	PFK2	104.61673	1	1.24609755481521
YCR012W	P00560	PGK1	44.73787	1	1.24048194529482
YGR192C	P00359	TDH3	35.74626	1	1.24048194529482
YJL052W	P00360	TDH1	35.74956	1	1.24048194529482
YJR009C	P00358	TDH2	35.84645	1	1.24048194529482
YBR196C	P12709	PGI1	61.29832	1	1.23864085218288
YBR029C	P38221	CDS1	51.82218	0	0.280134188662634
YOR222W		ODC2	NaN	0	0.276098371082231
YPL134C		ODC1	NaN	0	0.276098371082231
YOR175C	Q08548	ALE1	72.22714	0	0.267930836053589
YMR246W	P47912	FAA4	77.26612	0	0.266504125054437
YOR317W	P30624	FAA1	77.86529	0	0.266504125054437
YBL039C	P28274	URA7	64.70953	0	0.258201785040243
YJR103W	P38627	URA8	64.50989	0	0.258201785040243
YDL052C	P33333	SLC1	33.88654	0	0.244910606724649
YLR304C	P19414	ACO1	85.36736	0	0.217825330414917
YDR503C	Q04396	LPP1	31.58604	0	0.207961799394324
YER070W	P21524	RNR1	99.56021	0	0.196000000000006
YIL066C	P21672	RNR3	97.51369	0	0.196000000000006
YJL026W	P09938	RNR2	46.14681	0	0.196000000000006
YPR021C		AGC1	NaN	0	0.188206271058759
YGR180C	P49723	RNR4	40.05407	0	0.180731707317078
YER069W	Q01217	ARG5,6	94.86823	0	0.145193082637183
YMR062C	Q04728	ARG7	47.84821	0	0.145193082637183
YOL140W	P18544	ARG8	46.68082	0	0.145193082637183
YOR130C		ORT1	NaN	0	0.145193082637183
YOR095C	Q12189	RKI1	28.25777	0	0.141329791330293
YFL018C	P09624	LPD1	54.00934	0	0.121484926975154
YGL080W		MPC1	NaN	0	0.110229957335233
YGR243W		MPC3	NaN	0	0.110229957335233
YHR162W		MPC2	NaN	0	0.110229957335233
YBR221C	P32473	PDB1	40.0532	0	0
YCL040W	P17709	GLK1	55.37689	0	0
YDR148C	P19262	KGD2	50.43011	0	0
YER178W	P16387	PDA1	46.34261	0	0
YFR053C	P04806	HXK1	53.73784	0	0
YGL253W	P04807	HXK2	53.9419	0	0
YGR193C	P16451	PDX1	45.36125	0	0
YGR248W	P53315	SOL4	28.44737	0	0
YGR256W	P53319	GND2	53.92235	0	0
YHR002W		LEU5	NaN	0	0
YHR163W	P38858	SOL3	27.78417	0	0
YHR183W	P38720	GND1	53.54274	0	0
YIL125W	P20967	KGD1	114.41496	0	0
YJR095W		SFC1	NaN	0	0
YLR438W	P07991	CAR2	46.08557	0	0
YMR267W	P28239	PPA2	35.57213	0	0
YNL071W	P12695	LAT1	51.81762	0	0
YNL241C	P11412	ZWF1	57.5209	0	0
YPL061W	P54115	ALD6	54.41344	0	0
YLR446W	Q06204	YLR446W	48.96875	0	0
