genes	enzymes	shortNames	MWs	actions	k_scores
YBR208C	P32528	DUR1,2	201.82994	1	1000
YBR249C	P32449	ARO4	39.74874	1	1000
YDR035W	P14843	ARO3	41.06952	1	1000
YDR127W	P08566	ARO1	174.75305	1	1000
YDR148C	P19262	KGD2	50.43011	1	1000
YDR321W	P38986	ASP1	41.3948	1	1000
YEL046C	P37303	GLY1	42.81463	1	1000
YEL047C	P32614	FRD1	50.84351	1	1000
YER037W	P40025	PHM8	37.7185	1	1000
YER056C		FCY2	NaN	1	1000
YER060W		FCY21	NaN	1	1000
YER060W-A		FCY22	NaN	1	1000
YER073W	P40047	ALD5	56.69214	1	1000
YGL148W	P28777	ARO2	40.83793	1	1000
YGL186C		TPN1	NaN	1	1000
YGR244C	P53312	LSC2	46.90018	1	1000
YGR248W	P53315	SOL4	28.44737	1	1000
YGR256W	P53319	GND2	53.92235	1	1000
YHR037W	P07275	PUT2	64.43444	1	1000
YHR163W	P38858	SOL3	27.78417	1	1000
YHR183W	P38720	GND1	53.54274	1	1000
YIL125W	P20967	KGD1	114.41496	1	1000
YLR142W	P09368	PUT1	53.27087	1	1000
YLR209C	Q05788	PNP1	33.7546	1	1000
YLR438W	P07991	CAR2	46.08557	1	1000
YMR170C	P47771	ALD2	55.18718	1	1000
YMR278W	Q03262	PRM15	71.06819	1	1000
YNL241C	P11412	ZWF1	57.5209	1	1000
YNL316C	P32452	PHA2	38.22484	1	1000
YOR142W	P53598	LSC1	35.03207	1	1000
YOR374W	P46367	ALD4	56.72295	1	1000
YPL111W	P00812	CAR1	35.66162	1	1000
YPR060C	P32178	ARO7	29.7468	1	1000
YMR110C	Q04458	HFD1	59.97826	1	1000
hmaS	Q5J1Q8	hmaS	36.597	1	1000
YPL262W	P08417	FUM1	53.15125	1	336.9793734968
YBR296C		PHO89	NaN	1	18.1124253614184
YCR037C		PHO87	NaN	1	18.1124253614184
YJL198W		PHO90	NaN	1	18.1124253614184
YML123C		PHO84	NaN	1	18.1124253614184
YNR013C		PHO91	NaN	1	18.1124253614184
YJR051W	P21375	OSM1	55.06455	1	17.256116448296
YOR095C	Q12189	RKI1	28.25777	1	13.6841604004648
YJL121C	P46969	RPE1	25.96689	1	6.98324487167357
