genes	enzymes	shortNames	MWs	actions	k_scores	EV_type	OE	minUsage	maxUsage	pUsage	unique	conectivity	groups	priority	foldChange_yield	foldChange_pRate
YGR155W	P32582	CYS4	56.02121	2	17.2243149064326	tightly_const	2	1.18576423238922e-07	1.18747257336858e-07	1.18656388135448e-07	1	4	0	1	1.00036512358475	1.00039063916454
YNL247W	P53852	YNL247W	87.52914	2	17.2243149064325	tightly_const	2	2.4768059618948e-07	2.47680606125417e-07	2.4768059618948e-07	1	6	0	1	1.00119152368063	1.00127486337951
YJL121C	P46969	RPE1	25.96689	1	10.3851988274087	essential	2	6.2305766439697e-07	0.00292928632636353	6.23165120339044e-07	1	2	0	1	1.00313856369412	1.00335854361173
YNL241C	P11412	ZWF1	57.5209	2	6.42467384731493	tightly_const	2	1.98260628026176e-07	1.98294589077152e-07	1.98289538230997e-07	1	5	0	1	1.00211368528569	1.00226167017816
YDR007W	P00912	TRP1	24.14425	2	5.53930430000695	tightly_const	2	5.34638747504612e-08	5.34697524069217e-08	5.34638747504612e-08	1	2	0	1	1.00010208565467	1.00010921760128
YDR354W	P07285	TRP4	41.37402	2	5.53930430000695	tightly_const	2	1.27207251016524e-06	1.27221235796362e-06	1.27207251016524e-06	1	4	0	1	1.00416976289869	1.00446234041904
YER090W	P00899	TRP2	56.76706	2	5.53930430000695	tightly_const	2	6.36036255082622e-06	6.36047319215344e-06	6.36036255082622e-06	1	6	0	1	1.02891807203553	1.03100076023398
YGL026C	P00931	TRP5	76.62516	2	5.53930430000695	tightly_const	2	4.75540777769816e-09	4.75593057283494e-09	4.75540777769816e-09	1	5	0	1	1.00002881620471	1.00003082921551
YKL211C	P00937	TRP3	53.48881	2	5.53930430000695	tightly_const	2	6.69270562781794e-06	6.69282205040313e-06	6.69270562781796e-06	1	10	0	1	1.02866870267394	1.03073289477695
YOL097C	Q12109	WRS1	49.34966	2	5.53930430000695	tightly_const	2	2.63501246494159e-06	2.63501277948366e-06	2.63501246494159e-06	1	6	0	1	1.01033043558682	1.01106004683132
