genes	enzymes	shortNames	MWs	pathways	actions	k_scores	EV_type	OE	minUsage	maxUsage	pUsage	unique	conectivity	groups	priority	foldChange_yield	foldChange_pRate	FCC
D12D	Q9Y8H5	D12D	46.001		OE	1000	tightly_const	2	0.000384190997780769	0.000384191316362371	0.000384190997780769	1	7	0	1	1.10825369762496	1.10827211406889	0.193929664124993
D6D	A0A1Y5I9G7	D6D	51.674		OE	1000	tightly_const	2	0.000384190997780769	0.000384191316362371	0.000384190997780769	1	9	0	1	1.12324931717227	1.12327056847793	0.217885457284014
D6E	D5KSD4	D6E	36.746		OE	1000	tightly_const	2	0.000384190997780769	0.000384191316362371	0.000384190997780769	1	11	0	1	1.0846307651408	1.08464485583884	0.154872469909476
D5D	HQ678517	D5D	59.89		OE	1000	tightly_const	2	0.000384190997780769	0.000384191316362371	0.000384190997780769	1	9	0	1	1.14570075034891	1.14572637508015	0.252600078941677
YPL023C	P46151	MET12	73.94088	sce00670  One carbon pool by folate sce01200  Carbon metabolism	KD	0.293884450454309	subOpt_isoenz	0	0	1.40928363739834e-08	0	0	6	1	2	1.00000089943106	0.999999902800949	0
YBR218C	P32327	PYC2	130.16549	sce00020  Citrate cycle (TCA cycle) sce00620  Pyruvate metabolism sce01200  Carbon metabolism sce01230  Biosynthesis of amino acids	KD	0.281765185123356	subOpt_isoenz	0	0	5.1266687482032e-07	0	0	8	5	2	0.999998756948308	1.00000140928362	0
YBL039C	P28274	URA7	64.70953	sce00240  Pyrimidine metabolism	KD	0.258201785040243	subOpt_isoenz	0	0	3.67187587728317e-08	0	0	12	7	2	0.99999875694861	1.00000140928392	0
YMR145C	P40215	NDE1	62.77345	sce00NNN  None	KD	0.218631454588232	subOpt_isoenz	0	0	8.11673783618063e-08	0	0	6	8	2	0.999998756947989	1.0000014092833	0
YER081W	P40054	SER3	51.1927	sce00260  Glycine, serine and threonine metabolism sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism sce01230  Biosynthesis of amino acids	KO	0.0298727415552089	subOpt_isoenz	0	0	2.85488614485893e-08	0	0	6	15	2	0.999998773734801	1.00000142607273	0
YOR317W	P30624	FAA1	77.86529	sce00061  Fatty acid biosynthesis sce00071  Fatty acid degradation sce01212  Fatty acid metabolism sce04146  Peroxisome	KO	0	subOpt_isoenz	0	0	1.24694041456599e-09	0	1	52	0	2	0.999998773734495	1.00000142607243	0
