genes	enzymes	shortNames	MWs	pathways	actions	k_scores	EV_type	OE	minUsage	maxUsage	pUsage	unique	conectivity	groups	priority	foldChange_yield	foldChange_pRate
YCR005C	P08679	CIT2	51.41279	sce00020  Citrate cycle (TCA cycle) sce00630  Glyoxylate and dicarboxylate metabolism sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism sce01210  2-Oxocarboxylic acid metabolism sce01230  Biosynthesis of amino acids	2	1000	tightly_const	2	5.05298118444633e-06	5.05579328518566e-06	5.05500240792153e-06	1	6	0	1	0.999999999999993	1
YDL078C	P32419	MDH3	37.18575	sce00020  Citrate cycle (TCA cycle) sce00270  Cysteine and methionine metabolism sce00620  Pyruvate metabolism sce00630  Glyoxylate and dicarboxylate metabolism sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism	1	1000	essential	2	8.43985958483794e-09	1.06891186300201e-07	8.43985958483794e-09	1	5	0	1	1.0000056772023	1.00000843316445
YDR148C	P19262	KGD2	50.43011	sce00020  Citrate cycle (TCA cycle) sce00310  Lysine degradation sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism	2	1000	tightly_const	2	2.99347730353876e-06	3.01328830817894e-06	2.99600195923986e-06	0	11	1	1	1	1
YDR256C	P15202	CTA1	58.55479	sce00380  Tryptophan metabolism sce00630  Glyoxylate and dicarboxylate metabolism sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism sce04011  MAPK signaling pathway - yeast sce04146  Peroxisome sce04213  Longevity regulating pathway - multiple species	2	1000	tightly_const	2	4.25467838746773e-11	4.25470653583318e-11	4.25467838746773e-11	1	3	0	1	1.00000004506597	1.00000006694279
YER015W	P39518	FAA2	83.43704	sce00061  Fatty acid biosynthesis sce00071  Fatty acid degradation sce01212  Fatty acid metabolism sce04146  Peroxisome	2	1000	tightly_const	2	0.000771330249966169	0.00077140268755044	0.000771337890732296	1	20	0	1	0.999999999999991	1
YGL205W	P13711	POX1	84.04132	sce00071  Fatty acid degradation sce01040  Biosynthesis of unsaturated fatty acids sce01110  Biosynthesis of secondary metabolites sce01212  Fatty acid metabolism sce04146  Peroxisome	2	1000	tightly_const	2	4.67375113071509e-06	4.67378345566861e-06	4.67375113071509e-06	1	38	0	1	1.00715607157158	1.01066696752577
YGR244C	P53312	LSC2	46.90018	sce00020  Citrate cycle (TCA cycle) sce00640  Propanoate metabolism sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism	2	1000	essential	2	2.07011222090162e-07	2.5186862338988e-07	2.07185812770118e-07	0	8	2	1	0.999999999999994	1
YIL125W	P20967	KGD1	114.41496	sce00020  Citrate cycle (TCA cycle) sce00310  Lysine degradation sce00380  Tryptophan metabolism sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism	2	1000	tightly_const	2	2.99347730353876e-06	3.01328830817894e-06	2.99600195923986e-06	0	11	1	1	1.00000000000001	0.999999999999998
YIL160C	P27796	POT1	44.72993	sce00071  Fatty acid degradation sce00280  Valine, leucine and isoleucine degradation sce01040  Biosynthesis of unsaturated fatty acids sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01212  Fatty acid metabolism sce04146  Peroxisome	2	1000	tightly_const	2	4.88714447921519e-06	4.88716570862564e-06	4.88714447921519e-06	1	37	0	1	1.00397002652211	1.00590862180181
YJR019C	P41903	TES1	40.25927	sce00062  Fatty acid elongation sce01040  Biosynthesis of unsaturated fatty acids sce01110  Biosynthesis of secondary metabolites	2	1000	essential	2	1.53054967424377e-06	1.56742962774315e-06	1.53067309735599e-06	1	23	0	1	1.00260751228665	1.00387821103992
