genes	enzymes	shortNames	MWs	pathways	actions	k_scores	EV_type	OE	minUsage	maxUsage	pUsage	unique	conectivity	groups	priority	foldChange_yield	foldChange_pRate
YDR300C	P32264	PRO1	47.16164	sce00330  Arginine and proline metabolism sce00332  Carbapenem biosynthesis sce01130  Biosynthesis of antibiotics sce01230  Biosynthesis of amino acids	2	1000	tightly_const	2	2.10052092924017e-07	2.10427755729112e-07	2.10188074822914e-07	1	4	0	1	1.00396890445555	1.00396970079189
YOR323C	P54885	PRO2	49.73991	sce00330  Arginine and proline metabolism sce00332  Carbapenem biosynthesis sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01230  Biosynthesis of amino acids	2	1000	tightly_const	2	2.72290007595672e-08	2.72789335093078e-08	2.72466152002226e-08	1	6	0	1	1.00054261501253	1.00054272351265
YJR069C	P47119	HAM1	22.09268	sce00230  Purine metabolism	1	1000	essential	2	2.63198910509506e-11	4.2671901781691e-09	1.5728024228112e-10	1	16	0	1	1.00000139122497	1.00000139150299
TASY	Q2PRN4	TASY	97.962		2	1000	tightly_const	2	2.76958509857417e-06	2.76958509857971e-06	2.76958509857417e-06	1	3	0	1	1.00149803017675	1.00149833002145
crtE	Q1L6K3	crtE	42.153		2	1000	essential	2	5.11396990976582e-08	5.27540018777087e-08	5.27540018776032e-08	1	4	0	1	1.00001225991208	1.00001226236156
mvaS	Q9FD71	mvaS	42.151		2	1000	tightly_const	2	5.91129400977989e-07	5.91499003418083e-07	5.91263222192172e-07	1	5	0	1	1.00578216004482	1.00578332228971
CYP725A4	Q6WG30	CYP725A4	56.558		2	1000	tightly_const	2	0.00159528101677872	0.00159528101678191	0.00159528101677872	1	4	0	1	1.98975875681897	1.99015693783972
TAT	Q9M6F0	TAT	49.08		2	1000	tightly_const	2	1.49757896509587e-08	1.49757896509886e-08	1.49757896509587e-08	1	4	0	1	1.00000405223174	1.00000405304038
YLR044C	P06169	PDC1	61.49468	sce00010  Glycolysis / Gluconeogenesis sce01110  Biosynthesis of secondary metabolites	2	11.886770109576	tightly_const	2	9.30816565241891e-07	9.34224827724235e-07	9.32470436972147e-07	1	17	0	1	1.10721937871054	1.17628661753965
YAL038W	P00549	CDC19	54.54404	sce00010  Glycolysis / Gluconeogenesis sce00230  Purine metabolism sce00620  Pyruvate metabolism sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism sce01230  Biosynthesis of amino acids	2	2.46130188446761	essential	2	1.92398562135819e-06	2.06365313259115e-06	2.06343189627299e-06	1	6	0	1	1.04358528671808	1.10422483166367
