genes	enzymes	shortNames	MWs	pathways	actions	k_scores	unique	conectivity	groups	EV_type	EUV_comparison	priority
YDL238C	Q07729	GUD1	55.20292	sce00230  Purine metabolism	OE	1000	1	5	0	essential_tightly_const	up_distinct	1
YMR217W	P38625	GUA1	58.48154	sce00230  Purine metabolism	OE	156.624415435774	1	9	0	essential_tightly_const	up_distinct	1
YAR015W	P27616	ADE1	34.60299	sce00230  Purine metabolism sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics	OE	78.29743220315	1	7	0	essential_tightly_const	up_distinct	1
YMR300C	P04046	ADE4	56.71874	sce00230  Purine metabolism sce00250  Alanine, aspartate and glutamate metabolism sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics	OE	78.29743220315	1	6	0	essential_tightly_const	up_distinct	1
YOR128C	P21264	ADE2	62.33875	sce00230  Purine metabolism sce01110  Biosynthesis of secondary metabolites	OE	78.29743220315	1	8	0	essential_tightly_const	up_distinct	1
YDR408C	P04161	ADE8	23.53994	sce00230  Purine metabolism sce00670  One carbon pool by folate sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics	OE	78.29743220315	1	5	0	essential_tightly_const	up_distinct	1
YGL234W	P07244	ADE5,7	86.06721	sce00230  Purine metabolism sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics	OE	78.29743220315	1	9	0	essential_tightly_const	up_distinct	1
YGR061C	P38972	ADE6	148.90358	sce00230  Purine metabolism sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics	OE	78.2974321957633	1	9	0	essential_tightly_const	up_distinct	1
YPR035W	P32288	GLN1	41.7656	sce00220  Arginine biosynthesis sce00250  Alanine, aspartate and glutamate metabolism sce00630  Glyoxylate and dicarboxylate metabolism sce00910  Nitrogen metabolism sce01230  Biosynthesis of amino acids	OE	24.6034883221893	1	7	0	essential_tightly_const	up_distinct	1
Q0105	P00163	COB	43.65549	sce00190  Oxidative phosphorylation	OE	1.60064232142088	0	6	5	essential_tightly_const	up_distinct	1
YGL191W	P32799	COX13	15.02097	sce00190  Oxidative phosphorylation	OE	1.60064232142088	0	7	7	essential	up_distinct	1
YHR051W	P00427	COX6	17.34139	sce00190  Oxidative phosphorylation	OE	1.60064232142088	0	7	7	essential	up_distinct	1
YIL111W	P00425	COX5B	17.1965	sce00190  Oxidative phosphorylation	OE	1.60064232142088	0	7	7	essential	up_distinct	1
YLR038C	Q01519	COX12	9.78778	sce00190  Oxidative phosphorylation	OE	1.60064232142088	0	7	7	essential	up_distinct	1
