genes	enzymes	shortNames	MWs	pathways	actions	k_scores	enz_pos	unique	conectivity	groups	EV_type	OE	minUsage	maxUsage	pUsage	minUsageBio	maxUsageBio	pUsageBio	EUV_comparison	priority
YJL101C	P32477	GSH1	78.25278	sce00270  Cysteine and methionine metabolism sce00480  Glutathione metabolism	OE	1000	7418	1	7	0	production_opt_tight	2	0	6.6239190416643e-09	6.62377844298002e-09	0	6.65102304212929e-11	6.62377844298068e-11	up_subset	2
GshF	D4N892	GshF	85.438		OE	1000	0	1	9	0	production_opt	2	0	1.18969732251798e-07	6.11618686287077e-08	0	1.19456537064297e-09	6.11618686287138e-10	none	3
YGR155W	P32582	CYS4	56.02121	sce00260  Glycine, serine and threonine metabolism sce00270  Cysteine and methionine metabolism sce01130  Biosynthesis of antibiotics sce01230  Biosynthesis of amino acids	OE	460.729271452276	7424	1	4	0	essential_tightly_const	2	3.14379956883959e-06	3.1439704027807e-06	3.14387953366349e-06	4.04620318096359e-08	4.07930663640886e-08	4.06169841541159e-08	up_distinct	1
YPR074C	P23254	TKL1	73.80488	sce00030  Pentose phosphate pathway sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism sce01230  Biosynthesis of amino acids	OE	55.8096013485853	7314	1	10	0	production_opt	2	0	0.00109668844651052	1.93188683662602e-06	0	0.000969955475473316	1.49181173745244e-07	up_subset	2
YFR030W	P39692	MET10	114.82714	sce00920  Sulfur metabolism	OE	53.3593940844289	7603	0	6	1	essential_tightly_const	2	4.38067742531989e-07	4.38069797948799e-07	4.38067742531989e-07	1.5362693378168e-08	1.53666788299075e-08	1.5362693378168e-08	up_distinct	1
YKL001C	Q02196	MET14	23.06018	sce00230  Purine metabolism sce00920  Sulfur metabolism	OE	53.3593940837671	7840	1	5	0	essential_tightly_const	2	1.55314613783379e-05	1.55316358456637e-05	1.55314613783379e-05	5.4467621261303e-07	5.45014287785136e-07	5.4467621261303e-07	up_distinct	1
YOL064C	P32179	MET22	39.14886	sce00920  Sulfur metabolism sce01130  Biosynthesis of antibiotics	OE	53.3593940837671	7387	1	4	0	essential_tightly_const	2	6.21257296567321e-06	6.21265777830965e-06	6.21257963096715e-06	2.17857388491474e-07	2.18021743002558e-07	2.17870312491752e-07	up_distinct	1
YPR167C	P18408	MET16	30.3799	sce00920  Sulfur metabolism	OE	53.3593940837671	7268	1	7	0	essential_tightly_const	2	1.95252748705939e-05	1.95254942010503e-05	1.95252748705938e-05	6.8473613059852e-07	6.85161139582666e-07	6.84736130598521e-07	up_distinct	1
YCL050C	P16550	APA1	36.49211	sce00230  Purine metabolism sce00920  Sulfur metabolism	OE	53.3593940837671	7254	1	9	0	essential_tightly_const	2	7.11814387062492e-07	7.11867155470403e-07	7.11859159045484e-07	2.4877587191135e-08	2.49798395088922e-08	2.49643443857493e-08	up_distinct	1
YJR137C	P47169	MET5	161.21721	sce00920  Sulfur metabolism	OE	53.3593940837669	7708	0	6	1	essential_tightly_const	2	4.38067742531989e-07	4.38069797948799e-07	4.38067742531989e-07	1.5362693378168e-08	1.53666788299075e-08	1.5362693378168e-08	up_distinct	1
YDR353W	P29509	TRR1	34.23767	sce00450  Selenocompound metabolism	OE	45.7376051295072	7369	1	6	0	essential_tightly_const	2	2.05644813385359e-06	2.05647294910084e-06	2.05644813385359e-06	8.06410701170295e-08	8.06891868641663e-08	8.06410701170295e-08	up_distinct	1
YJL121C	P46969	RPE1	25.96689	sce00030  Pentose phosphate pathway sce00040  Pentose and glucuronate interconversions sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism sce01230  Biosynthesis of amino acids	OE	16.8136203735163	7688	1	2	0	essential	2	1.17434437593067e-06	0.00311276656610967	1.17445183175879e-06	9.04854827444318e-08	0.00275654062307182	9.06917006976656e-08	up_overlaped	2
YLR174W	P41939	IDP2	46.56172	sce00020  Citrate cycle (TCA cycle) sce00480  Glutathione metabolism sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism sce01210  2-Oxocarboxylic acid metabolism sce01230  Biosynthesis of amino acids sce04146  Peroxisome	OE	12.1479151578507	7664	1	5	0	essential	2	1.2242726819441e-06	0.00173652213414003	1.22464130205976e-06	1.47640601753056e-07	0.00153738724615624	1.4835489772031e-07	up_overlaped	2
YHR163W	P38858	SOL3	27.78417	sce00030  Pentose phosphate pathway sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism	OE	9.12071285890391	7577	1	5	0	production_opt_tight	2	0	2.0570395252168e-05	2.0570075634286e-05	0	2.72032305432329e-06	2.71966957310409e-06	up_subset	2
YHR183W	P38720	GND1	53.54274	sce00030  Pentose phosphate pathway sce00480  Glutathione metabolism sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism	OE	9.12071285890391	7563	1	6	0	production_opt_tight	2	0	5.65120472003206e-06	5.65111691296292e-06	0	7.47341132538344e-07	7.47161604822783e-07	up_subset	2
YNL241C	P11412	ZWF1	57.5209	sce00030  Pentose phosphate pathway sce00480  Glutathione metabolism sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism	OE	9.12071285890391	7214	1	5	0	essential_tightly_const	2	3.25035127326051e-07	3.25069075538405e-07	3.25064037500449e-07	4.29228316245117e-08	4.29886214837714e-08	4.29782946751438e-08	up_distinct	1
YOR095C	Q12189	RKI1	28.25777	sce00030  Pentose phosphate pathway sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism sce01230  Biosynthesis of amino acids	OE	4.87762886747746	7980	1	2	0	essential	2	7.53863257191251e-06	0.00286687018783098	7.53926779322558e-06	1.75456449326339e-06	0.0025347362923962	1.75578354337293e-06	up_overlaped	2
