genes	enzymes	shortNames	MWs	pathways	actions	k_scores	EV_type	OE	minUsage	maxUsage	pUsage
YDR300C	P32264	PRO1	47.16164	sce00330  Arginine and proline metabolism sce00332  Carbapenem biosynthesis sce01130  Biosynthesis of antibiotics sce01230  Biosynthesis of amino acids	2	1000	opt_isoenz	2	0	1.86630815179433e-09	1.5108658724547e-09
YMR241W		YHM2	NaN		1	1000		2	NaN	NaN	NaN
YOR323C	P54885	PRO2	49.73991	sce00330  Arginine and proline metabolism sce00332  Carbapenem biosynthesis sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01230  Biosynthesis of amino acids	2	1000	opt_isoenz	2	0	2.4192895069711e-10	1.95853076253753e-10
YPR074C	P23254	TKL1	73.80488	sce00030  Pentose phosphate pathway sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism sce01230  Biosynthesis of amino acids	1	27.4153960741619	opt_isoenz	2	0	0.00102135380154404	9.93968618483616e-07
YJL121C	P46969	RPE1	25.96689	sce00030  Pentose phosphate pathway sce00040  Pentose and glucuronate interconversions sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism sce01230  Biosynthesis of amino acids	1	10.0588272557645	essential	2	6.04155851263512e-07	0.00290074079429848	6.04263273892242e-07
YHR163W	P38858	SOL3	27.78417	sce00030  Pentose phosphate pathway sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism	2	6.21071402605071	opt_isoenz_tight	2	0	1.2153262591716e-05	1.21529429737964e-05
YHR183W	P38720	GND1	53.54274	sce00030  Pentose phosphate pathway sce00480  Glutathione metabolism sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism	2	6.21071402605071	opt_isoenz_tight	2	0	3.338806769635e-06	3.33871896256053e-06
YNL241C	P11412	ZWF1	57.5209	sce00030  Pentose phosphate pathway sce00480  Glutathione metabolism sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism	2	6.21071402605071	tightly_const	2	1.92021180673317e-07	1.92055119953935e-07	1.92050081915614e-07
YDR007W	P00912	TRP1	24.14425	sce00400  Phenylalanine, tyrosine and tryptophan biosynthesis sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01230  Biosynthesis of amino acids	2	5.02290344406487	tightly_const	2	4.8795793282172e-08	4.88016671708923e-08	4.8795793282172e-08
YGL026C	P00931	TRP5	76.62516	sce00260  Glycine, serine and threonine metabolism sce00400  Phenylalanine, tyrosine and tryptophan biosynthesis sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01230  Biosynthesis of amino acids	2	5.02290344406487	tightly_const	2	4.34019973254914e-09	4.34072219254896e-09	4.34019973254914e-09
YOL097C	Q12109	WRS1	49.34966	sce00970  Aminoacyl-tRNA biosynthesis	2	5.02290344406487	tightly_const	2	2.4049421059615e-06	2.40494242030148e-06	2.4049421059615e-06
YDR354W	P07285	TRP4	41.37402	sce00400  Phenylalanine, tyrosine and tryptophan biosynthesis sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01230  Biosynthesis of amino acids	2	5.02290344406487	tightly_const	2	1.16100427691918e-06	1.16114412471783e-06	1.16100427691918e-06
YER090W	P00899	TRP2	56.76706	sce00400  Phenylalanine, tyrosine and tryptophan biosynthesis sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01230  Biosynthesis of amino acids	2	5.02290344406487	tightly_const	2	5.8050213845959e-06	5.80513202592412e-06	5.8050213845959e-06
YKL211C	P00937	TRP3	53.48881	sce00400  Phenylalanine, tyrosine and tryptophan biosynthesis sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01230  Biosynthesis of amino acids	2	5.02290344406487	tightly_const	2	6.10834665159799e-06	6.1084630741798e-06	6.10834665159799e-06
YOR095C	Q12189	RKI1	28.25777	sce00030  Pentose phosphate pathway sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism sce01230  Biosynthesis of amino acids	1	4.092696233627	essential	2	5.51208741690514e-06	0.0026705311321865	5.51272263887553e-06
YDR341C	Q05506	YDR341C	69.5242	sce00970  Aminoacyl-tRNA biosynthesis	2	3.63645925482934	tightly_const	2	7.90964144056667e-07	7.90964283170527e-07	7.90964144056667e-07
YHR018C	P04076	ARG4	51.9886	sce00220  Arginine biosynthesis sce00250  Alanine, aspartate and glutamate metabolism sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01230  Biosynthesis of amino acids	1	3.63645925482934	essential	2	4.83217352339168e-09	0.00144854457948778	4.83217352339168e-09
YJL088W	P05150	ARG3	37.84479	sce00220  Arginine biosynthesis sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01230  Biosynthesis of amino acids	2	3.63645925482934	tightly_const	2	1.72661616730974e-07	1.72668423995946e-07	1.72661616730974e-07
YOL058W	P22768	ARG1	46.92715	sce00220  Arginine biosynthesis sce00250  Alanine, aspartate and glutamate metabolism sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01230  Biosynthesis of amino acids	1	3.63645925482934	essential	2	8.20674421572286e-07	0.0016055948184855	8.20674421572286e-07
YGR264C	P00958	MES1	85.67702	sce00450  Selenocompound metabolism sce00970  Aminoacyl-tRNA biosynthesis	2	3.60413355295413	tightly_const	2	1.08069690535214e-05	1.08069709696791e-05	1.08069690535214e-05
YOR168W	P13188	GLN4	93.13159	sce00970  Aminoacyl-tRNA biosynthesis	2	3.47918355481212	tightly_const	2	2.78813589847117e-06	2.78813640885501e-06	2.78813589847117e-06
YHR011W	P38705	DIA4	50.38946	sce00970  Aminoacyl-tRNA biosynthesis	2	3.37197867146346	opt_isoenz_tight	2	0	3.91217520917383e-06	3.91217447206706e-06
YPR167C	P18408	MET16	30.3799	sce00920  Sulfur metabolism	2	3.22286308598714	tightly_const	2	1.2936703014398e-06	1.29388963209172e-06	1.2936703014398e-06
YFR030W	P39692	MET10	114.82714	sce00920  Sulfur metabolism	2	3.22286308598714	tightly_const	2	2.90246991291229e-08	2.90267558662003e-08	2.90246991291229e-08
YKL001C	Q02196	MET14	23.06018	sce00230  Purine metabolism sce00920  Sulfur metabolism	2	3.22286308598714	tightly_const	2	1.0290554400018e-06	1.0292299074848e-06	1.0290554400018e-06
YOL064C	P32179	MET22	39.14886	sce00920  Sulfur metabolism sce01130  Biosynthesis of antibiotics	2	3.22286308598714	tightly_const	2	4.11615180420675e-07	4.11699997408336e-07	4.11621849995887e-07
YCL050C	P16550	APA1	36.49211	sce00230  Purine metabolism sce00920  Sulfur metabolism	2	3.22286308598714	tightly_const	2	4.71203029358285e-08	4.71730713909602e-08	4.71650749589189e-08
YJR137C	P47169	MET5	161.21721	sce00920  Sulfur metabolism	2	3.2228628656372	tightly_const	2	2.90246991291229e-08	2.90267558662003e-08	2.90246991291322e-08
YNL316C	P32452	PHA2	38.22484	sce00400  Phenylalanine, tyrosine and tryptophan biosynthesis sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01230  Biosynthesis of amino acids	2	3.0515884315022	tightly_const	2	5.21587021208439e-09	5.21590132303108e-09	5.21587021208439e-09
YFL022C	P15625	FRS2	57.51077	sce00970  Aminoacyl-tRNA biosynthesis	2	3.0515884315022	tightly_const	2	1.67115934530474e-08	1.67115968961332e-08	1.67115934530474e-08
YLR060W	P15624	FRS1	67.36425	sce00970  Aminoacyl-tRNA biosynthesis	2	3.0515884315022	tightly_const	2	1.67115934530474e-08	1.67115968961332e-08	1.67115934530474e-08
YHR019C	P38707	DED81	62.20612	sce00970  Aminoacyl-tRNA biosynthesis	2	2.93442675796347	tightly_const	2	7.31893582774592e-07	7.31893738904643e-07	7.31893582774592e-07
YPR145W	P49089	ASN1	64.46973	sce00250  Alanine, aspartate and glutamate metabolism sce01110  Biosynthesis of secondary metabolites sce01230  Biosynthesis of amino acids	2	2.93442675796347	opt_isoenz_tight	2	0	4.34894132251709e-06	4.34830924603261e-06
YDR353W	P29509	TRR1	34.23767	sce00450  Selenocompound metabolism	2	2.80216425402171	tightly_const	2	1.40212770924282e-07	1.40237586193757e-07	1.40212770924282e-07
YDR127W	P08566	ARO1	174.75305	sce00400  Phenylalanine, tyrosine and tryptophan biosynthesis sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01230  Biosynthesis of amino acids	2	2.70733343273592	tightly_const	2	1.13283003161023e-06	1.13285081101857e-06	1.13283003161023e-06
YBR249C	P32449	ARO4	39.74874	sce00400  Phenylalanine, tyrosine and tryptophan biosynthesis sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01230  Biosynthesis of amino acids	2	2.70733343273592	opt_isoenz_tight	2	0	1.46662586345572e-07	1.46659896175115e-07
YGL148W	P28777	ARO2	40.83793	sce00400  Phenylalanine, tyrosine and tryptophan biosynthesis sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01230  Biosynthesis of amino acids	2	2.70733343273592	tightly_const	2	2.05660863159828e-05	2.056646355802e-05	2.05660863159828e-05
YBR294W		SUL1	NaN		1	2.58297372528406		2	NaN	NaN	NaN
YLR092W		SUL2	NaN		1	2.58297372528406		2	NaN	NaN	NaN
YJR109C	P03965	CPA2	123.91392	sce00240  Pyrimidine metabolism sce00250  Alanine, aspartate and glutamate metabolism	2	2.4720406331192	tightly_const	2	5.79730608650739e-09	5.79766516109947e-09	5.79730608650739e-09
YOR303W	P07258	CPA1	45.36103	sce00240  Pyrimidine metabolism sce00250  Alanine, aspartate and glutamate metabolism	2	2.4720406331192	tightly_const	2	5.79730608650739e-09	5.79766516109947e-09	5.79730608650739e-09
