genes	enzymes	shortNames	MWs	actions	k_scores	OE	minUsage	maxUsage	pUsage	foldChange
YAR035W	P80235	YAT1	77.76483	2	1000	2	0	3.85306489202867e-08	3.83752399224024e-08	1.000001000001
YBL015W	P32316	ACH1	58.71137	1	1000	2	0	0.000515352828093939	6.72736422096e-12	1.000001000001
YBR252W	P33317	DUT1	15.30716	1	1000	2	0	4.28193390744804e-09	0	1.00000000458955
YDR300C	P32264	PRO1	47.16164	2	1000	2	0	2.91535384987944e-09	2.61186451865936e-09	1.000001000001
YER024W	P40017	YAT2	103.33286	1	1000	2	0	1.02333226901176e-07	0	1.00000012390348
YER073W	P40047	ALD5	56.69214	2	1000	2	0	6.53365402174539e-07	6.53144816930599e-07	1.000001000001
YER170W	P26364	ADK2	25.19373	1	1000	2	0	0.00120097795537861	4.17441764087998e-13	1.000001000001
YIL099W	P08019	SGA1	61.46231	2	1000	2	0	3.01742947912407e-08	2.15245636158611e-08	1.000001000001
YKL106W	Q01802	AAT1	51.79484	1	1000	2	0	7.37518779854052e-05	3.43882813839569e-07	1.00000100000085
YLR209C	Q05788	PNP1	33.7546	1	1000	2	1.74164700127793e-06	0.000898124831504294	1.74164975338571e-06	1.000001000001
YML042W	P32796	CAT2	77.24096	2	1000	2	0	3.88628809791547e-08	3.87061319604415e-08	1.000001000001
YMR170C	P47771	ALD2	55.18718	1	1000	2	0	7.39931753930435e-07	0	1.000001000001
YMR278W	Q03262	PRM15	71.06819	1	1000	2	0	0.00042660285438374	0	1.000001000001
YOR155C	Q99312	ISN1	51.32946	2	1000	2	5.51431615573299e-07	5.51469045895138e-07	5.51457136247251e-07	1.000001000001
YOR323C	P54885	PRO2	49.73991	2	1000	2	0	3.77916419181197e-10	3.38575190600052e-10	1.000001000001
YOR374W	P46367	ALD4	56.72295	1	1000	2	0	6.53365402174629e-07	0	1.000001000001
YJR069C	P47119	HAM1	22.09268	1	1000	2	0	0.00136955136398275	8.15824385982e-11	1.000001000001
YMR110C	Q04458	HFD1	59.97826	1	1000	2	0	0.000505084501169586	0	1.000001000001
YDR038C	Q12691	ENA5	120.29497	1	1000	2	0	4.44952638192191e-07	1.20970868431857e-08	1.00000048086544
YDR039C	Q01896	ENA2	120.31602	1	1000	2	0	4.44952638191385e-07	0	1.00000048086545
YDR040C	P13587	ENA1	120.35609	1	1000	2	0	4.44952638191462e-07	0	1.00000048086544
