genes	enzymes	shortNames	MWs	pathways	actions	k_scores
YBR006W	P38067	UGA2	54.18854	sce00250  Alanine, aspartate and glutamate metabolism sce00310  Lysine degradation sce00350  Tyrosine metabolism sce00650  Butanoate metabolism sce00760  Nicotinate and nicotinamide metabolism	1	1000
YBR084W	P09440	MIS1	106.21642	sce00670  One carbon pool by folate	1	1000
YDR300C	P32264	PRO1	47.16164	sce00330  Arginine and proline metabolism sce00332  Carbapenem biosynthesis sce01130  Biosynthesis of antibiotics sce01230  Biosynthesis of amino acids	1	1000
YER065C	P28240	ICL1	62.40816	sce00630  Glyoxylate and dicarboxylate metabolism sce01110  Biosynthesis of secondary metabolites sce01200  Carbon metabolism	1	1000
YFL030W	P43567	AGX1	41.90679	sce00250  Alanine, aspartate and glutamate metabolism sce00260  Glycine, serine and threonine metabolism sce00630  Glyoxylate and dicarboxylate metabolism sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism sce04146  Peroxisome	1	1000
YGR019W	P17649	UGA1	52.94565	sce00250  Alanine, aspartate and glutamate metabolism sce00280  Valine, leucine and isoleucine degradation sce00410  beta-Alanine metabolism sce00640  Propanoate metabolism sce00650  Butanoate metabolism	1	1000
YHL016C		DUR3	NaN		1	1000
YKL106W	Q01802	AAT1	51.79484	sce00220  Arginine biosynthesis sce00250  Alanine, aspartate and glutamate metabolism sce00270  Cysteine and methionine metabolism sce00330  Arginine and proline metabolism sce00350  Tyrosine metabolism sce00360  Phenylalanine metabolism sce00400  Phenylalanine, tyrosine and tryptophan biosynthesis sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism sce01210  2-Oxocarboxylic acid metabolism sce01230  Biosynthesis of amino acids	1	1000
YMR250W	Q04792	GAD1	65.98926	sce00250  Alanine, aspartate and glutamate metabolism sce00410  beta-Alanine metabolism sce00430  Taurine and hypotaurine metabolism sce00650  Butanoate metabolism sce01110  Biosynthesis of secondary metabolites	1	1000
YOR323C	P54885	PRO2	49.73991	sce00330  Arginine and proline metabolism sce00332  Carbapenem biosynthesis sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01230  Biosynthesis of amino acids	1	1000
YPL111W	P00812	CAR1	35.66162	sce00220  Arginine biosynthesis sce00330  Arginine and proline metabolism sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01230  Biosynthesis of amino acids	1	1000
YJR069C	P47119	HAM1	22.09268	sce00230  Purine metabolism	1	1000
YDR452W	Q04119	PPN1	78.34335	sce00NNN  None	1	1000
YJR051W	P21375	OSM1	55.06455	sce00NNN  None	1	128.852620368354
YJR095W		SFC1	NaN		1	128.850832644258
YOL058W	P22768	ARG1	46.92715	sce00220  Arginine biosynthesis sce00250  Alanine, aspartate and glutamate metabolism sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01230  Biosynthesis of amino acids	1	115.170138134251
YHR018C	P04076	ARG4	51.9886	sce00220  Arginine biosynthesis sce00250  Alanine, aspartate and glutamate metabolism sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01230  Biosynthesis of amino acids	1	115.170138134251
YJL088W	P05150	ARG3	37.84479	sce00220  Arginine biosynthesis sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01230  Biosynthesis of amino acids	1	115.170138134251
YJR109C	P03965	CPA2	123.91392	sce00240  Pyrimidine metabolism sce00250  Alanine, aspartate and glutamate metabolism	1	75.1562462306301
YOR303W	P07258	CPA1	45.36103	sce00240  Pyrimidine metabolism sce00250  Alanine, aspartate and glutamate metabolism	1	75.1562462306301
YLR174W	P41939	IDP2	46.56172	sce00020  Citrate cycle (TCA cycle) sce00480  Glutathione metabolism sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism sce01210  2-Oxocarboxylic acid metabolism sce01230  Biosynthesis of amino acids sce04146  Peroxisome	1	30.7054980309659
YKL085W	P17505	MDH1	35.64959	sce00020  Citrate cycle (TCA cycle) sce00270  Cysteine and methionine metabolism sce00620  Pyruvate metabolism sce00630  Glyoxylate and dicarboxylate metabolism sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism	1	29.0173372556594
YPR035W	P32288	GLN1	41.7656	sce00220  Arginine biosynthesis sce00250  Alanine, aspartate and glutamate metabolism sce00630  Glyoxylate and dicarboxylate metabolism sce00910  Nitrogen metabolism sce01230  Biosynthesis of amino acids	1	25.2225779179102
YNR001C	P00890	CIT1	53.35945	sce00020  Citrate cycle (TCA cycle) sce00630  Glyoxylate and dicarboxylate metabolism sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism sce01210  2-Oxocarboxylic acid metabolism sce01230  Biosynthesis of amino acids	1	11.1350450734007
YHR137W	P38840	ARO9	58.52706	sce00350  Tyrosine metabolism sce00360  Phenylalanine metabolism sce00400  Phenylalanine, tyrosine and tryptophan biosynthesis sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics	1	7.25824463861704
YDR384C		ATO3	NaN		1	7.06635099665835
YGR121C		MEP1	NaN		1	7.06635099665835
YNL142W		MEP2	NaN		1	7.06635099665835
YPR138C		MEP3	NaN		1	7.06635099665835
YML120C	P32340	NDI1	57.24915	sce00NNN  None	1	5.91451429082196
YNL036W	P53615	NCE103	24.85889	sce00910  Nitrogen metabolism	1	5.74400941314714
YBR221C	P32473	PDB1	40.0532	sce00010  Glycolysis / Gluconeogenesis sce00020  Citrate cycle (TCA cycle) sce00620  Pyruvate metabolism sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism	1	5.58345969454756
YER178W	P16387	PDA1	46.34261	sce00010  Glycolysis / Gluconeogenesis sce00020  Citrate cycle (TCA cycle) sce00620  Pyruvate metabolism sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism	1	5.58345969454756
YGR193C	P16451	PDX1	45.36125	sce00NNN  None	1	5.58345969454756
YNL071W	P12695	LAT1	51.81762	sce00010  Glycolysis / Gluconeogenesis sce00020  Citrate cycle (TCA cycle) sce00620  Pyruvate metabolism sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism	1	5.58345969454756
YGL080W		MPC1	NaN		1	3.89912376817375
YGR243W		MPC3	NaN		1	3.89912376817375
YHR162W		MPC2	NaN		1	3.89912376817375
YMR267W	P28239	PPA2	35.57213	sce00190  Oxidative phosphorylation	1	2.7458818098031
YAL038W	P00549	CDC19	54.54404	sce00010  Glycolysis / Gluconeogenesis sce00230  Purine metabolism sce00620  Pyruvate metabolism sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism sce01230  Biosynthesis of amino acids	1	2.47156367404337
YGR254W	P00924	ENO1	46.81564	sce00010  Glycolysis / Gluconeogenesis sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism sce01230  Biosynthesis of amino acids sce03018  RNA degradation	1	2.31363656957646
YOR283W	Q12040	YOR283W	26.17622	sce00NNN  None	1	2.31363656957646
YOR375C	P07262	GDH1	49.56931	sce00220  Arginine biosynthesis sce00250  Alanine, aspartate and glutamate metabolism sce00910  Nitrogen metabolism	1	2.1283763168462
Q0105	P00163	COB	43.65549	sce00190  Oxidative phosphorylation	1	1.84695793277849
Q0045	P00401	COX1	58.79755	sce00190  Oxidative phosphorylation	1	1.84695793277844
Q0250	P00410	COX2	28.5669	sce00190  Oxidative phosphorylation	1	1.84695793277844
Q0275	P00420	COX3	30.35941	sce00190  Oxidative phosphorylation	1	1.84695793277844
YBL045C	P07256	COR1	50.22724	sce00190  Oxidative phosphorylation	1	1.84695793277844
YDL067C	P07255	COX9	6.96313	sce00190  Oxidative phosphorylation	1	1.84695793277844
YDR529C	P00128	QCR7	14.56466	sce00190  Oxidative phosphorylation	1	1.84695793277844
YEL024W	P08067	RIP1	23.36479	sce00190  Oxidative phosphorylation	1	1.84695793277844
YFR033C	P00127	QCR6	17.25682	sce00190  Oxidative phosphorylation	1	1.84695793277844
YGL187C	P04037	COX4	17.1424	sce00190  Oxidative phosphorylation	1	1.84695793277844
YGL191W	P32799	COX13	15.02097	sce00190  Oxidative phosphorylation	1	1.84695793277844
YGR183C	P22289	QCR9	7.47622	sce00190  Oxidative phosphorylation	1	1.84695793277844
YHR001W-A	P37299	QCR10	8.59285	sce00190  Oxidative phosphorylation	1	1.84695793277844
YHR051W	P00427	COX6	17.34139	sce00190  Oxidative phosphorylation	1	1.84695793277844
YIL111W	P00425	COX5B	17.1965	sce00190  Oxidative phosphorylation	1	1.84695793277844
YJL166W	P08525	QCR8	10.97437	sce00190  Oxidative phosphorylation	1	1.84695793277844
