genes	enzymes	shortNames	MWs	pathways	actions	k_scores	enz_pos	unique	conectivity	groups	EV_type	OE	minUsage	maxUsage	pUsage	minUsageBio	maxUsageBio	pUsageBio	EUV_comparison	priority
YBR248C	P33734	HIS7	61.06729	sce00340  Histidine metabolism sce01110  Biosynthesis of secondary metabolites sce01230  Biosynthesis of amino acids	OE	76.849099951333	7461	1	6	0	essential_tightly_const	2	8.18355766949748e-07	8.18355774394445e-07	8.18355766949748e-07	2.25478911873438e-08	2.25494622190397e-08	2.25478911873438e-08	up_distinct	1
YCL030C	P00815	HIS4	87.72027	sce00340  Histidine metabolism sce01110  Biosynthesis of secondary metabolites sce01230  Biosynthesis of amino acids	OE	76.849099951333	7087	1	10	0	essential_tightly_const	2	3.30565275796449e-06	3.30565278805576e-06	3.30565275796449e-06	9.10795789556687e-08	9.10859292502182e-08	9.10795789556687e-08	up_distinct	1
YER055C	P00498	HIS1	32.26611	sce00340  Histidine metabolism sce01110  Biosynthesis of secondary metabolites sce01230  Biosynthesis of amino acids	OE	76.849099951333	7080	1	4	0	essential_tightly_const	2	4.18272622608188e-05	4.18272626415714e-05	4.18272622608188e-05	1.15245299930702e-06	1.15253335119364e-06	1.15245299930702e-06	up_distinct	1
YFR025C	P38635	HIS2	38.58138	sce00340  Histidine metabolism sce01110  Biosynthesis of secondary metabolites sce01230  Biosynthesis of amino acids	OE	76.849099951333	7550	1	4	0	essential_tightly_const	2	5.27726608726691e-08	5.27726613530571e-08	5.27726608726691e-08	1.45402801945014e-09	1.45410902585438e-09	1.45402801945014e-09	up_distinct	1
YIL020C	P40545	HIS6	29.55623	sce00340  Histidine metabolism sce01110  Biosynthesis of secondary metabolites sce01230  Biosynthesis of amino acids	OE	76.849099951333	7642	1	5	0	essential_tightly_const	2	3.52916534336538e-06	3.52916537549128e-06	3.52916534336538e-06	9.72379487725098e-08	9.72447284439363e-08	9.72379487725098e-08	up_distinct	1
YIL116W	P07172	HIS5	42.64564	sce00340  Histidine metabolism sce00350  Tyrosine metabolism sce00360  Phenylalanine metabolism sce00400  Phenylalanine, tyrosine and tryptophan biosynthesis sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01230  Biosynthesis of amino acids	OE	76.849099951333	7142	1	4	0	essential_tightly_const	2	3.64300610799298e-08	3.64300614115516e-08	3.64300610799298e-08	1.00374566460285e-09	1.00381560091065e-09	1.00374566460285e-09	up_distinct	1
YOR202W	P06633	HIS3	23.83295	sce00340  Histidine metabolism sce01110  Biosynthesis of secondary metabolites sce01230  Biosynthesis of amino acids	OE	76.849099951333	7133	1	3	0	essential_tightly_const	2	1.12933323512463e-07	1.12933324540492e-07	1.12933323512463e-07	3.11161525686479e-09	3.11183220641197e-09	3.11161525686479e-09	up_distinct	1
YNL220W	P80210	ADE12	48.27868	sce00230  Purine metabolism sce00250  Alanine, aspartate and glutamate metabolism	OE	48.7031459764023	7822	1	7	0	essential_tightly_const	2	2.06363420663075e-05	2.06366972822096e-05	2.06363420663076e-05	7.76353014538949e-07	7.77041336406272e-07	7.76353014538723e-07	up_distinct	1
YER099C	P38620	PRS2	34.76468	sce00030  Pentose phosphate pathway sce00230  Purine metabolism sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism sce01230  Biosynthesis of amino acids	OE	20.0028660501004	7544	1	6	0	production_opt_tight	2	0	0.000175371684691416	0.000175369079779952	0	1.3425983950371e-05	1.34209362666504e-05	up_subset	2
YKL181W	P32895	PRS1	47.04715	sce00030  Pentose phosphate pathway sce00230  Purine metabolism sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism sce01230  Biosynthesis of amino acids	OE	20.0028660501004	7447	1	6	0	production_opt_tight	2	0	0.000175371684691408	0.000175369079779952	0	1.34259839503664e-05	1.34209362666504e-05	up_subset	2
