genes	enzymes	shortNames	MWs	pathways	actions	k_scores	EV_type	OE	minUsage	maxUsage	pUsage	unique	conectivity	groups	priority	foldChange_yield	foldChange_pRate	FCC
YOR095C	Q12189	RKI1	28.25777	sce00030  Pentose phosphate pathway sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism sce01230  Biosynthesis of amino acids	OE	3.60231192014028	essential	2	5.85030725475622e-06	0.0030414188570149	5.85096371228346e-06	1	2	0	1	1.04147421058472	1.04655276385187	0.0102488751257873
YER141W	P40086	COX15	54.65792	sce00190  Oxidative phosphorylation sce00860  Porphyrin and chlorophyll metabolism sce01110  Biosynthesis of secondary metabolites	KD	0.29106	unusable	0	0	4.59758047896e-13	4.59758047896e-13	1	7	0	1	1.00000001096676	1.0000000122499	0
YHR163W	P38858	SOL3	27.78417	sce00030  Pentose phosphate pathway sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism	OE	6.66484106586048	opt_isoenz_tight	2	0	1.57080780987143e-05	1.57077584808265e-05	1	5	0	2	1.10973557463304	1.1241693498283	0.0284848272001817
YHR183W	P38720	GND1	53.54274	sce00030  Pentose phosphate pathway sce00480  Glutathione metabolism sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism	OE	6.66484106586048	opt_isoenz_tight	2	0	4.3154039582502e-06	4.3153161511852e-06	1	6	0	2	1.05672717719241	1.06378786418481	0.0151275101802459
YGL062W	P11154	PYC1	130.09827	sce00020  Citrate cycle (TCA cycle) sce00620  Pyruvate metabolism sce01200  Carbon metabolism sce01230  Biosynthesis of amino acids	OE	5.23136544448061	opt_isoenz_tight	2	0	4.94175443247751e-06	4.94120869936501e-06	1	8	0	2	1.12737001987448	1.14442516304224	0.18984298738599
YAL038W	P00549	CDC19	54.54404	sce00010  Glycolysis / Gluconeogenesis sce00230  Purine metabolism sce00620  Pyruvate metabolism sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism sce01230  Biosynthesis of amino acids	OE	2.04313629555149	opt_isoenz_tight	2	0	1.56275309750472e-06	1.56273404390116e-06	1	6	0	2	0.97659041540023	1.12250430382906	0.0395495124391942
YOR375C	P07262	GDH1	49.56931	sce00220  Arginine biosynthesis sce00250  Alanine, aspartate and glutamate metabolism sce00910  Nitrogen metabolism	OE	1.24294838024157	opt_isoenz_tight	2	0	7.4096383506509e-06	7.40945764094556e-06	1	8	0	2	1.06187991944286	1.06962421142935	0.0187706429735847
YBL039C	P28274	URA7	64.70953	sce00240  Pyrimidine metabolism	KD	0.274310981772126	subOpt_isoenz	0	0	4.15318127698696e-08	0	0	12	5	2	1.00000000000005	1.00000000000004	0
YER070W	P21524	RNR1	99.56021	sce00230  Purine metabolism sce00240  Pyrimidine metabolism sce00480  Glutathione metabolism	KD	0.132300000000002	subOpt_isoenz	0	0	4.87269570347586e-07	0	0	24	7	2	1.00000000000003	1	0
YIL066C	P21672	RNR3	97.51369	sce00230  Purine metabolism sce00240  Pyrimidine metabolism sce00480  Glutathione metabolism	KD	0.132300000000002	subOpt_isoenz	0	0	4.87269570346378e-07	0	0	24	7	2	1.00000000000002	1	0
YJL026W	P09938	RNR2	46.14681	sce00230  Purine metabolism sce00240  Pyrimidine metabolism sce00480  Glutathione metabolism	KD	0.132300000000002	subOpt_isoenz	0	0	4.87269570347871e-07	0	0	24	7	2	1.00000000000005	1.00000000000003	0
YOR317W	P30624	FAA1	77.86529	sce00061  Fatty acid biosynthesis sce00071  Fatty acid degradation sce01212  Fatty acid metabolism sce04146  Peroxisome	KD	0.1323	subOpt_isoenz	0	0	0.00110180458961512	0	1	52	0	2	1.00000000000003	1.00000000000002	0
YER081W	P40054	SER3	51.1927	sce00260  Glycine, serine and threonine metabolism sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism sce01230  Biosynthesis of amino acids	KD	0.0942871621097083	subOpt_isoenz	0	0	2.23763018106015e-07	0	0	6	8	2	1.00000000000026	1.00000000000027	0
YCL040W	P17709	GLK1	55.37689	sce00010  Glycolysis / Gluconeogenesis sce00051  Fructose and mannose metabolism sce00052  Galactose metabolism sce00500  Starch and sucrose metabolism sce00520  Amino sugar and nucleotide sugar metabolism sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism	KO	0	subOpt_isoenz	0	0	3.22458710362325e-11	0	1	6	0	2	1.0000000000002	1.0000000000002	0
YGR202C	P13259	PCT1	49.40551	sce00440  Phosphonate and phosphinate metabolism sce00564  Glycerophospholipid metabolism	KO	0	subOpt_isoenz	0	0	3.31657365963884e-11	0	1	5	0	2	1.00000000000027	1.00000000000029	0
YLR133W	P20485	CKI1	66.31602	sce00564  Glycerophospholipid metabolism	KO	0	subOpt_isoenz	0	0	4.33373528407138e-10	0	1	8	0	2	1.00000000000003	1.00000000000002	0
YML059C	Q04958	NTE1	187.13107	sce00564  Glycerophospholipid metabolism	KO	0	subOpt_isoenz	0	0	1.66572785422074e-12	0	1	19	0	2	1.00000000000005	1.00000000000004	0
YNR008W	P40345	LRO1	75.39242	sce00561  Glycerolipid metabolism	KO	-0	subOpt_isoenz	0	0	0.00113776017711854	0	1	48	0	2	1.00000000000002	1	0
