genes	enzymes	shortNames	MWs	actions	k_scores	OE	minUsage	maxUsage	pUsage
YBR208C	P32528	DUR1,2	201.82994	2	1000	2	1.87001838460391e-07	1.87068545460743e-07	1.87042164919645e-07
YCR105W	P25377	ADH7	39.34808	2	1000	2	2.78809653669435e-05	2.7881190938087e-05	2.78809653669435e-05
YDR148C	P19262	KGD2	50.43011	2	1000	2	1.15502766583102e-06	2.09406430163077e-06	1.15782065784856e-06
YEL047C	P32614	FRD1	50.84351	1	1000	2	5.60412493928232e-07	4.57865462641372e-06	5.60436169711178e-07
YER086W	P00927	ILV1	63.83052	2	1000	2	5.84069803096975e-07	7.86073682566277e-07	7.86025973775325e-07
YGR244C	P53312	LSC2	46.90018	1	1000	2	7.99926257368055e-08	2.57359361095896e-06	8.00679811592035e-08
YGR248W	P53315	SOL4	28.44737	1	1000	2	0	1.96037782993757e-05	0
YGR256W	P53319	GND2	53.92235	1	1000	2	0	5.3854770925538e-06	0
YHR037W	P07275	PUT2	64.43444	2	1000	2	5.75315480315433e-06	8.92448244319514e-06	5.75381134236809e-06
YHR163W	P38858	SOL3	27.78417	2	1000	2	0	1.96040449022271e-05	1.96004910740001e-05
YHR183W	P38720	GND1	53.54274	2	1000	2	0	5.38569953079388e-06	5.38474765868333e-06
YIL125W	P20967	KGD1	114.41496	2	1000	2	1.15502766583102e-06	2.09406430163077e-06	1.15782065784856e-06
YKL106W	Q01802	AAT1	51.79484	1	1000	2	0	7.21686216324663e-07	2.28594743237183e-08
YLR142W	P09368	PUT1	53.27087	2	1000	2	2.57603459021935e-07	2.57645079116903e-07	2.57633478172863e-07
YLR438W	P07991	CAR2	46.08557	2	1000	2	4.44745143489211e-08	4.45186271790331e-08	4.44848807586346e-08
YNL241C	P11412	ZWF1	57.5209	2	1000	2	3.0973107456722e-07	3.09790171940002e-07	3.09741922138885e-07
YOR142W	P53598	LSC1	35.03207	1	1000	2	7.99926257368055e-08	2.57359361095896e-06	8.00679811592035e-08
YPL111W	P00812	CAR1	35.66162	2	1000	2	1.60360661014401e-05	1.60421305310877e-05	1.6039339232734e-05
YOR161C		PNS1	NaN	1	1000	2	NaN	NaN	NaN
cimA	A0FDH8	cimA	47.186	2	1000	2	2.87808409277724e-08	2.93190326048356e-08	2.92594397886053e-08
LEU1m	P07264ly	LEU1m	85.794	2	1000	2	1.25629445720351e-05	1.25640699629112e-05	1.25639377974915e-05
LEU2m	P04173ly	LEU2m	38.953	2	1000	2	2.56472530460501e-05	2.56485911298333e-05	2.56485158447944e-05
LEU4m	P06208ly	LEU4m	68.409	2	1000	2	8.40634356799693e-06	8.40634356799695e-06	8.40634356799693e-06
YCR053W	P16120	THR4	57.47349	2	100.252999569842	2	5.4286627114811e-08	5.42920114940884e-08	5.42874633235733e-08
YDR158W	P13663	HOM2	39.54334	2	100.252999569842	2	1.16696640875542e-06	1.1670473893883e-06	1.16698095844985e-06
YER052C	P10869	HOM3	58.10913	2	100.252999569842	2	9.75727482724928e-07	9.75819924685823e-07	9.75738747443163e-07
YHR025W	P17423	THR1	38.71215	2	100.252999569842	2	5.42854050227328e-06	5.42921956888318e-06	5.42874633235733e-06
YJR139C	P31116	HOM6	38.50163	2	100.252999569842	2	9.80908092240756e-06	9.81003390833738e-06	9.80921679279152e-06
YCL040W	P17709	GLK1	55.37689	1	24.7100101492922	2	0	5.14454065029447e-07	0
YGL253W	P04807	HXK2	53.9419	1	24.7100101492922	2	0	1.11250837712756e-06	0
YLR446W	Q06204	YLR446W	48.96875	1	24.7100101492922	2	0	4.17739781014241e-06	0
YFR053C	P04806	HXK1	53.73784	1	24.7100101492922	2	0	5.14454062560491e-07	2.20654740804598e-09
YOR303W	P07258	CPA1	45.36103	2	17.3917030104177	2	2.66006251640575e-08	2.6603029254544e-08	2.66016987774693e-08
YJR109C	P03965	CPA2	123.91392	2	17.3917030103985	2	2.66006251640575e-08	2.6603029254544e-08	2.66016987774693e-08
YOR095C	Q12189	RKI1	28.25777	1	16.0587359825379	2	6.88873432354996e-06	1.4118813328102e-05	6.88896437500147e-06
YLR027C	P23542	AAT2	46.05711	1	12.5306327613277	2	0	4.78734087882159e-06	3.515708784116e-07
YBR296C		PHO89	NaN	1	9.02855400549639	2	NaN	NaN	NaN
YCR037C		PHO87	NaN	1	9.02855400549639	2	NaN	NaN	NaN
YJL198W		PHO90	NaN	1	9.02855400549639	2	NaN	NaN	NaN
YML123C		PHO84	NaN	1	9.02855400549639	2	NaN	NaN	NaN
