genes	enzymes	shortNames	MWs	pathways	actions	k_scores	EV_type	OE	minUsage	maxUsage	pUsage	unique	conectivity	groups	priority
YLR209C	Q05788	PNP1	33.7546	sce00230  Purine metabolism sce00240  Pyrimidine metabolism sce00760  Nicotinate and nicotinamide metabolism sce01110  Biosynthesis of secondary metabolites	1	1000	essential	2	2.30558846326896e-06	0.000633614781613623	2.30558846326896e-06	1	13	0	1
YMR217W	P38625	GUA1	58.48154	sce00230  Purine metabolism	2	156.6350046145	tightly_const	2	0.000317659907686575	0.0003176614892357	0.000317659907686575	1	9	0	1
YGL234W	P07244	ADE5,7	86.06721	sce00230  Purine metabolism sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics	2	78.3027158346925	tightly_const	2	3.91886070284678e-05	3.91886485806425e-05	3.91886070284678e-05	1	9	0	1
YAR015W	P27616	ADE1	34.60299	sce00230  Purine metabolism sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics	2	78.3027158346925	tightly_const	2	1.77163710471431e-06	1.77163898320348e-06	1.7716371047143e-06	1	7	0	1
YDR408C	P04161	ADE8	23.53994	sce00230  Purine metabolism sce00670  One carbon pool by folate sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics	2	78.3027158346925	tightly_const	2	1.82880166132849e-05	1.82880360042998e-05	1.8288016613285e-05	1	5	0	1
YMR300C	P04046	ADE4	56.71874	sce00230  Purine metabolism sce00250  Alanine, aspartate and glutamate metabolism sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics	2	78.3027158346925	tightly_const	2	2.46632200934746e-06	2.46632462441981e-06	2.46632200934746e-06	1	6	0	1
YOR128C	P21264	ADE2	62.33875	sce00230  Purine metabolism sce01110  Biosynthesis of secondary metabolites	2	78.3027158346925	tightly_const	2	3.42900434943328e-06	3.42900798524986e-06	3.42900434943329e-06	1	8	0	1
YGR061C	P38972	ADE6	148.90358	sce00230  Purine metabolism sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics	2	78.3027158346924	tightly_const	2	2.70667781156817e-05	2.70668068149282e-05	2.70667781156818e-05	1	9	0	1
YPR035W	P32288	GLN1	41.7656	sce00220  Arginine biosynthesis sce00250  Alanine, aspartate and glutamate metabolism sce00630  Glyoxylate and dicarboxylate metabolism sce00910  Nitrogen metabolism sce01230  Biosynthesis of amino acids	2	24.6051349469421	tightly_const	2	7.9501653073072e-06	7.95027015627126e-06	7.95016530730721e-06	1	7	0	1
YKL085W	P17505	MDH1	35.64959	sce00020  Citrate cycle (TCA cycle) sce00270  Cysteine and methionine metabolism sce00620  Pyruvate metabolism sce00630  Glyoxylate and dicarboxylate metabolism sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism	1	8.49440634884574	essential	2	7.86037517354996e-08	0.000598467151485968	7.15833825699242e-07	1	5	0	1
YLR058C	P37291	SHM2	52.21793	sce00260  Glycine, serine and threonine metabolism sce00630  Glyoxylate and dicarboxylate metabolism sce00670  One carbon pool by folate sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism sce01230  Biosynthesis of amino acids	1	1.63559089888421	essential	2	4.12200841971244e-05	0.000449310051947996	4.12202291893404e-05	1	5	0	1
Q0045	P00401	COX1	58.79755	sce00190  Oxidative phosphorylation	1	1.60068192184645	essential	2	5.09157771590184e-06	8.66595123406933e-05	5.09158223598331e-06	0	7	6	1
Q0250	P00410	COX2	28.5669	sce00190  Oxidative phosphorylation	1	1.60068192184645	essential	2	5.09157771590184e-06	8.66595123406933e-05	5.09158223598331e-06	0	7	6	1
Q0275	P00420	COX3	30.35941	sce00190  Oxidative phosphorylation	1	1.60068192184645	essential	2	5.09157771590184e-06	8.66595123406933e-05	5.09158223598331e-06	0	7	6	1
YBL045C	P07256	COR1	50.22724	sce00190  Oxidative phosphorylation	2	1.60068192184645	tightly_const	2	1.60500151382255e-05	1.6050037599392e-05	1.60500293867316e-05	0	6	7	1
YDL067C	P07255	COX9	6.96313	sce00190  Oxidative phosphorylation	1	1.60068192184645	essential	2	5.09157771590184e-06	8.66595123406933e-05	5.09158223598331e-06	0	7	6	1
YDR529C	P00128	QCR7	14.56466	sce00190  Oxidative phosphorylation	2	1.60068192184645	tightly_const	2	1.60500151382255e-05	1.6050037599392e-05	1.60500293867316e-05	0	6	7	1
YEL024W	P08067	RIP1	23.36479	sce00190  Oxidative phosphorylation	2	1.60068192184645	tightly_const	2	1.60500151382255e-05	1.6050037599392e-05	1.60500293867316e-05	0	6	7	1
YFR033C	P00127	QCR6	17.25682	sce00190  Oxidative phosphorylation	2	1.60068192184645	tightly_const	2	1.60500151382255e-05	1.6050037599392e-05	1.60500293867316e-05	0	6	7	1
YGL187C	P04037	COX4	17.1424	sce00190  Oxidative phosphorylation	2	1.60068192184645	essential	2	3.65538113740655e-06	5.09158483874582e-06	5.09158223598331e-06	0	7	8	1
YGL191W	P32799	COX13	15.02097	sce00190  Oxidative phosphorylation	2	1.60068192184645	essential	2	3.65538113740655e-06	5.09158483874582e-06	5.09158223598331e-06	0	7	8	1
YGR183C	P22289	QCR9	7.47622	sce00190  Oxidative phosphorylation	2	1.60068192184645	tightly_const	2	1.60500151382255e-05	1.6050037599392e-05	1.60500293867316e-05	0	6	7	1
YHR001W-A	P37299	QCR10	8.59285	sce00190  Oxidative phosphorylation	2	1.60068192184645	tightly_const	2	1.60500151382255e-05	1.6050037599392e-05	1.60500293867316e-05	0	6	7	1
YHR051W	P00427	COX6	17.34139	sce00190  Oxidative phosphorylation	2	1.60068192184645	essential	2	3.65538113740655e-06	5.09158483874582e-06	5.09158223598331e-06	0	7	8	1
YIL111W	P00425	COX5B	17.1965	sce00190  Oxidative phosphorylation	2	1.60068192184645	essential	2	3.65538113740655e-06	5.09158483874582e-06	5.09158223598331e-06	0	7	8	1
YJL166W	P08525	QCR8	10.97437	sce00190  Oxidative phosphorylation	2	1.60068192184645	tightly_const	2	1.60500151382255e-05	1.6050037599392e-05	1.60500293867316e-05	0	6	7	1
YLR038C	Q01519	COX12	9.78778	sce00190  Oxidative phosphorylation	2	1.60068192184645	essential	2	3.65538113740655e-06	5.09158483874582e-06	5.09158223598331e-06	0	7	8	1
YLR395C	P04039	COX8	8.90656	sce00190  Oxidative phosphorylation	2	1.60068192184645	essential	2	7.31132079015241e-06	1.01831569658492e-05	1.01831517603306e-05	0	7	8	1
YMR256C	P10174	COX7	6.9323	sce00190  Oxidative phosphorylation	2	1.60068192184645	essential	2	3.65538113740655e-06	5.09158483874582e-06	5.09158223598331e-06	0	7	8	1
YOR065W	P07143	CYT1	34.05423	sce00190  Oxidative phosphorylation	2	1.60068192184645	tightly_const	2	1.60500151382255e-05	1.6050037599392e-05	1.60500293867316e-05	0	6	7	1
YPR191W	P07257	QCR2	40.47764	sce00190  Oxidative phosphorylation	2	1.60068192184645	tightly_const	2	1.60500151382255e-05	1.6050037599392e-05	1.60500293867316e-05	0	6	7	1
Q0105	P00163	COB	43.65549	sce00190  Oxidative phosphorylation	2	1.60068192139136	tightly_const	2	1.60500151382255e-05	1.6050037599392e-05	1.60500293867316e-05	0	6	7	1
YBL099W	P07251	ATP1	58.60746	sce00190  Oxidative phosphorylation	1	1.53905807542511	essential	2	6.11446175025536e-06	5.96164923791359e-05	6.11446525567119e-06	0	7	10	1
YJR121W	P00830	ATP2	54.7932	sce00190  Oxidative phosphorylation	1	1.53905807542511	essential	2	6.11446175025536e-06	5.96164923791359e-05	6.11446525567119e-06	0	7	10	1
Q0080	P00856	ATP8	5.82221	sce00190  Oxidative phosphorylation	2	1.53905807542511	tightly_const	2	1.9871951326301e-05	1.9872135510444e-05	1.98719627188733e-05	0	7	10	1
Q0085	P00854	ATP6	29.09876	sce00190  Oxidative phosphorylation	2	1.53905807542511	tightly_const	2	1.9871951326301e-05	1.9872135510444e-05	1.98719627188733e-05	0	7	10	1
Q0130	P61829	OLI1	7.75937	sce00190  Oxidative phosphorylation	2	1.53905807542511	tightly_const	2	0.000198719513263002	0.000198721355104443	0.000198719627188733	0	7	10	1
YBR039W	P38077	ATP3	34.35021	sce00190  Oxidative phosphorylation	2	1.53905807542511	tightly_const	2	1.9871951326301e-05	1.9872135510444e-05	1.98719627188733e-05	0	7	10	1
YDL004W	Q12165	ATP16	17.02022	sce00190  Oxidative phosphorylation	2	1.53905807542511	tightly_const	2	1.9871951326301e-05	1.9872135510444e-05	1.98719627188733e-05	0	7	10	1
YDR298C	P09457	ATP5	22.81414	sce00190  Oxidative phosphorylation	2	1.53905807542511	tightly_const	2	1.9871951326301e-05	1.9872135510444e-05	1.98719627188733e-05	0	7	10	1
YDR322C-A	P81449	TIM11	10.87534	sce00190  Oxidative phosphorylation	2	1.53905807542511	tightly_const	2	1.9871951326301e-05	1.9872135510444e-05	1.98719627188733e-05	0	7	10	1
YDR377W	Q06405	ATP17	11.312	sce00190  Oxidative phosphorylation	2	1.53905807542511	tightly_const	2	1.9871951326301e-05	1.9872135510444e-05	1.98719627188733e-05	0	7	10	1
YKL016C	P30902	ATP7	19.80938	sce00190  Oxidative phosphorylation	2	1.53905807542511	tightly_const	2	1.9871951326301e-05	1.9872135510444e-05	1.98719627188733e-05	0	7	10	1
YML081C-A	P81450	ATP18	6.68769	sce00190  Oxidative phosphorylation	2	1.53905807542511	tightly_const	2	1.9871951326301e-05	1.9872135510444e-05	1.98719627188733e-05	0	7	10	1
YPL078C	P05626	ATP4	26.92481	sce00190  Oxidative phosphorylation	2	1.53905807542511	tightly_const	2	1.9871951326301e-05	1.9872135510444e-05	1.98719627188733e-05	0	7	10	1
YPL271W	P21306	ATP15	6.7425	sce00190  Oxidative phosphorylation	2	1.53905807542511	tightly_const	2	1.9871951326301e-05	1.9872135510444e-05	1.98719627188733e-05	0	7	10	1
YPR020W	Q12233	ATP20	12.92094	sce00190  Oxidative phosphorylation	2	1.53905807542511	tightly_const	2	1.9871951326301e-05	1.9872135510444e-05	1.98719627188733e-05	0	7	10	1
YOL077W-A	P81451	ATP19	7.53367	sce00190  Oxidative phosphorylation	2	1.53905807542511	tightly_const	2	1.9871951326301e-05	1.9872135510444e-05	1.98719627188733e-05	1	4	0	1
YLR295C	Q12349	ATP14	14.12765	sce00190  Oxidative phosphorylation	2	1.539058075425	tightly_const	2	1.9871951326301e-05	1.9872135510444e-05	1.98719627188733e-05	0	7	10	1
