genes	enzymes	shortNames	MWs	actions	k_scores	OE	minUsage	maxUsage	pUsage	foldChange	unique	conectivity	groups	priority
YDR300C	P32264	PRO1	47.16164	2	1000	2	1.0887473273444e-07	1.09300608767387e-07	1.0902612724658e-07	1.0000275400895	1	4	0	1
YOR323C	P54885	PRO2	49.73991	2	1000	2	1.41134019165317e-08	1.41681965526963e-08	1.41330231905917e-08	1.00000463669486	1	6	0	1
CHI1	Q8VZW3	CHI1	23.332	2	1000	2	0.00273914973057172	0.00273914973057172	0.00273914973057172	1.49199939342764	1	3	0	1
CHS3	P13114	CHS3	43.116	2	1000	2	0.000760874925158811	0.000760874925158812	0.000760874925158811	1.20376121544233	1	6	0	1
4CL3	Q9S777	4CL3	61.311	2	1000	2	9.05803482331918e-07	9.05803482331919e-07	9.05803482331918e-07	1.00028764146675	1	6	0	1
TAL	A0A1M4NET9	TAL	55.539	2	1000	2	2.74237879998532e-08	2.74684088504986e-08	2.74684088504986e-08	1.00000888112456	1	3	0	1
YLR044C	P06169	PDC1	61.49468	2	16.0049505369005	2	3.04850180894621e-06	3.1078810334808e-06	3.04891349253625e-06	1.00099473383802	1	17	0	1
YOR283W	Q12040	YOR283W	26.17622	2	2.26675466897824	2	6.12064484318732e-07	6.22924730856466e-07	6.18010973090368e-07	1.00008463795672	1	4	0	1
YMR205C	P16862	PFK2	104.61673	2	1.21102375874217	2	7.2813223926307e-07	7.31628609744276e-07	7.28560196572507e-07	1.00039576123986	1	9	0	1
YHR123W	P22140	EPT1	44.55926	0	0	0	0	1.62999906439948e-09	0	1.0000017598308	1	36	0	1
YLR438W	P07991	CAR2	46.08557	0	0	0	0	1.77192646799582e-11	0	1.00000101873877	1	4	0	1
YMR246W	P47912	FAA4	77.26612	0	0	0	0	1.34633788078969e-09	0	1.00000208302628	1	48	0	1
YOR317W	P30624	FAA1	77.86529	0	0	0	0	1.32256618454578e-09	0	1.00000206350203	1	52	0	1
YOR388C	Q08911	FDH1	41.7138	0	0	0	0	1.72777016611807e-09	0	1.00000175327343	1	4	0	1
YOL086C	P00330	ADH1	36.84874	2	1000	2	4.26666046557162e-07	4.35029962943673e-07	4.32727141684606e-07	1.00008365318697	0	21	1	2
YAL038W	P00549	CDC19	54.54404	2	2.42442919588724	2	2.04880187818056e-06	2.19978467870001e-06	2.19505397819128e-06	1.00061995298656	0	6	2	2
YGR254W	P00924	ENO1	46.81564	2	2.26675466897824	2	2.04533678235675e-06	2.24461530766871e-06	2.23827362986571e-06	1.00054270408579	0	5	3	2
YLR354C	P15019	TAL1	37.0359	2	1.23587028835601	2	3.4362007536289e-06	3.4656747658888e-06	3.43640510062942e-06	1.00066267109537	0	6	4	2
YGL080W		MPC1	NaN	0	0.137334721856326	0	0	0	0	1.00000100953022	0	4	5	2
YGR243W		MPC3	NaN	0	0.137334721856326	0	0	0	0	1.00000100953022	0	4	5	2
YHR162W		MPC2	NaN	0	0.137334721856326	0	0	0	0	1.00000100953022	0	4	5	2
YLL052C		AQY2	NaN	0	0.129728607270606	0	0	0	0	1.00000100953022	0	2	7	2
YPR192W		AQY1	NaN	0	0.129728607270606	0	0	0	0	1.00000100953022	0	2	7	2
YOR222W		ODC2	NaN	0	0.119089441898447	0	0	0	0	1.00000100953022	0	6	8	2
YPL134C		ODC1	NaN	0	0.119089441898447	0	0	0	0	1.00000100953022	0	6	8	2
YER053C		PIC2	NaN	0	0.0164303715101631	0	0	0	0	1.00000100953022	0	4	11	2
YJR077C		MIR1	NaN	0	0.0164303715101631	0	0	0	0	1.00000100953022	0	4	11	2
YDR148C	P19262	KGD2	50.43011	0	0	0	0	4.23312119882998e-10	0	1.00000123060852	0	11	13	2
YER070W	P21524	RNR1	99.56021	0	0	0	0	9.87255860953833e-10	0	1.00000201431591	0	24	14	2
YGR180C	P49723	RNR4	40.05407	0	0	0	0	2.51086138654059e-09	0	1.00000203783209	0	24	14	2
YIL066C	P21672	RNR3	97.51369	0	0	0	0	1.0090718452398e-09	0	1.00000201541925	0	24	14	2
YIL125W	P20967	KGD1	114.41496	0	0	0	0	4.23312119882998e-10	0	1.0000015101171	0	11	13	2
YJL026W	P09938	RNR2	46.14681	0	0	0	0	2.18940581544324e-09	0	1.00000204261904	0	24	14	2
YBL039C	P28274	URA7	64.70953	0	0.133931198022575	0	0	1.92908536779289e-08	0	1.00001389212447	0	12	6	3
YAL062W	P39708	GDH3	49.62653	0	0.0515092257297919	0	0	7.1111038592236e-07	0	1.00036517417842	0	8	9	3
YMR145C	P40215	NDE1	62.77345	0	0.0358116262785462	0	0	8.7831372275599e-08	0	1.0000578961603	0	6	10	3
YER081W	P40054	SER3	51.1927	0	0.0145955061140695	0	0	1.54836595029226e-08	0	1.00000919004119	0	6	12	3
