genes	enzymes	shortNames	MWs	pathways	actions	k_scores	enz_pos	unique	conectivity	groups	EV_type	OE	minUsage	maxUsage	pUsage	minUsageBio	maxUsageBio	pUsageBio	EUV_comparison	priority
YAR035W	P80235	YAT1	77.76483	sce04146  Peroxisome	OE	1000	7823	1	5	0	unnecessary_prod	2	0	2.0086219568095e-10	0	0	1.7851897240304e-11	0	up_subset	2
YBL015W	P32316	ACH1	58.71137	sce00620  Pyruvate metabolism	OE	1000	7393	1	7	0	production_opt	2	0	0.00124398908447982	1.2969475940736e-11	0	0.00121783710380772	0	up_subset	2
YDR300C	P32264	PRO1	47.16164	sce00330  Arginine and proline metabolism sce00332  Carbapenem biosynthesis sce01130  Biosynthesis of antibiotics sce01230  Biosynthesis of amino acids	OE	1000	7391	1	4	0	production_opt_tight	2	0	2.10489516509892e-07	2.10188074822914e-07	0	3.61678958305989e-09	2.88999420452417e-09	up_subset	2
YEL046C	P37303	GLY1	42.81463	sce00260  Glycine, serine and threonine metabolism sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01230  Biosynthesis of amino acids	OE	1000	7505	1	4	0	essential_tightly_const	2	4.35312124731151e-07	4.35354890659258e-07	4.35312124731204e-07	0	6.04930484722003e-11	0	up_distinct	1
YER170W	P26364	ADK2	25.19373	sce00230  Purine metabolism sce00730  Thiamine metabolism sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics	OE	1000	7344	1	5	0	production_opt	2	0	0.00289899220810573	8.04772974701327e-13	0	0.00283804768271101	0	up_subset	2
YML042W	P32796	CAT2	77.24096	sce04146  Peroxisome	OE	1000	7440	1	8	0	unnecessary_prod	2	0	2.02594137290439e-10	0	0	1.80058259650597e-11	0	up_subset	2
YNL037C	P28834	IDH1	39.32357	sce00020  Citrate cycle (TCA cycle) sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism sce01210  2-Oxocarboxylic acid metabolism sce01230  Biosynthesis of amino acids	OE	1000	7366	0	5	1	essential	2	1.74309362302098e-06	1.90494691307462e-06	1.74367361052727e-06	0	1.38824593575237e-09	0	up_distinct	1
YOR136W	P28241	IDH2	39.73903	sce00020  Citrate cycle (TCA cycle) sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism sce01210  2-Oxocarboxylic acid metabolism sce01230  Biosynthesis of amino acids	OE	1000	7357	0	5	1	essential	2	1.74309362302098e-06	1.90494691307462e-06	1.74367361052727e-06	0	1.38824593575237e-09	0	up_distinct	1
YOR323C	P54885	PRO2	49.73991	sce00330  Arginine and proline metabolism sce00332  Carbapenem biosynthesis sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01230  Biosynthesis of amino acids	OE	1000	7819	1	6	0	production_opt_tight	2	0	2.72856909926411e-08	2.72466152002226e-08	0	4.68843321712528e-10	3.74629055848602e-10	up_subset	2
YJR069C	P47119	HAM1	22.09268	sce00230  Purine metabolism	OE	1000	7702	1	16	0	production_opt	2	0	0.00330590376925579	1.21283997504902e-11	0	0.00323640501055404	0	up_subset	2
efe	Q9Z3T0	efe	38.064		OE	1000	0	1	6	0	essential_tightly_const	2	0.000385460853644166	0.000385460853644243	0.000385460853644166	3.85460853644205e-06	3.85536949706228e-06	3.85460853644205e-06	none	3
YLR174W	P41939	IDP2	46.56172	sce00020  Citrate cycle (TCA cycle) sce00480  Glutathione metabolism sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism sce01210  2-Oxocarboxylic acid metabolism sce01230  Biosynthesis of amino acids sce04146  Peroxisome	OE	20.3645814472069	7664	1	5	0	essential	2	2.39323396717458e-06	0.00157102749893416	2.43489697085876e-06	1.69134459328968e-07	0.00153578649113183	1.69848822923159e-07	up_overlaped	2
YLR304C	P19414	ACO1	85.36736	sce00020  Citrate cycle (TCA cycle) sce00630  Glyoxylate and dicarboxylate metabolism sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism sce01210  2-Oxocarboxylic acid metabolism sce01230  Biosynthesis of amino acids	OE	11.411831101892	7275	1	8	0	production_opt	2	0	0.000858451904292336	2.89884880292544e-06	0	0.000838021221230757	4.54165142627337e-07	up_subset	2
YOL126C	P22133	MDH2	40.7305	sce00020  Citrate cycle (TCA cycle) sce00270  Cysteine and methionine metabolism sce00620  Pyruvate metabolism sce00630  Glyoxylate and dicarboxylate metabolism sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism	OE	8.36674131747606	7300	1	5	0	essential	2	2.39241888246488e-08	0.00179318482221543	2.39247288384835e-08	3.73331909730758e-09	0.00175546760870214	3.73429564988838e-09	up_overlaped	2
YKL085W	P17505	MDH1	35.64959	sce00020  Citrate cycle (TCA cycle) sce00270  Cysteine and methionine metabolism sce00620  Pyruvate metabolism sce00630  Glyoxylate and dicarboxylate metabolism sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism	OE	8.28119261116477	7263	1	5	0	essential	2	1.09082865620218e-06	0.00204981904888488	1.09087423277584e-06	1.70853143716423e-07	0.00200582937012251	1.70908207084531e-07	up_overlaped	2
YNR001C	P00890	CIT1	53.35945	sce00020  Citrate cycle (TCA cycle) sce00630  Glyoxylate and dicarboxylate metabolism sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism sce01210  2-Oxocarboxylic acid metabolism sce01230  Biosynthesis of amino acids	OE	8.28119261116477	7092	1	7	0	production_opt_tight	2	0	1.46994239984443e-06	1.46993455980248e-06	0	2.3035486430725e-07	2.30295915513713e-07	up_subset	2
